entity,amp_pct_5stack,amp_pct_4stack,amp_pct_3_3stack,amp_pct_other_stack,amp_bring_back_rate,amp_pct_HP_HO,amp_pct_HP_LO,amp_pct_LP_HO,amp_pct_LP_LO,amp_mean_pairwise_jaccard,amp_salary_total_mean,amp_salary_std_mean,amp_own_mean,amp_own_std
V1,0.09493179974269694,0.09493179974269693,0.0,0.0,0.03956498995010697,0.04850057273430445,0.030765691569957884,0.0065828116983654575,0.04458903334570759,0.011856592878247566,174.22232323448964,68.46189945927587,2.6086676401621958,0.46398504443832317
zroth2,0.11761554602460794,0.05517858213044196,0.011356593777282965,0.05474866817253793,0.03188521078284832,0.07139100731833055,0.012512216252748978,0.02656665272549474,0.08429182114007924,0.022512538163021026,36.59770408706432,98.9199503308948,2.9938306471235525,0.5524981311613862
nerdytenor,0.03402409277098937,0.00558519869337199,0.029312018771221544,0.014585952145814823,0.07002334266884522,0.028952067667477953,0.004839077046985997,0.01869046102516825,0.02093044035211238,0.019691957799104,46.88719322894723,131.56884789844054,3.5260910883794208,0.6515235397407074
shipmymoney,0.10570372154740432,0.029108071653597155,0.022360702779800647,0.06032149805477327,0.028722813232690145,0.09607910513969438,0.009072411034301118,0.03937297907806167,0.13049626707367767,0.024473454237058254,117.97364583291841,82.66358166518664,2.443320019540765,0.7041070301181068
shaidyadvice,0.04213041920302027,0.01426988541052904,0.03306013040237776,0.0009622504486493763,0.025125057582392092,0.034571584349642484,0.012907433976273199,0.028675870615476627,0.02250123453403289,0.029184493287618112,512.9250570664937,140.6401630835736,3.7561071530271026,0.7691050471361591
needlunchmoney,0.04487228032928697,0.04185895765067385,0.010684650372863168,0.029870278875342007,0.02219071888279303,0.08675131157780054,0.018156584607955602,0.015392576324179511,0.06452086474859335,0.018067242263367995,251.09542958053945,52.930431508892795,2.3351494364212626,0.4702842762440214
bgreseth,0.07391962602118002,0.07278420243058784,0.001220958943101995,0.0,0.06040692769525898,0.07307249486758233,0.03064507089843928,0.014312646570493241,0.06921517709824011,0.01779873532405245,58.54824827903295,116.34637925664285,2.1706540428178256,0.3826842237575257
youdacao,0.14583476983419486,0.1414674743405575,0.002886751345948129,0.0021650635094610966,0.08782876068637029,0.10118786387851213,0.024945542539551883,0.025498774480354924,0.07597856971248904,0.035107388213287696,331.86546111701284,76.08955574719735,2.4597704283683206,0.2750694047051457
b_heals152,0.07233717347717328,0.042856457225556165,0.020729519120398405,0.01580787426850583,0.04060206617621544,0.04576510072581993,0.014383632673594273,0.010873004286866725,0.049301791718624824,0.01249302143926819,436.6132125891388,10.33138843407042,1.893164606208531,0.22775622368206988
pro_avg,0.047769978107084256,0.024040727482056077,0.012893884636230835,0.013397287654513493,0.031539932032896886,0.01705900281102542,0.006255665428213107,0.0058356681590656856,0.014041682860524962,0.01637483501037529,77.63642328843567,70.27945894989531,2.589560490812538,0.46823655202439013
