entity,k4_cluster,n_slates,pct_5stack,pct_4stack,pct_3_3stack,pct_other_stack,bring_back_rate,pct_HP_HO,pct_HP_LO,pct_LP_HO,pct_LP_LO,mean_pairwise_jaccard,salary_total_mean,salary_std_mean,own_mean,own_std
V1,1,2,0.5866666666666667,0.41333333333333333,0.0,0.0,0.2866666666666666,0.4766666666666667,0.21666666666666667,0.01,0.29666666666666663,0.11624602806308637,49379.0,1956.0352815622923,17.060570000000002,4.534904335655727
V1,2,6,0.6922222222222222,0.3077777777777778,0.0,0.0,0.20666666666666667,0.3933333333333333,0.28,0.0022222222222222222,0.3244444444444445,0.09133486616776827,49585.11111111112,2067.1245943479335,11.706314444444445,3.4180041109579142
V1,3,5,0.8466666666666667,0.15333333333333332,0.0,0.0,0.19466666666666663,0.46399999999999997,0.3,0.0013333333333333335,0.23466666666666666,0.08758660897538946,49731.6,2091.8156443529597,10.469045333333334,3.493101826851344
V1,4,11,0.7581818181818182,0.24181818181818188,0.0,0.0,0.27030303030303027,0.36,0.26666666666666666,0.017575757575757574,0.3557575757575758,0.10852091793558395,49285.57575757576,2143.433773017991,14.965990303030305,4.145270900297702
zroth2,1,2,0.43333333333333335,0.3433333333333334,0.06666666666666667,0.15666666666666668,0.31666666666666665,0.42666666666666664,0.03,0.11333333333333334,0.43,0.133809795457303,49177.33333333333,1974.7961273363721,18.031550000000003,3.833697449482049
zroth2,2,6,0.6511111111111111,0.2688888888888889,0.043333333333333335,0.03666666666666667,0.2677777777777778,0.3788888888888889,0.051111111111111114,0.17444444444444449,0.3955555555555556,0.0915772238149446,49115.0,2103.482119688858,12.681848888888888,2.680641654881979
zroth2,3,5,0.7573333333333334,0.1933333333333333,0.037333333333333336,0.012,0.22666666666666666,0.2986666666666667,0.044,0.16666666666666669,0.4906666666666667,0.08675655358493993,49118.53333333333,2193.7984715398793,10.595336,2.379250904091654
zroth2,4,10,0.6459999999999999,0.2333333333333333,0.055999999999999994,0.06466666666666668,0.2733333333333333,0.4946666666666667,0.06466666666666668,0.18,0.2606666666666667,0.13431287926896388,49199.2,2231.708746160776,16.697311333333335,2.7267052160334764
nerdytenor,1,1,0.36666666666666664,0.37333333333333335,0.15333333333333332,0.10666666666666667,0.30666666666666664,0.38,0.1,0.08,0.44,0.12340277955898334,49490.0,1800.6210906715269,19.660939999999997,4.166465405640613
nerdytenor,2,6,0.3955555555555556,0.3833333333333333,0.10666666666666669,0.11444444444444445,0.19777777777777775,0.3111111111111111,0.09444444444444444,0.09777777777777778,0.49666666666666676,0.07965817698112464,49541.333333333336,2014.7013376847237,11.885986666666668,2.7087681508292314
nerdytenor,3,5,0.4600000000000001,0.38266666666666665,0.07466666666666667,0.08266666666666667,0.11599999999999999,0.30933333333333335,0.08666666666666666,0.132,0.472,0.07386878818345191,49621.46666666666,2123.1966731702296,10.492422666666666,2.4715829919616072
nerdytenor,4,10,0.41666666666666663,0.3706666666666667,0.09133333333333334,0.12133333333333333,0.24866666666666667,0.3453333333333334,0.096,0.10266666666666666,0.45600000000000007,0.10290456438773854,49555.2,2122.5956857304195,15.117892000000001,2.9822212066133607
shipmymoney,1,2,0.47333333333333333,0.2866666666666667,0.08,0.15999999999999998,0.27666666666666667,0.32333333333333336,0.03333333333333333,0.16666666666666666,0.4766666666666667,0.14480683577800824,49285.333333333336,1906.8921727222248,17.992783333333332,3.5787091334974637
shipmymoney,2,6,0.6655555555555556,0.27111111111111114,0.030000000000000002,0.03333333333333333,0.20111111111111113,0.31333333333333335,0.05777777777777778,0.13222222222222224,0.49666666666666676,0.0785908382007562,49372.0,2068.258462856742,11.740065555555555,2.9032162053960935
shipmymoney,3,5,0.7533333333333332,0.20933333333333337,0.024,0.013333333333333332,0.2133333333333333,0.544,0.04533333333333334,0.24000000000000005,0.17066666666666666,0.12896279734499055,49503.2,2115.321061860551,12.665072,1.6449645529098291
shipmymoney,4,9,0.7007407407407408,0.24814814814814815,0.03259259259259259,0.018518518518518517,0.22666666666666668,0.33111111111111113,0.05185185185185185,0.19333333333333336,0.4237037037037037,0.11998975107232172,49181.555555555555,2097.825190301336,15.343907407407407,2.4338112193266745
shaidyadvice,1,1,0.82,0.07333333333333333,0.10666666666666667,0.0,0.013333333333333334,0.46,0.04,0.12,0.38,0.16291125292994296,47958.0,1828.7807372782388,21.155093333333333,4.4682089168504895
shaidyadvice,2,6,0.9033333333333332,0.061111111111111116,0.03333333333333333,0.0022222222222222222,0.045555555555555564,0.39999999999999997,0.04777777777777778,0.18666666666666668,0.3655555555555556,0.10067352445147483,49096.0,2090.320847849943,13.020882222222225,2.690496274662886
shaidyadvice,3,5,0.9346666666666665,0.044,0.021333333333333336,0.0,0.034666666666666665,0.43466666666666665,0.072,0.11333333333333333,0.38,0.08513973272740422,49297.2,2193.8941556468585,11.187528,2.5090114551808567
shaidyadvice,4,10,0.876,0.08199999999999999,0.041999999999999996,0.0,0.08266666666666667,0.36866666666666664,0.06533333333333333,0.14066666666666666,0.4253333333333333,0.1212999570358356,48671.933333333334,2142.9002175962955,15.553810666666667,3.050503481682063
