k4_cluster,n_slates,n_v1_lineups,v1_top1pct_rate,v1_top1pct_ci_lo,v1_top1pct_ci_hi,v1_top01pct_rate,v1_top01pct_ci_lo,v1_top01pct_ci_hi,v1_mean_finishPct,slates,pro_top1pct_rate,pro_top01pct_rate,pro_mean_finishPct,n_pro_lineups
1,2,300,0.0,0.0,0.0,0.0,0.0,0.0,0.4854479133092021,4-8-26;4-18-26,0.004242424242424243,0.0,0.5582982568856867,1650
2,6,900,0.013333333333333334,0.0033333333333333335,0.024472222222222072,0.0011111111111111111,0.0,0.0033333333333333335,0.4792573521248787,4-6-26;4-14-26;4-15-26;4-17-26;4-19-26;4-20-26,0.010277777777777778,0.0001388888888888889,0.4928594741198692,7200
3,5,750,0.012032085561497326,0.005333333333333333,0.018666666666666668,0.0,0.0,0.0,0.5067399922327386,4-22-26;4-24-26;4-26-26;4-28-26;5-1-26,0.010175438596491228,0.0007017543859649122,0.5046446529857581,5700
4,11,1650,0.01588310038119441,0.005717916137229987,0.028589580686149935,0.0,0.0,0.0,0.48502493994923795,4-12-26;4-21-26;4-23-26;4-25-26;4-25-26-early;4-27-26;4-29-26;5-2-26;5-2-26-main;5-2-26-night;5-3-26,0.01077720207253886,0.000310880829015544,0.49338824350102645,9650
