pct_5stack,pct_4stack,pct_3_3stack,pct_other_stack,bring_back_rate,pct_HP_HO,pct_HP_LO,pct_LP_HO,pct_LP_LO,mean_pairwise_jaccard,salary_total_mean,salary_std_mean,own_mean,own_std,n_lineups,slate,entity
0.6666666666666666,0.3333333333333333,0.0,0.0,0.29333333333333333,0.5066666666666667,0.16666666666666666,0.006666666666666667,0.32,0.0969708398293143,49576.666666666664,2246.7705870772324,13.283066666666667,2.9310376948938903,150,4-6-26,V1
0.5866666666666667,0.26666666666666666,0.08,0.06666666666666667,0.38666666666666666,0.5533333333333333,0.06666666666666667,0.14,0.24,0.12314787165306489,49541.333333333336,2275.3300237950093,14.728186666666668,2.270203014083885,150,4-6-26,zroth2
0.3,0.38666666666666666,0.11333333333333333,0.2,0.26,0.3466666666666667,0.05333333333333334,0.08,0.52,0.08629380077922118,49622.666666666664,2195.4490338641626,13.115820000000001,2.4162252270018207,150,4-6-26,nerdytenor
0.3933333333333333,0.4266666666666667,0.08,0.1,0.2733333333333333,0.23333333333333334,0.02,0.14,0.6066666666666667,0.08530132351708282,49170.0,2175.8131096432016,12.834313333333332,2.6246227694322517,150,4-6-26,shipmymoney
0.9,0.04666666666666667,0.05333333333333334,0.0,0.08,0.3466666666666667,0.013333333333333334,0.17333333333333334,0.4666666666666667,0.11426605420952798,49186.666666666664,2182.4814339601962,13.63384,2.534092261093375,150,4-6-26,shaidyadvice
0.28,0.38666666666666666,0.12,0.21333333333333335,0.23333333333333334,0.35333333333333333,0.10666666666666667,0.013333333333333334,0.5266666666666666,0.09029893299118151,49350.666666666664,2212.4146657301185,13.055733333333333,2.5396069319658285,150,4-6-26,needlunchmoney
0.8066666666666666,0.19333333333333333,0.0,0.0,0.32666666666666666,0.64,0.11333333333333333,0.02,0.22666666666666666,0.136568877391689,49747.333333333336,2290.3497697271464,14.477473333333338,2.793354295935663,150,4-6-26,bgreseth
1.0,0.0,0.0,0.0,0.30666666666666664,0.4666666666666667,0.20666666666666667,0.12,0.20666666666666667,0.1289492340756588,49562.666666666664,2293.80532725367,14.50884,1.7322656881668008,150,4-6-26,youdacao
0.5266666666666666,0.25333333333333335,0.10666666666666667,0.11333333333333333,0.3333333333333333,0.24,0.06666666666666667,0.12,0.5733333333333334,0.08261291462093152,49016.0,2175.265028846797,12.934986666666667,2.3083211705672344,150,4-6-26,b_heals152
0.5733333333333334,0.4266666666666667,0.0,0.0,0.2733333333333333,0.5333333333333333,0.18,0.013333333333333334,0.2733333333333333,0.13349782976103836,49187.333333333336,1903.9456153403262,20.292166666666667,5.105244347291867,150,4-8-26,V1
0.46,0.3466666666666667,0.02666666666666667,0.16666666666666666,0.36666666666666664,0.4533333333333333,0.02666666666666667,0.06666666666666667,0.4533333333333333,0.15904465071085722,48654.0,1823.241889654584,20.544426666666666,4.303723843907997,150,4-8-26,zroth2
0.36666666666666664,0.37333333333333335,0.15333333333333332,0.10666666666666667,0.30666666666666664,0.38,0.1,0.08,0.44,0.12340277955898334,49490.0,1800.6210906715269,19.660939999999997,4.166465405640613,150,4-8-26,nerdytenor
0.22666666666666666,0.32666666666666666,0.14,0.30666666666666664,0.3466666666666667,0.36,0.04,0.18,0.42,0.179321229796837,48939.333333333336,1688.2447882757929,20.481299999999997,3.9614920753843914,150,4-8-26,shipmymoney
0.82,0.07333333333333333,0.10666666666666667,0.0,0.013333333333333334,0.46,0.04,0.12,0.38,0.16291125292994296,47958.0,1828.7807372782388,21.155093333333333,4.4682089168504895,150,4-8-26,shaidyadvice
0.5533333333333333,0.44666666666666666,0.0,0.0,0.4066666666666667,0.30666666666666664,0.12,0.04666666666666667,0.5266666666666666,0.1512485116983504,49262.666666666664,1726.14996124061,19.15988,3.8092642105267522,150,4-8-26,bgreseth
0.7866666666666666,0.21333333333333335,0.0,0.0,0.22,0.2733333333333333,0.36666666666666664,0.006666666666666667,0.35333333333333333,0.10873402306484323,49505.333333333336,2468.3448909095723,12.813239999999999,5.21295961322037,150,4-12-26,V1
0.72,0.21333333333333335,0.04666666666666667,0.02,0.32,0.4666666666666667,0.04666666666666667,0.21333333333333335,0.2733333333333333,0.1300056378178701,49362.0,2515.1550544460065,16.454193333333333,4.1798158216148975,150,4-12-26,zroth2
0.46,0.4066666666666667,0.09333333333333334,0.04,0.16,0.38666666666666666,0.15333333333333332,0.03333333333333333,0.4266666666666667,0.10057643247681472,49706.0,2304.614880606975,13.644606666666666,4.286000508471998,150,4-12-26,nerdytenor
0.66,0.24,0.08,0.02,0.15333333333333332,0.02,0.03333333333333333,0.08666666666666667,0.86,0.0559639431237457,49438.666666666664,2021.224787885055,9.114846666666665,3.95958266948537,150,4-12-26,shipmymoney
0.9066666666666666,0.07333333333333333,0.02,0.0,0.10666666666666667,0.36,0.06666666666666667,0.30666666666666664,0.26666666666666666,0.12367817566935625,49580.0,2396.041093013555,16.156133333333333,3.7284334434480955,150,4-12-26,shaidyadvice
0.8533333333333334,0.14666666666666667,0.0,0.0,0.25333333333333335,0.52,0.09333333333333334,0.04666666666666667,0.34,0.12481135466901076,49793.333333333336,2237.964805607302,15.562893333333335,4.611352367287593,150,4-12-26,bgreseth
0.41333333333333333,0.54,0.02666666666666667,0.02,0.6133333333333333,0.7666666666666667,0.06,0.12666666666666668,0.04666666666666667,0.2547405322837039,49411.333333333336,2502.3127291920464,19.057226666666665,3.520762143147734,150,4-12-26,youdacao
0.7333333333333333,0.24,0.006666666666666667,0.02,0.22,0.31333333333333335,0.07333333333333333,0.07333333333333333,0.54,0.08969271591895012,48880.666666666664,2372.9779357265465,13.579020000000002,4.699560958883996,150,4-12-26,b_heals152
0.5066666666666667,0.49333333333333335,0.0,0.0,0.12666666666666668,0.0,0.37333333333333335,0.0,0.6266666666666667,0.07280666464159852,49661.333333333336,1970.2189572678756,8.107913333333332,1.9067068361852473,150,4-14-26,V1
0.6466666666666666,0.32,0.03333333333333333,0.0,0.2,0.35333333333333333,0.03333333333333333,0.29333333333333333,0.32,0.0975442414966968,49148.0,1984.4876222785128,11.528453333333333,1.8679288194384946,150,4-14-26,zroth2
0.42,0.38,0.11333333333333333,0.08666666666666667,0.14666666666666667,0.25333333333333335,0.12666666666666668,0.12,0.5,0.0701434982782219,49636.0,1835.5728567558892,10.04864,2.3448164427946163,150,4-14-26,nerdytenor
0.6466666666666666,0.34,0.006666666666666667,0.006666666666666667,0.20666666666666667,0.2733333333333333,0.05333333333333334,0.12,0.5533333333333333,0.07366974024982695,49540.0,1974.6353478952296,9.960986666666665,2.213514954355528,150,4-14-26,shipmymoney
0.94,0.03333333333333333,0.02666666666666667,0.0,0.03333333333333333,0.35333333333333333,0.04666666666666667,0.24,0.36,0.09045510881195337,49028.0,2048.682925451547,11.157293333333332,1.9965332939762253,150,4-14-26,shaidyadvice
0.5933333333333334,0.3466666666666667,0.013333333333333334,0.04666666666666667,0.10666666666666667,0.4533333333333333,0.16,0.06,0.32666666666666666,0.07720603738722112,49546.666666666664,2011.5619476752402,10.726286666666665,2.0017265758561757,150,4-14-26,needlunchmoney
0.8733333333333333,0.12666666666666668,0.0,0.0,0.17333333333333334,0.7933333333333333,0.12666666666666668,0.02666666666666667,0.05333333333333334,0.125874825059265,49726.666666666664,1990.8108503123583,12.318366666666668,1.668856180808347,150,4-14-26,bgreseth
1.0,0.0,0.0,0.0,0.22666666666666666,0.54,0.16666666666666666,0.24,0.05333333333333334,0.11883715695275793,49779.333333333336,2075.1742484478436,11.610093333333333,0.959976015996696,150,4-14-26,youdacao
0.5666666666666667,0.25333333333333335,0.09333333333333334,0.08666666666666667,0.21333333333333335,0.32666666666666666,0.06666666666666667,0.05333333333333334,0.5533333333333333,0.06147089390632115,48954.666666666664,2030.31665019089,9.895573333333335,2.2136992428863396,150,4-14-26,b_heals152
0.7266666666666667,0.2733333333333333,0.0,0.0,0.18,0.3333333333333333,0.42,0.0,0.24666666666666667,0.10486641660077639,49723.333333333336,2222.2160137986707,13.52854,3.8269035849365216,150,4-15-26,V1
0.58,0.34,0.02666666666666667,0.05333333333333334,0.2866666666666667,0.25333333333333335,0.02,0.14666666666666667,0.58,0.08478731068005058,48814.0,2028.4814830556247,14.092086666666667,3.959578241743543,150,4-15-26,zroth2
0.46,0.37333333333333335,0.06666666666666667,0.1,0.14,0.2866666666666667,0.1,0.10666666666666667,0.5066666666666667,0.08581050024854643,49613.333333333336,1983.1037253187305,13.779133333333332,3.652564639933001,150,4-15-26,nerdytenor
0.64,0.31333333333333335,0.02,0.02666666666666667,0.11333333333333333,0.25333333333333335,0.08666666666666667,0.22666666666666666,0.43333333333333335,0.08901765763589524,49530.0,1967.229106571069,14.062466666666666,2.9645742756010613,150,4-15-26,shipmymoney
0.92,0.06666666666666667,0.013333333333333334,0.0,0.08,0.5,0.06666666666666667,0.22,0.21333333333333335,0.12757145101192172,49314.666666666664,2012.9704911184492,16.588679999999997,3.5016906494244564,150,4-15-26,shaidyadvice
0.44,0.4,0.04,0.12,0.14666666666666667,0.4,0.11333333333333333,0.07333333333333333,0.41333333333333333,0.0968743764114301,49442.0,1979.3647812080196,14.032006666666666,3.603444976679338,150,4-15-26,needlunchmoney
0.6266666666666667,0.37333333333333335,0.0,0.0,0.18666666666666668,0.4666666666666667,0.18666666666666668,0.02,0.32666666666666666,0.11816884337505748,49711.333333333336,2159.404118651628,14.813446666666666,3.2485699162075754,150,4-15-26,bgreseth
0.9866666666666667,0.013333333333333334,0.0,0.0,0.20666666666666667,0.44,0.09333333333333334,0.28,0.18666666666666668,0.12682056418710302,49508.666666666664,2124.929345729933,15.902853333333336,2.307367918608175,150,4-15-26,youdacao
0.6133333333333333,0.25333333333333335,0.05333333333333334,0.08,0.32,0.3933333333333333,0.08666666666666667,0.1,0.42,0.0953187102747597,48999.333333333336,2127.39441142413,14.56344,3.8923977502819525,150,4-15-26,b_heals152
0.7466666666666667,0.25333333333333335,0.0,0.0,0.18666666666666668,0.4666666666666667,0.2733333333333333,0.006666666666666667,0.25333333333333335,0.08047125204334078,49713.333333333336,2242.6514578686956,10.995,3.6267484739547813,150,4-17-26,V1
0.7933333333333333,0.16,0.02666666666666667,0.02,0.18666666666666668,0.3466666666666667,0.1,0.14666666666666667,0.4066666666666667,0.0756886836291305,49194.0,2245.156221982517,11.010473333333334,2.3862764709805853,150,4-17-26,zroth2
0.41333333333333333,0.36666666666666664,0.12666666666666668,0.09333333333333334,0.13333333333333333,0.2866666666666667,0.12,0.16,0.43333333333333335,0.07264890397040429,49525.333333333336,2224.5871573731824,11.0043,2.0846996770118555,150,4-17-26,nerdytenor
0.7333333333333333,0.24,0.013333333333333334,0.013333333333333334,0.21333333333333335,0.25333333333333335,0.09333333333333334,0.16,0.49333333333333335,0.06996140512586284,49525.333333333336,2198.4707522651997,10.534433333333332,2.8031744110720065,150,4-17-26,shipmymoney
0.9133333333333333,0.04666666666666667,0.03333333333333333,0.006666666666666667,0.02666666666666667,0.46,0.04,0.22,0.28,0.097444203451014,49548.0,2310.096452835788,12.490833333333333,2.292640935447348,150,4-17-26,shaidyadvice
0.35333333333333333,0.44666666666666666,0.08,0.12,0.13333333333333333,0.38,0.09333333333333334,0.13333333333333333,0.3933333333333333,0.07915429320565469,49518.0,2291.096973588927,11.499966666666666,2.5266384846713277,150,4-17-26,needlunchmoney
0.88,0.12,0.0,0.0,0.18,0.5266666666666666,0.11333333333333333,0.02666666666666667,0.3333333333333333,0.08782777437856604,49704.666666666664,2314.028400792464,11.661346666666667,2.883105110782856,150,4-17-26,bgreseth
0.96,0.04,0.0,0.0,0.19333333333333333,0.5266666666666666,0.12666666666666668,0.08,0.26666666666666666,0.1022324559648652,49632.666666666664,2302.2122594769485,11.73308,2.0702291612926977,150,4-17-26,youdacao
0.6533333333333333,0.24,0.04666666666666667,0.06,0.19333333333333333,0.22,0.07333333333333333,0.1,0.6066666666666667,0.059588916396317325,48807.333333333336,2173.8121284074437,9.725586666666667,2.956764878909981,150,4-17-26,b_heals152
0.6,0.4,0.0,0.0,0.3,0.42,0.25333333333333335,0.006666666666666667,0.32,0.0989942263651344,49570.666666666664,2008.1249477842582,13.828973333333336,3.964564324019588,150,4-18-26,V1
