k4_cluster,n_slates_v1,gap_pct_5stack,gap_pct_4stack,gap_pct_3_3stack,gap_pct_other_stack,gap_bring_back_rate,gap_pct_HP_HO,gap_pct_HP_LO,gap_pct_LP_HO,gap_pct_LP_LO,gap_mean_pairwise_jaccard,gap_salary_total_mean,gap_salary_std_mean,gap_own_mean,gap_own_std
1,2,-0.004583333333333384,0.13208333333333333,-0.06458333333333333,-0.06291666666666666,0.04124999999999995,0.06874999999999998,0.14291666666666666,-0.09625,-0.11541666666666667,-0.017127736311666836,-80.25,-28.440750535487496,-0.4232612499999959,0.8734389135348342
2,6,0.015138888888888924,0.07208333333333339,-0.04125000000000001,-0.04597222222222222,0.008055555555555538,0.0012499999999999734,0.19347222222222224,-0.11875,-0.07597222222222222,-0.0021723364731016936,266.8888888888978,-15.8829875103429,-0.6967705555555561,0.7544085587552489
3,5,0.12238888888888888,-0.06672222222222224,-0.029833333333333337,-0.025833333333333333,0.014555555555555516,0.08527777777777773,0.20994444444444443,-0.11805555555555557,-0.17716666666666667,-0.014419587506826828,312.10555555555766,-62.31080038230584,-0.4429783888888892,1.0837479892383262
4,11,0.10039279701779702,-0.02352176527176525,-0.03814550264550264,-0.0387255291005291,0.014463744588744554,-0.06425198412698419,0.18675066137566138,-0.10069209956709957,-0.021806577681577677,-0.017054194287778143,20.922384559889906,-14.029990969606388,-0.6605841943241924,1.1986546616194467
