P,P,C,1B,2B,3B,SS,OF,OF,OF
42722864,42722868,42722988,42722900,42722995,42722954,42722908,42723049,42722883,42722924
42722864,42722867,42722899,42722900,42722995,42722928,42722908,42722970,42722985,42723049
42722864,42722868,42722911,42723007,42722995,42722963,42722908,42723049,42722883,42722880
42722864,42722870,42722988,42722900,42722880,42722963,42722908,42723049,42723031,42722883
42722864,42722868,42722988,42722900,42722995,42722928,42722908,42723049,42722924,42722883
42722864,42722868,42722899,42722900,42722995,42722928,42722908,42722889,42723049,42723008
42722864,42722870,42722988,42722900,42722880,42722963,42722908,42723049,42722883,42722990
42722864,42722870,42722899,42722900,42722995,42722928,42722908,42722889,42723008,42722985
42722864,42722868,42723053,42722900,42722995,42722963,42722908,42722889,42722883,42722989
42722864,42722870,42722988,42722900,42722995,42722963,42722908,42722889,42722883,42723031
42722864,42722870,42722982,42722900,42722995,42723031,42722908,42722883,42722985,42722886
42722864,42722868,42723053,42722894,42722975,42722890,42722912,42723049,42722880,42723048
42722864,42722868,42722911,42722894,42722975,42722947,42722912,42722910,42722960,42722996
42729793,42722867,42722948,42722894,42722921,42722926,42722927,42722879,42722990,42723035
42722872,42722866,42722907,42722900,42722885,42722976,42722908,42723049,42722883,42722985
42722866,42722867,42722907,42722957,42722880,42722921,42722976,42723017,42723009,42722913
42722866,42722870,42722911,42722943,42722962,42722928,42722997,42723054,42722876,42722895
42722864,42722869,42723010,42722894,42722930,42722921,42722906,42722910,42722960,42723048
42722864,42722866,42723010,42722894,42722975,42722921,42722912,42722913,42722989,42722996
42722864,42722870,42723030,42723007,42722885,42722939,42722901,42722886,42722898,42723035
42722871,42722867,42722957,42722876,42722887,42722976,42722908,42723028,42723009,42722886
42722864,42722868,42723037,42722896,42722880,42722928,42722908,42722951,42722986,42723029
42722864,42722875,42723004,42722984,42722955,42723005,42722903,42722895,42722878,42722893
42722866,42722875,42722957,42722984,42722887,42722890,42722901,42723017,42722880,42722886
42722866,42722868,42722907,42722900,42722995,42722963,42722991,42722920,42722985,42722883
42722870,42722867,42722899,42722949,42722956,42722954,42722965,42722987,42722889,42722886
42722869,42722870,42722982,42722913,42722956,42722890,42722919,42722898,42722886,42723029
42722864,42722869,42722948,42722984,42722945,42722983,42722901,42722886,42722879,42723035
