rank,tier,mode,stackPattern,bringBackRequired,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwn,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherSharesGameWithBringBack,playerNames,playerIds,playerTeams,playerOwn
31,frontier,mid,5-2,false,5,2,MIL,ARI,0,4,5,5,2407.093683262037,24500,72.58000000000001,5.261384618230714,7.680076781496408,49700,false,false,Cristopher Sanchez;JR Ritchie;William Contreras;Alec Burleson;Brice Turang;Ramon Urias;Joey Ortiz;Oneil Cruz;Brandon Lockridge;Blake Perkins,42926487;42926489;42926544;42926525;42926511;42926608;42926675;42926501;42926632;42926639,PHI;ATL;MIL;STL;MIL;STL;MIL;PIT;MIL;MIL,0.00;13.43;11.16;10.59;10.26;3.51;3.22;23.94;8.18;4.51
32,frontier,mid,5-2,false,5,2,STL,PIT,0,4,4,5,2807.9351844371336,25700,76.55000000000001,5.878584729359772,7.4341428395072064,49500,false,false,Cristopher Sanchez;Tarik Skubal;Ivan Herrera;Alec Burleson;JJ Wetherholt;Nolan Gorman;Joey Ortiz;Victor Scott II;Riley Greene;Blake Perkins,42926487;42926486;42926537;42926525;42926513;42926584;42926675;42926683;42926541;42926639,PHI;DET;STL;STL;STL;STL;MIL;STL;DET;MIL,0.00;52.83;10.48;10.59;10.59;8.62;3.22;3.05;20.79;4.51
33,frontier,mid,5-2,false,5,2,DET,ATL,2,4,5,7,1968.349562450735,22200,77.91,7.760248811205709,10.686970160250516,49400,false,false,Cristopher Sanchez;David Peterson;Dillon Dingler;Spencer Torkelson;Ozzie Albies;Austin Riley;Kevin McGonigle;Oneil Cruz;Wenceel Perez;Kerry Carpenter,42926487;42926499;42926530;42926591;42926533;42926556;42926519;42926501;42926690;42926555,PHI;NYM;DET;DET;ATL;ATL;DET;PIT;DET;DET,0.00;46.55;15.01;6.68;5.14;6.14;26.20;23.94;7.05;12.16
34,frontier,mid,5-2,false,5,2,STL,PIT,0,3,3,6,1364.6977687385584,19700,81.84,6.786566871089051,6.340085085500335,49400,false,true,Andre Pallante;Cade Cavalli;Ivan Herrera;Alec Burleson;JJ Wetherholt;Nolan Gorman;CJ Abrams;Nathan Church;Jacob Young;Corbin Carroll,42926497;42926493;42926537;42926525;42926513;42926584;42926507;42926597;42926605;42926504,STL;WSH;STL;STL;STL;STL;WSH;STL;WSH;ARI,4.82;16.47;10.48;10.59;10.59;8.62;1.71;5.58;1.14;23.69
35,frontier,mid,5-2,false,5,2,STL,PIT,2,4,5,7,1943.6048981210147,22200,72.87,6.469449792998145,9.786780924536616,49800,false,false,Cristopher Sanchez;Brandon Williamson;Ivan Herrera;Alec Burleson;JJ Wetherholt;Nolan Gorman;Konnor Griffin;Nathan Church;Marcell Ozuna;Juan Soto,42926487;42926496;42926537;42926525;42926513;42926584;42926564;42926597;42926613;42926506,PHI;CIN;STL;STL;STL;STL;PIT;STL;PIT;NYM,0.00;15.26;10.48;10.59;10.59;8.62;9.78;5.58;9.84;15.47
36,frontier,mid,5-3,false,5,3,PIT,STL,0,4,4,5,2101.9990485249987,22200,75.63,7.414794590209752,10.095642072440297,49600,false,false,Cristopher Sanchez;David Peterson;Joey Bart;Spencer Horwitz;Ketel Marte;Nick Gonzales;Konnor Griffin;Oneil Cruz;Corbin Carroll;Alek Thomas,42926487;42926499;42926634;42926629;42926508;42926577;42926564;42926501;42926504;42926619,PHI;NYM;PIT;PIT;ARI;PIT;PIT;PIT;ARI;ARI,0.00;46.55;4.02;5.07;17.11;11.82;9.78;23.94;23.69;4.72
37,frontier,mid,5-3,true,5,3,NYM,WSH,0,3,3,6,2069.806754264755,22100,80.79,6.966832724855213,9.339083712220427,49300,false,true,Cristopher Sanchez;David Peterson;Francisco Alvarez;Sal Stewart;Marcus Semien;Bo Bichette;Elly De La Cruz;TJ Friedl;Juan Soto;Tyrone Taylor,42926487;42926499;42926568;42926512;42926611;42926563;42926502;42926570;42926506;42926671,PHI;NYM;NYM;CIN;NYM;NYM;CIN;CIN;NYM;NYM,0.00;46.55;6.66;25.15;1.82;8.18;34.25;19.64;15.47;2.23
38,frontier,mid,5-3,false,5,3,ARI,MIL,0,4,4,5,2059.2231544929755,22400,72.53,7.28532284179919,11.353158097263972,49400,false,false,Cristopher Sanchez;Brandon Williamson;Dillon Dingler;Jose Fernandez;Ketel Marte;Jace Jung;Geraldo Perdomo;Kerry Carpenter;Corbin Carroll;Lourdes Gurriel Jr.,42926487;42926496;42926530;42926566;42926508;42926799;42926552;42926555;42926504;42926589,PHI;CIN;DET;ARI;ARI;DET;ARI;DET;ARI;ARI,0.00;15.26;15.01;6.30;17.11;4.79;15.61;12.16;23.69;7.92
39,frontier,mid,4-3,false,4,3,STL,PIT,0,4,5,4,2066.4946164943185,22400,74.16000000000001,6.7606463406610615,10.340486113666705,49600,false,false,Cristopher Sanchez;Brandon Williamson;Ivan Herrera;Alec Burleson;Ketel Marte;Nolan Gorman;Geraldo Perdomo;Nathan Church;Corbin Carroll;Greg Jones,42926487;42926496;42926537;42926525;42926508;42926584;42926552;42926597;42926504;42926707,PHI;CIN;STL;STL;ARI;STL;ARI;STL;ARI;MIL,0.00;15.26;10.48;10.59;17.11;8.62;15.61;5.58;23.69;3.87
40,frontier,mid,4-3,false,4,3,PIT,STL,0,5,5,4,2411.41037569303,23700,81.89999999999999,7.084395755822978,5.006960032601563,49900,false,false,Brandon Williamson;Tarik Skubal;Gary Sanchez;Spencer Horwitz;Brice Turang;Nick Gonzales;Konnor Griffin;Kyle Schwarber;Oneil Cruz;Greg Jones,42926496;42926486;42926585;42926629;42926511;42926577;42926564;42926509;42926501;42926707,CIN;DET;MIL;PIT;MIL;PIT;PIT;PHI;PIT;MIL,15.26;52.83;7.09;5.07;10.26;11.82;9.78;0.00;23.94;3.87
