rank,mode,uTarget,uSampled,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack
1,leverage,0.150,0.150,4,4,BAL,KC,0,4,4,4,2087.32,23200,88.30,1.596,49100,0
2,mid,0.500,0.547,5,1,BAL,KC,1,5,6,6,2334.44,23900,95.28,3.465,49800,0
3,leverage,0.150,0.271,4,4,BAL,KC,0,4,4,4,1565.92,21200,90.46,2.316,49700,0
4,chalk,0.850,0.655,5,3,BAL,KC,0,3,3,5,2293.38,23900,97.92,3.687,48800,0
5,mid,0.500,0.421,5,2,BAL,KC,0,4,5,5,2231.68,23900,94.05,2.999,49400,0
6,chalk,0.850,0.973,5,2,SEA,ATH,0,3,3,6,2157.43,22700,105.26,12.579,49500,0
7,leverage,0.150,0.077,5,2,ATH,SEA,0,4,4,5,1911.67,21800,85.11,1.300,48500,0
8,mid,0.500,0.345,4,2,TOR,LAA,2,4,5,6,2215.76,23500,93.11,2.616,49200,0
9,leverage,0.150,0.190,5,3,ATH,SEA,0,4,4,5,1537.66,20500,88.77,1.863,49400,0
10,mid,0.500,0.554,5,1,BAL,KC,1,4,5,6,2388.30,23900,94.58,3.335,48000,0
11,leverage,0.150,0.229,5,3,BAL,KC,0,4,4,5,2066.01,23200,89.47,2.166,49400,0
12,leverage,0.150,0.207,4,3,ATH,SEA,0,5,5,4,2023.88,22100,87.24,1.570,48300,0
13,chalk,0.850,1.000,5,2,KC,BAL,0,3,3,5,2200.48,23800,105.51,15.353,49700,0
14,leverage,0.150,0.060,5,3,ATH,SEA,0,3,3,6,1892.72,21900,83.65,1.263,48400,0
15,leverage,0.150,0.067,5,3,ATH,SEA,0,4,4,5,2206.47,23200,78.89,0.761,48500,0
16,mid,0.500,0.558,5,2,BAL,KC,1,3,4,6,2355.42,23900,95.82,3.493,48000,0
17,chalk,0.850,1.000,5,3,SEA,ATH,0,3,3,6,2182.29,22700,104.82,11.781,48600,0
18,leverage,0.150,0.060,5,2,TOR,LAA,0,4,5,5,2219.12,23500,91.25,2.501,49500,0
19,chalk,0.850,0.723,5,1,CIN,TB,0,5,5,5,2408.40,24300,102.17,4.890,49600,0
20,chalk,0.850,0.694,5,1,BAL,KC,1,4,5,6,2297.85,23900,99.39,3.959,48300,0
21,chalk,0.850,0.881,5,1,KC,BAL,1,4,5,6,2284.82,23800,104.79,7.397,48600,0
22,leverage,0.150,0.101,5,2,BAL,KC,0,5,5,5,2275.43,23900,93.87,2.881,49800,0
23,chalk,0.850,0.770,5,1,SEA,ATH,0,4,5,6,2308.59,24100,102.31,6.116,48200,0
24,leverage,0.150,0.130,5,1,BAL,KC,0,4,5,5,2327.57,23900,94.11,3.138,48200,0
25,mid,0.500,0.708,4,3,BAL,KC,0,3,3,4,2251.31,23900,96.49,3.630,48600,0
26,chalk,0.850,0.629,5,3,BAL,KC,0,3,3,5,2301.50,23900,102.91,6.134,49100,0
27,leverage,0.150,0.346,5,3,CIN,TB,0,4,4,5,2222.16,23900,103.68,6.497,50000,0
28,chalk,0.850,0.847,5,2,CIN,TB,0,4,4,6,1819.23,21300,93.13,8.091,49200,0
29,leverage,0.150,0.136,5,3,CIN,TB,0,4,4,5,2275.72,24000,102.93,12.587,48100,0
30,mid,0.500,0.604,5,3,SEA,ATH,0,3,3,6,2235.17,24300,100.38,8.662,50000,0
31,chalk,0.850,0.949,5,3,CIN,TB,0,3,3,5,2265.04,24000,102.82,10.844,49600,0
32,mid,0.500,0.520,5,3,SEA,ATH,0,3,3,6,2303.91,24300,101.65,8.231,50000,0
33,mid,0.500,0.591,4,4,BAL,KC,0,4,4,4,2188.36,24000,103.68,13.922,49900,0
34,leverage,0.150,0.189,5,2,CIN,TB,0,4,4,5,2421.18,24300,101.59,9.621,49300,0
35,leverage,0.150,0.314,5,2,SEA,ATH,0,4,4,6,2368.63,24300,100.98,8.464,49600,0
36,leverage,0.150,0.145,5,2,BAL,KC,0,4,4,5,1608.60,21200,96.65,6.643,49200,0
37,mid,0.500,0.647,4,3,SEA,ATH,0,3,4,5,2286.94,24000,100.09,10.111,49700,0
38,leverage,0.150,0.110,5,2,BAL,KC,0,4,4,5,2203.27,23900,100.91,5.822,49600,0
39,chalk,0.850,0.813,5,1,SEA,ATH,0,4,5,6,2283.09,24100,102.35,11.913,48500,0
40,leverage,0.150,0.143,5,2,BAL,KC,0,3,3,6,1711.02,21300,96.21,14.578,49800,0
41,leverage,0.150,0.081,5,2,SEA,ATH,1,4,5,6,1978.91,22200,95.60,7.546,48700,0
42,chalk,0.850,0.918,5,2,BAL,KC,0,4,4,6,1413.65,20400,89.61,7.245,49600,0
