rank,mode,uTarget,uSampled,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack
1,leverage,0.150,0.130,5,1,MIL,DET,1,4,6,6,2078.20,22300,84.00,0.709,48100,0
2,mid,0.500,0.317,5,2,CWS,ARI,0,4,4,5,2481.31,24300,96.66,1.173,49100,0
3,chalk,0.850,0.928,5,1,PHI,CHC,1,4,5,6,2353.30,23800,110.58,11.618,50000,0
4,leverage,0.150,0.078,5,2,MIL,DET,1,3,4,6,2334.01,23800,83.28,0.608,49200,0
5,mid,0.500,0.456,5,1,ARI,CWS,0,4,5,5,2424.79,24600,99.05,1.971,49800,0
6,leverage,0.150,0.114,4,3,MIL,DET,0,5,5,4,2303.48,23200,88.64,0.789,48000,0
7,mid,0.500,0.494,5,2,CWS,ARI,1,4,5,6,2520.02,24500,101.07,2.147,49500,0
8,chalk,0.850,0.813,4,2,PHI,CHC,0,5,5,4,1981.41,22100,108.69,8.883,50000,0
9,chalk,0.850,0.851,5,2,PHI,CHC,0,5,5,5,2448.04,24300,108.52,6.448,49900,0
10,leverage,0.150,0.162,5,2,LAD,SF,0,3,3,6,2132.23,23000,89.11,0.982,48600,0
11,leverage,0.150,0.002,5,3,MIL,DET,0,4,4,5,1465.23,19100,71.60,0.549,48100,0
12,chalk,0.850,0.854,5,2,PHI,CHC,2,4,5,7,2435.57,24300,109.16,11.137,49000,0
13,leverage,0.150,0.085,5,2,MIL,DET,1,4,5,6,2035.78,22300,76.23,0.574,48600,0
14,leverage,0.150,0.149,5,3,SF,LAD,0,3,3,5,2289.89,23900,94.63,1.018,49800,0
15,mid,0.500,0.508,5,2,CWS,ARI,0,5,5,5,2468.79,24300,102.29,2.516,49900,0
16,leverage,0.150,0.146,4,3,CWS,ARI,0,4,4,4,2493.67,24000,96.11,1.146,48400,0
17,mid,0.500,0.334,5,3,MIL,DET,0,4,4,5,1921.48,21800,96.99,1.804,48700,0
18,chalk,0.850,0.799,4,2,SD,COL,0,5,5,4,2442.46,24000,107.16,4.960,49800,0
19,mid,0.500,0.466,5,1,CWS,ARI,1,5,6,6,2580.79,24800,98.89,1.918,48500,0
20,leverage,0.150,0.256,4,3,CWS,ARI,1,4,5,5,2540.87,24300,103.29,2.654,48000,0
21,chalk,0.850,0.716,4,4,CWS,ARI,0,4,4,4,2531.88,24600,105.45,4.939,48600,0
22,mid,0.500,0.526,5,2,ARI,CWS,0,5,5,5,2513.48,24500,103.73,3.178,49200,0
23,chalk,0.850,0.985,5,1,PHI,CHC,0,5,5,5,2424.79,24500,111.31,15.223,49800,0
24,chalk,0.850,0.995,5,2,PHI,CHC,2,4,5,7,2411.33,24300,111.02,12.814,49500,0
25,mid,0.500,0.325,4,4,ARI,CWS,0,4,4,4,2622.77,24600,105.28,3.568,48900,0
26,mid,0.500,0.453,5,2,PHI,CHC,2,4,5,7,2441.09,24300,108.41,11.361,49100,0
27,leverage,0.150,0.197,5,2,PHI,CHC,0,5,5,5,2498.02,24500,106.62,10.787,48700,0
28,leverage,0.150,0.042,5,1,PHI,CHC,1,4,5,6,2057.28,23000,107.56,11.448,49600,0
29,mid,0.500,0.507,5,3,PHI,CHC,0,4,4,5,2480.00,24300,106.86,5.677,48400,0
30,chalk,0.850,0.830,4,3,PHI,CHC,3,4,5,7,2415.14,24000,109.43,11.948,48900,0
31,chalk,0.850,0.741,5,2,PHI,CHC,0,5,5,5,2440.68,24500,108.45,11.865,49900,0
32,leverage,0.150,0.012,5,2,PHI,CHC,2,4,5,7,2350.74,24300,108.26,10.731,50000,0
33,chalk,0.850,0.818,5,3,WSH,ATL,0,4,4,5,2411.83,24400,101.36,7.018,49900,0
34,chalk,0.850,0.695,5,2,PHI,CHC,1,4,5,6,2233.74,23600,108.28,11.758,49800,0
35,chalk,0.850,0.804,5,2,PHI,CHC,0,3,4,6,2060.49,22600,106.87,15.112,49800,0
36,chalk,0.850,0.714,5,3,PHI,CHC,3,3,4,8,1890.61,21800,106.60,10.446,48600,0
37,leverage,0.150,0.184,5,3,PHI,CHC,0,3,3,5,2408.09,23600,106.05,5.936,48900,0
