Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5085633393,Bsgolfer7 (119/150),0,413.5,C Bam Adebayo F Ousmane Dieng G VJ Edgecombe PF Simone Fontecchio PG Kasparas Jakucionis SF Dyson Daniels SG Cameron Payne UTIL Victor Wembanyama,,Bam Adebayo,C,53.89%,107.75
2,5085471532,bntr16 (43/75),0,406.75,C Bam Adebayo F Ousmane Dieng G Dru Smith PF Jalen Johnson PG Cameron Payne SF Kelly Oubre Jr. SG Dyson Daniels UTIL Sandro Mamukelashvili,,Jaime Jaquez Jr.,SF,42.02%,25
3,5085633389,Bsgolfer7 (115/150),0,405.5,C Bam Adebayo F Simone Fontecchio G Kasparas Jakucionis PF Jalen Johnson PG Cameron Payne SF Ousmane Dieng SG Marcus Sasser UTIL Victor Wembanyama,,Jalen Johnson,PF,26.29%,54.25
4,5085384648,RichGreen4 (2/50),0,403,C Bam Adebayo F Kevin Durant G Ben Saraf PF Myron Gardner PG Kasparas Jakucionis SF Dyson Daniels SG Cameron Payne UTIL Victor Wembanyama,,Kasparas Jakucionis,PG,25.75%,23.75
5,5085297487,RoyalPain21 (7/150),0,400,C Bam Adebayo F Kyle Kuzma G Stephon Castle PF Simone Fontecchio PG Davion Mitchell SF Ousmane Dieng SG Dyson Daniels UTIL Victor Wembanyama,,Myron Gardner,PF,22.16%,22
5,5085670392,conradical907 (96/100),0,400,C Bam Adebayo F Giannis Antetokounmpo G Dru Smith PF Simone Fontecchio PG Kasparas Jakucionis SF Kyle Kuzma SG Cameron Payne UTIL Victor Wembanyama,,Simone Fontecchio,PF,18.70%,30
7,5085145005,44scorcher (139/150),0,399,C Bam Adebayo F Jalen Johnson G Kasparas Jakucionis PF Myron Gardner PG Cameron Payne SF Kevin Durant SG Dyson Daniels UTIL Simone Fontecchio,,Kasparas Jakucionis,G,18.55%,23.75
8,5085516051,nicoh22 (62/150),0,398.5,C Bam Adebayo F Simone Fontecchio G Davion Mitchell PF Myron Gardner PG Ty Jerome SF Jalen Green SG Cameron Payne UTIL Victor Wembanyama,,Sandro Mamukelashvili,UTIL,17.96%,22.5
9,5085297619,RoyalPain21 (139/150),0,398.25,C Bam Adebayo F Jalen Johnson G Derrick White PF Simone Fontecchio PG Kasparas Jakucionis SF Ousmane Dieng SG Kelly Oubre Jr. UTIL Myles Turner,,Dru Smith,PG,16.68%,23.25
9,5085632634,Bsgolfer7 (28/150),0,398.25,C Bam Adebayo F Myron Gardner G Kasparas Jakucionis PF Simone Fontecchio PG Cameron Payne SF Cooper Flagg SG Dyson Daniels UTIL Victor Wembanyama,,Jalen Johnson,F,16.56%,54.25
11,5085514149,InsertCleverPhrase (1/2),0,397.75,C Bam Adebayo F Danny Wolf G Stephon Castle PF Simone Fontecchio PG Tre Johnson SF Dyson Daniels SG Cameron Payne UTIL Jalen Johnson,,Myron Gardner,F,13.78%,22
11,5085635111,weasel5977 (4/9),0,397.75,C Bam Adebayo F Simone Fontecchio G Cameron Payne PF Jalen Johnson PG De'Aaron Fox SF Ousmane Dieng SG Stephon Castle UTIL Dylan Harper,,Dru Smith,G,13.47%,23.25
13,5085234588,futurehendrix1 (2/30),0,397.5,C Bam Adebayo F Jalen Johnson G Davion Mitchell PF Simone Fontecchio PG Dru Smith SF Dyson Daniels SG Cameron Payne UTIL Jalen Duren,,Dyson Daniels,SG,12.89%,45.25
13,5085263942,invertedcheese (84/150),0,397.5,C Bam Adebayo F Myron Gardner G Dru Smith PF Jalen Johnson PG Kasparas Jakucionis SF Ousmane Dieng SG Cameron Payne UTIL Victor Wembanyama,,Quentin Grimes,SG,12.39%,32.75
13,5085284677,TeeJayOrTj (59/150),0,397.5,C Bam Adebayo F Myron Gardner G Dru Smith PF Jalen Johnson PG Kasparas Jakucionis SF Ousmane Dieng SG Cameron Payne UTIL Victor Wembanyama,,Simone Fontecchio,F,11.66%,30
13,5085365968,lozingitall (126/150),0,397.5,C Bam Adebayo F Myron Gardner G Kasparas Jakucionis PF Jalen Johnson PG Dru Smith SF Ousmane Dieng SG Cameron Payne UTIL Victor Wembanyama,,VJ Edgecombe,SG,10.17%,40.25
17,5085238045,ShaidyAdvice (9/150),0,397.25,C Bam Adebayo F Kyle Kuzma G Derrick White PF Simone Fontecchio PG Kasparas Jakucionis SF Jaime Jaquez Jr. SG Cedric Coward UTIL Victor Wembanyama,,Victor Wembanyama,UTIL,9.28%,65.75
17,5085421942,bhy101 (103/150),0,397.25,C Bam Adebayo F Kyle Kuzma G Derrick White PF Simone Fontecchio PG Kasparas Jakucionis SF Jaime Jaquez Jr. SG Cedric Coward UTIL Victor Wembanyama,,Quentin Grimes,PG,9.25%,32.75
19,5085322110,dacoltz (128/150),0,396.5,C Bam Adebayo F Myron Gardner G Marcus Sasser PF Jalen Johnson PG Cameron Payne SF RJ Barrett SG Dyson Daniels UTIL Myles Turner,,Bam Adebayo,UTIL,8.85%,107.75
19,5085628524,sdbancroft (2/15),0,396.5,C Bam Adebayo F Jaime Jaquez Jr. G De'Aaron Fox PF Simone Fontecchio PG Dru Smith SF Dyson Daniels SG Cameron Payne UTIL Jalen Johnson,,Jaime Jaquez Jr.,F,8.17%,25
19,5085659712,0000win0000,0,396.5,C Bam Adebayo F Simone Fontecchio G Dyson Daniels PF Jalen Johnson PG Dru Smith SF Jaime Jaquez Jr. SG Cameron Payne UTIL De'Aaron Fox,,Michael Porter Jr.,SF,7.63%,24
22,5085657300,maxhhi (30/40),0,396,C Bam Adebayo F Simone Fontecchio G Kasparas Jakucionis PF Jalen Johnson PG Dru Smith SF Kyle Kuzma SG Cedric Coward UTIL Victor Wembanyama,,Sandro Mamukelashvili,C,7.50%,22.5
22,5085670363,conradical907 (67/100),0,396,C Bam Adebayo F Jalen Johnson G Dru Smith PF Simone Fontecchio PG Kasparas Jakucionis SF Kyle Kuzma SG Cedric Coward UTIL Victor Wembanyama,,Davion Mitchell,G,6.89%,28.75
24,5085139782,ckk-244ayk (116/150),0,395.5,C Bam Adebayo F Jalen Johnson G Dyson Daniels PF Olivier-Maxence Prosper PG Kasparas Jakucionis SF Jaime Jaquez Jr. SG Cameron Payne UTIL Kyle Kuzma,,Victor Wembanyama,C,6.80%,65.75
25,5085328983,bringdaruckus312 (3/3),0,394.5,C Bam Adebayo F Jalen Johnson G De'Aaron Fox PF Danny Wolf PG Dru Smith SF Dyson Daniels SG Cameron Payne UTIL Sandro Mamukelashvili,,Devin Booker,SG,6.79%,47.25
26,5085452500,moklovin (42/150),0,394,C Bam Adebayo F Jaime Jaquez Jr. G Kasparas Jakucionis PF Jalen Johnson PG Cameron Payne SF Kelly Oubre Jr. SG Cedric Coward UTIL Myron Gardner,,Davion Mitchell,PG,6.39%,28.75
27,5085514152,InsertCleverPhrase (2/2),0,392.75,C Bam Adebayo F Danny Wolf G Collin Gillespie PF Myron Gardner PG Tre Johnson SF Dyson Daniels SG Cameron Payne UTIL Jalen Johnson,,Ty Jerome,PG,6.27%,40.5
28,5085509078,sammydevo,0,392.5,C Bam Adebayo F Jalen Johnson G Cedric Coward PF Simone Fontecchio PG De'Aaron Fox SF Jaime Jaquez Jr. SG Cameron Payne UTIL Sandro Mamukelashvili,,Pelle Larsson,SG,5.78%,19.5
29,5085317291,nldinkel (1/2),0,392,C Bam Adebayo F Simone Fontecchio G Cameron Payne PF Jalen Johnson PG CJ McCollum SF Kyle Kuzma SG Quentin Grimes UTIL Dylan Harper,,Cooper Flagg,SF,5.77%,37.5
30,5085292216,Termight (29/30),0,391.75,C Bam Adebayo F Simone Fontecchio G De'Aaron Fox PF Myron Gardner PG Dru Smith SF Dyson Daniels SG Kelly Oubre Jr. UTIL Victor Wembanyama,,Dyson Daniels,SF,5.71%,45.25
30,5085516017,nicoh22 (28/150),0,391.75,C Bam Adebayo F Jalen Green G Kasparas Jakucionis PF Simone Fontecchio PG Dru Smith SF Cooper Flagg SG Cameron Payne UTIL Victor Wembanyama,,Marcus Sasser,SG,5.14%,23.25
30,5085577795,webstarrr,0,391.75,C Bam Adebayo F Myron Gardner G Kasparas Jakucionis PF Jalen Johnson PG Ty Jerome SF Kyle Kuzma SG Kelly Oubre Jr. UTIL Myles Turner,,CJ McCollum,SG,4.93%,30.25
30,5085628368,futurehendrix1 (30/30),0,391.75,C Bam Adebayo F Myron Gardner G De'Aaron Fox PF Simone Fontecchio PG Dru Smith SF Kelly Oubre Jr. SG Dyson Daniels UTIL Victor Wembanyama,,Ousmane Dieng,SF,4.67%,34.5
34,5085144893,44scorcher (27/150),0,391.5,C Bam Adebayo F Jaime Jaquez Jr. G Davion Mitchell PF Myron Gardner PG Cameron Payne SF Ousmane Dieng SG Kelly Oubre Jr. UTIL Jalen Johnson,,Ousmane Dieng,F,4.65%,34.5
34,5085446442,sullybrochill (72/150),0,391.5,C Bam Adebayo F Simone Fontecchio G Kasparas Jakucionis PF Jalen Johnson PG Cameron Payne SF Keshad Johnson SG Cedric Coward UTIL Cade Cunningham,,Jaylen Brown,SG,4.56%,22
36,5085562743,Fabdiddy (20/20),0,391.25,C Bam Adebayo F Simone Fontecchio G Dyson Daniels PF Trendon Watford PG Davion Mitchell SF Kyle Kuzma SG Nickeil Alexander-Walker UTIL Victor Wembanyama,,Adem Bona,C,4.52%,11.25
37,5085297543,RoyalPain21 (63/150),0,391,C Bam Adebayo F Dyson Daniels G De'Aaron Fox PF Simone Fontecchio PG Kasparas Jakucionis SF Kelly Oubre Jr. SG Quentin Grimes UTIL Derrick White,,Kelly Oubre Jr.,SG,4.44%,53
37,5085421897,bhy101 (58/150),0,391,C Bam Adebayo F Myron Gardner G Devin Booker PF Simone Fontecchio PG Kasparas Jakucionis SF Kyle Kuzma SG Dyson Daniels UTIL Victor Wembanyama,,Cooper Flagg,PG,4.39%,37.5
39,5085445529,phils44 (26/150),0,390.75,C Bam Adebayo F Jalen Johnson G Kasparas Jakucionis PF Myron Gardner PG Cameron Payne SF Dyson Daniels SG CJ McCollum UTIL Myles Turner,,De'Aaron Fox,G,4.28%,44.75
40,5085343394,pops6870,0,390.5,C Bam Adebayo F Dyson Daniels G De'Aaron Fox PF Simone Fontecchio PG Quentin Grimes SF Jaime Jaquez Jr. SG Cameron Payne UTIL Stephon Castle,,Dyson Daniels,G,4.07%,45.25
40,5085609396,UglyLovely (2/28),0,390.5,C Bam Adebayo F Simone Fontecchio G Devin Booker PF Myron Gardner PG Dru Smith SF Kyle Kuzma SG Dyson Daniels UTIL Victor Wembanyama,,Jalen Johnson,UTIL,4.05%,54.25
42,5085618405,daveo468,0,390.25,C Bam Adebayo F Ousmane Dieng G Kasparas Jakucionis PF Jalen Johnson PG Quentin Grimes SF Kelly Oubre Jr. SG Cameron Payne UTIL Baylor Scheierman,,Michael Porter Jr.,F,3.99%,24
43,5085279644,everydayidecay (5/17),0,389.75,C Bam Adebayo F Kelly Oubre Jr. G Bub Carrington PF Olivier-Maxence Prosper PG Cam Thomas SF Ousmane Dieng SG Cameron Payne UTIL Victor Wembanyama,,Stephon Castle,SG,3.86%,38.75
43,5085674802,ChevChelios (12/20),0,389.75,C Bam Adebayo F Myron Gardner G Cade Cunningham PF Simone Fontecchio PG Dru Smith SF Ousmane Dieng SG Cameron Payne UTIL Jalen Johnson,,Nickeil Alexander-Walker,SG,3.77%,42.5
45,5085279647,everydayidecay (8/17),0,389.5,C Bam Adebayo F Jalen Green G Tre Johnson PF Olivier-Maxence Prosper PG Davion Mitchell SF Ousmane Dieng SG Cameron Payne UTIL Victor Wembanyama,,Cedric Coward,SG,3.76%,42
46,5085256831,RickyDurds,0,389.25,C Bam Adebayo F Rayan Rupert G VJ Edgecombe PF Kyle Kuzma PG Cameron Payne SF Jaime Jaquez Jr. SG Dyson Daniels UTIL Jabari Smith Jr.,,Giannis Antetokounmpo,F,3.38%,34
46,5085592156,rsbathla (136/150),0,389.25,C Bam Adebayo F Ousmane Dieng G Stephon Castle PF Myron Gardner PG Cameron Payne SF Jaime Jaquez Jr. SG Dyson Daniels UTIL Kevin Durant,,Kelly Oubre Jr.,SF,3.34%,53
48,5085544006,TazMazz13 (137/141),0,389,C Bam Adebayo F Simone Fontecchio G Dru Smith PF Jalen Johnson PG Kasparas Jakucionis SF RJ Barrett SG Cameron Payne UTIL Devin Booker,,Cooper Flagg,G,3.29%,37.5
49,5085421946,bhy101 (107/150),0,388.25,C Bam Adebayo F Kevin Durant G Kasparas Jakucionis PF Simone Fontecchio PG Dru Smith SF Kyle Kuzma SG Stephon Castle UTIL Victor Wembanyama,,Daniel Gafford,C,3.28%,31
49,5085446505,sullybrochill (135/150),0,388.25,C Bam Adebayo F Jalen Johnson G Stephon Castle PF Myron Gardner PG Kasparas Jakucionis SF Kelly Oubre Jr. SG Cameron Payne UTIL Sandro Mamukelashvili,,Trendon Watford,PF,3.26%,22
51,5085363591,giantsquid (1/150),0,388,C Victor Wembanyama F Myron Gardner G Dru Smith PF Kyle Kuzma PG Quentin Grimes SF Dyson Daniels SG Cedric Coward UTIL Bam Adebayo,,Devin Booker,G,3.25%,47.25
52,5085653345,spotts76,0,387.75,C Bam Adebayo F Royce O'Neale G Dyson Daniels PF Danny Wolf PG Ty Jerome SF Jaime Jaquez Jr. SG Quentin Grimes UTIL Cameron Payne,,Pelle Larsson,SF,3.19%,19.5
53,5085284636,TeeJayOrTj (18/150),0,387.5,C Bam Adebayo F Simone Fontecchio G Kelly Oubre Jr. PF Jalen Johnson PG Davion Mitchell SF Jaime Jaquez Jr. SG Cameron Payne UTIL Sandro Mamukelashvili,,Onyeka Okongwu,C,3.00%,43.25
53,5085291645,lostories (45/150),0,387.5,C Bam Adebayo F Kyle Kuzma G De'Aaron Fox PF Simone Fontecchio PG Dru Smith SF Will Riley SG Quentin Grimes UTIL Victor Wembanyama,,Julian Champagnie,PF,2.95%,5.75
53,5085321985,dacoltz (3/150),0,387.5,C Bam Adebayo F Ousmane Dieng G Kasparas Jakucionis PF Jalen Johnson PG Davion Mitchell SF Kevin Durant SG Cameron Payne UTIL Sandro Mamukelashvili,,Justin Champagnie,SF,2.93%,18.25
56,5085370541,bpcologna (90/150),0,387.25,C Bam Adebayo F Myron Gardner G Devin Booker PF Simone Fontecchio PG Kasparas Jakucionis SF Kyle Kuzma SG Kelly Oubre Jr. UTIL Jalen Johnson,,Cade Cunningham,PG,2.92%,51.75
57,5085279642,everydayidecay (3/17),0,386.75,C Bam Adebayo F Jayson Tatum G Daniss Jenkins PF Olivier-Maxence Prosper PG Cam Thomas SF Ousmane Dieng SG Cameron Payne UTIL Victor Wembanyama,,Jalen Duren,C,2.89%,42
57,5085653046,Bknp7,0,386.75,C Bam Adebayo F Ousmane Dieng G Kelly Oubre Jr. PF Simone Fontecchio PG Davion Mitchell SF Jaime Jaquez Jr. SG Cedric Coward UTIL Victor Wembanyama,,Tristan Vukcevic,C,2.88%,6.5
