Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5043096147,zroth2 (68/150),0,336.75,C Onyeka Okongwu F Julius Randle G Anthony Edwards PF Sam Hauser PG De'Aaron Fox SF Jarace Walker SG Quenton Jackson UTIL Kyshawn George,,Quenton Jackson,SG,76.55%,13.75
2,5044249559,msisson333 (35/42),0,333.75,C Bam Adebayo F Norman Powell G Jamal Murray PF Jarace Walker PG Quenton Jackson SF Johnny Furphy SG Anthony Edwards UTIL Kyshawn George,,Jarace Walker,F,71.77%,23.25
3,5043500906,lozingitall (124/150),0,332.5,C Bam Adebayo F Brandon Miller G Jamal Murray PF Sam Hauser PG Quenton Jackson SF Jarace Walker SG Anfernee Simons UTIL Victor Wembanyama,,Jay Huff,PF,45.03%,6.25
4,5043009434,bpcologna (22/150),0,331.25,C Mitchell Robinson F Jaylen Brown G Anthony Edwards PF Jarace Walker PG Quenton Jackson SF Sam Hauser SG Miles McBride UTIL Jamal Murray,,Jamal Murray,PG,32.90%,62.75
5,5044649086,Jaycee37 (2/2),0,329,C Onyeka Okongwu F Aaron Gordon G De'Aaron Fox PF OG Anunoby PG Anfernee Simons SF Jarace Walker SG Kyshawn George UTIL Bam Adebayo,,Johnny Furphy,SF,29.38%,15.25
6,5043096210,zroth2 (131/150),0,327.75,C Victor Wembanyama F Tim Hardaway Jr. G Anthony Edwards PF OG Anunoby PG Quenton Jackson SF Jarace Walker SG CJ McCollum UTIL Kyshawn George,,Anfernee Simons,SG,28.84%,21
7,5043251641,donkeynutz,0,327.25,C Bam Adebayo F Aaron Gordon G Jamal Murray PF Sam Hauser PG Bub Carrington SF Justin Champagnie SG Anfernee Simons UTIL Chet Holmgren,,Miles McBride,PG,25.67%,39.5
8,5044581996,JohnnyDrama34,0,324,C Aaron Gordon F Tim Hardaway Jr. G Shai Gilgeous-Alexander PF Chet Holmgren PG Miles McBride SF Sam Hauser SG Anfernee Simons UTIL Kon Knueppel,,Naz Reid,F,25.31%,2
9,5044558636,OneDropKing (15/150),0,322.25,C Bam Adebayo F Andrew Wiggins G Norman Powell PF Jarace Walker PG Quenton Jackson SF Justin Champagnie SG Anthony Edwards UTIL Victor Wembanyama,,Ben Sheppard,SG,22.84%,12.5
10,5044615430,jusnit (17/20),0,321.75,C Bam Adebayo F Aaron Gordon G Bub Carrington PF Julius Randle PG Quenton Jackson SF Jarace Walker SG Anthony Edwards UTIL Kyshawn George,,Karl-Anthony Towns,C,22.32%,45.25
11,5044286281,kenu0878 (2/3),0,320.75,C Victor Wembanyama F Aaron Gordon G Shai Gilgeous-Alexander PF Sam Hauser PG Quenton Jackson SF Norman Powell SG Ben Sheppard UTIL Kyshawn George,,Jaylen Brown,SF,21.29%,56
12,5043096200,zroth2 (121/150),0,320.5,C Naz Reid F Jarace Walker G Kyshawn George PF OG Anunoby PG Quenton Jackson SF Sam Hauser SG Anthony Edwards UTIL Jamal Murray,,Stephen Curry,PG,18.96%,24.75
13,5043457584,ocdobv (5/150),0,318.75,C Bam Adebayo F Norman Powell G Pelle Larsson PF Andrew Wiggins PG Quenton Jackson SF Jarace Walker SG Anthony Edwards UTIL Jamal Murray,,Jalen Johnson,PF,18.52%,30.5
14,5043910777,jmoore3903 (142/150),0,318.5,C Mark Williams F Brandon Miller G Jamal Murray PF Chet Holmgren PG Quenton Jackson SF Sam Hauser SG Anfernee Simons UTIL Bam Adebayo,,Norman Powell,SG,18.09%,38
15,5043434820,skijmb (142/150),0,318.25,C Jalen Duren F Aaron Gordon G Jamal Murray PF Andrew Wiggins PG De'Aaron Fox SF Baylor Scheierman SG Quenton Jackson UTIL Bam Adebayo,,Shai Gilgeous-Alexander,PG,17.98%,50.5
15,5044558688,OneDropKing (67/150),0,318.25,C Victor Wembanyama F Justin Champagnie G Anthony Edwards PF Jarace Walker PG Tre Johnson SF Sam Hauser SG Quenton Jackson UTIL Jamal Murray,,Cade Cunningham,G,16.87%,27.25
17,5044532412,zen555 (7/10),0,317.75,C Onyeka Okongwu F Aaron Gordon G Jamal Murray PF Sam Hauser PG Quenton Jackson SF Johnny Furphy SG Miles McBride UTIL Victor Wembanyama,,Bam Adebayo,UTIL,16.35%,57
18,5043014336,rebdawg,0,317.5,C Bam Adebayo F Grayson Allen G Kon Knueppel PF Andrew Wiggins PG CJ McCollum SF Norman Powell SG Kyshawn George UTIL Nickeil Alexander-Walker,,Victor Wembanyama,UTIL,15.90%,59.75
19,5044533060,ewsams (20/20),0,317,C Onyeka Okongwu F Jarace Walker G Kyshawn George PF OG Anunoby PG Quenton Jackson SF Johnny Furphy SG Anthony Edwards UTIL Victor Wembanyama,,Aaron Gordon,PF,14.84%,40.5
20,5043305581,beaker913 (45/150),0,315.5,C Onyeka Okongwu F Brandon Miller G Jamal Murray PF Jarace Walker PG Miles McBride SF Norman Powell SG Quenton Jackson UTIL Bam Adebayo,,Onyeka Okongwu,C,14.27%,36.25
21,5043500869,lozingitall (87/150),0,315,C Bam Adebayo F Jarace Walker G De'Aaron Fox PF OG Anunoby PG Quenton Jackson SF Jaylen Brown SG Norman Powell UTIL Andrew Wiggins,,Jimmy Butler,SF,13.33%,0
21,5043870415,Intwandawala,0,315,C Victor Wembanyama F Brandon Miller G Kyshawn George PF Andrew Wiggins PG Anfernee Simons SF Tim Hardaway Jr. SG Jalen Pickett UTIL OG Anunoby,,Jalen Duren,UTIL,12.66%,32.5
21,5044585797,ZMhays (95/150),0,315,C Aaron Gordon F Julius Randle G Bub Carrington PF OG Anunoby PG Quenton Jackson SF Sam Hauser SG Miles McBride UTIL Jamal Murray,,Peyton Watson,F,11.67%,33.75
21,5044617921,fja2k (3/6),0,315,C Aaron Gordon F Tobias Harris G Miles McBride PF Peyton Watson PG Jamal Murray SF Sam Hauser SG Anfernee Simons UTIL Kon Knueppel,,LaMelo Ball,UTIL,11.46%,23
25,5043610512,pgk8 (16/20),0,314.75,C Victor Wembanyama F Julius Randle G Anthony Edwards PF Jarace Walker PG Quenton Jackson SF Johnny Furphy SG Miles McBride UTIL Kyshawn George,,Andrew Wiggins,PF,10.79%,31.75
26,5043096217,zroth2 (138/150),0,313.75,C Bam Adebayo F Julius Randle G De'Aaron Fox PF Jay Huff PG Quenton Jackson SF Jarace Walker SG Anthony Edwards UTIL Kyshawn George,,Derrick White,G,10.58%,39.25
26,5043500877,lozingitall (95/150),0,313.75,C Bam Adebayo F Andrew Wiggins G Jamal Murray PF Sam Hauser PG Anfernee Simons SF Norman Powell SG Quenton Jackson UTIL Julius Randle,,Brandon Miller,F,9.43%,45
28,5043910665,jmoore3903 (30/150),0,313.25,C Karl-Anthony Towns F Jaden McDaniels G Shai Gilgeous-Alexander PF Jarace Walker PG Quenton Jackson SF Sam Hauser SG Miles McBride UTIL De'Aaron Fox,,CJ McCollum,PG,8.78%,28.25
29,5044558680,OneDropKing (59/150),0,313,C Victor Wembanyama F Brandon Miller G De'Aaron Fox PF Aaron Gordon PG Quenton Jackson SF Jarace Walker SG Ben Sheppard UTIL Anthony Edwards,,Anthony Edwards,G,7.35%,68
29,5044558696,OneDropKing (75/150),0,313,C Bam Adebayo F Norman Powell G Kon Knueppel PF Andrew Wiggins PG Quenton Jackson SF Jaylen Brown SG Pelle Larsson UTIL Brandon Miller,,Chet Holmgren,PF,7.04%,41.25
31,5042918821,richamar88,0,312.75,C Marvin Bagley III F Jaylen Brown G Shai Gilgeous-Alexander PF Ronald Holland II PG Cason Wallace SF Sam Hauser SG Duncan Robinson UTIL Victor Wembanyama,,OG Anunoby,PF,7.04%,45
32,5043457609,ocdobv (30/150),0,312.5,C Bam Adebayo F Tim Hardaway Jr. G Shai Gilgeous-Alexander PF Andrew Wiggins PG Quenton Jackson SF Jarace Walker SG Miles McBride UTIL Jamal Murray,,Grayson Allen,SF,6.81%,24
33,5043772845,thechek182 (28/30),0,312.25,C Aaron Gordon F Jaylen Brown G Jamal Murray PF Sam Hauser PG Quenton Jackson SF Jarace Walker SG Anfernee Simons UTIL Brandon Miller,,Alexandre Sarr,C,6.52%,26.5
34,5043526327,giantsquid (12/52),0,312,C Bam Adebayo F Brandon Miller G Norman Powell PF Andrew Wiggins PG Jamal Murray SF Jarace Walker SG Quenton Jackson UTIL Aaron Gordon,,Mitchell Robinson,C,6.25%,18
35,5043591060,jezfer14,0,310.75,C Karl-Anthony Towns F Jarace Walker G Jamal Murray PF Sam Hauser PG Quenton Jackson SF Jaylen Brown SG Miles McBride UTIL Kasparas Jakucionis,,Sam Hauser,F,5.97%,50
36,5044558728,OneDropKing (107/150),0,310.5,C Karl-Anthony Towns F Pelle Larsson G Shai Gilgeous-Alexander PF Andrew Wiggins PG Quenton Jackson SF Sam Hauser SG Norman Powell UTIL Bam Adebayo,,Julius Randle,F,5.83%,39.5
36,5044585755,ZMhays (53/150),0,310.5,C Victor Wembanyama F OG Anunoby G Jamal Murray PF Sam Hauser PG Quenton Jackson SF Jarace Walker SG Miles McBride UTIL Miles Bridges,,Miles Bridges,F,5.81%,16.5
38,5044532998,Kennethgeorge,0,309,C Bam Adebayo F Aaron Gordon G Pelle Larsson PF Andrew Wiggins PG Jamal Murray SF Justin Champagnie SG Norman Powell UTIL Bub Carrington,,Pelle Larsson,SG,5.39%,24.25
38,5044626391,kwax1 (19/20),0,309,C Onyeka Okongwu F Aaron Gordon G Norman Powell PF Andrew Wiggins PG Miles McBride SF Brandon Miller SG Anfernee Simons UTIL Bam Adebayo,,Kasparas Jakucionis,G,5.18%,20.25
40,5044657758,Twilly01 (1/2),0,308.75,C Karl-Anthony Towns F Aaron Gordon G Norman Powell PF Tim Hardaway Jr. PG De'Aaron Fox SF Jaden McDaniels SG Anfernee Simons UTIL De'Anthony Melton,,Devin Booker,G,5.09%,38.5
41,5043526316,giantsquid (1/52),0,308.5,C Bam Adebayo F Norman Powell G Anthony Edwards PF Jay Huff PG Quenton Jackson SF Jarace Walker SG Miles McBride UTIL Jamal Murray,,Kon Knueppel,G,4.48%,47.25
42,5042837495,oxenduck (134/150),0,308.25,C Bam Adebayo F Brandon Miller G Jamal Murray PF Aaron Gordon PG Quenton Jackson SF Jarace Walker SG Miles McBride UTIL Alexandre Sarr,,De'Aaron Fox,G,4.27%,50.25
42,5043054818,Kenmasters7 (33/33),0,308.25,C Bam Adebayo F Chet Holmgren G Norman Powell PF Keldon Johnson PG Jamal Murray SF Jarace Walker SG Quenton Jackson UTIL Brandon Miller,,Nickeil Alexander-Walker,G,4.17%,35.5
