Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5084689938,wilson1 (5/7),0,362.5,C Day'Ron Sharpe F Jaylin Williams G Shai Gilgeous-Alexander PF Danny Wolf PG Nolan Traore SF Jaylen Wells SG De'Anthony Melton UTIL Karl-Anthony Towns,,Nikola Jokic,C,36.84%,75.5
1,5084753594,ckk-244ayk (10/150),0,362.5,C Day'Ron Sharpe F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF Jaylen Wells SG De'Anthony Melton UTIL Karl-Anthony Towns,,Cam Spencer,SF,27.53%,26
3,5084737250,sullybrochill (75/150),0,362.25,C Nikola Jokic F Danny Wolf G Nolan Traore PF Jaylin Williams PG Cameron Payne SF Rayan Rupert SG De'Anthony Melton UTIL Karl-Anthony Towns,,Javon Small,PG,25.74%,36.75
4,5084753657,ckk-244ayk (73/150),0,362,C Karl-Anthony Towns F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF De'Anthony Melton SG Brice Sensabaugh UTIL Ajay Mitchell,,Danny Wolf,PF,23.42%,32.75
5,5084753662,ckk-244ayk (78/150),0,361.25,C Day'Ron Sharpe F Jaylin Williams G De'Anthony Melton PF Danny Wolf PG Shai Gilgeous-Alexander SF Jaylen Wells SG Isaiah Joe UTIL Karl-Anthony Towns,,Quentin Grimes,SG,20.16%,28.25
6,5084410229,oxenduck (18/150),0,360.25,C Karl-Anthony Towns F Jaylin Williams G Javon Small PF Danny Wolf PG Nolan Traore SF De'Anthony Melton SG Cam Spencer UTIL Shai Gilgeous-Alexander,,Quentin Grimes,PG,17.67%,28.25
6,5084436087,B_Heals152 (139/150),0,360.25,C Karl-Anthony Towns F Danny Wolf G Javon Small PF Jaylin Williams PG Nolan Traore SF De'Anthony Melton SG Cam Spencer UTIL Shai Gilgeous-Alexander,,Walter Clayton Jr.,SG,17.61%,19.5
6,5084453406,44scorcher (25/150),0,360.25,C Karl-Anthony Towns F Danny Wolf G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF Cam Spencer SG De'Anthony Melton UTIL Nolan Traore,,Jaylin Williams,PF,16.00%,57
6,5084597188,bgreseth (125/150),0,360.25,C Karl-Anthony Towns F Jaylin Williams G Nolan Traore PF Danny Wolf PG Javon Small SF De'Anthony Melton SG Cam Spencer UTIL Shai Gilgeous-Alexander,,Nic Claxton,C,15.67%,29.5
6,5084701537,Hebrewcheetah (71/150),0,360.25,C Karl-Anthony Towns F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF De'Anthony Melton SG Cam Spencer UTIL Javon Small,,Javon Small,G,15.34%,36.75
6,5084704957,TeeJayOrTj (25/150),0,360.25,C Karl-Anthony Towns F Danny Wolf G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF De'Anthony Melton SG Cam Spencer UTIL Nolan Traore,,Nikola Jokic,UTIL,15.06%,75.5
6,5084845416,Skol_Krusher (72/150),0,360.25,C Karl-Anthony Towns F Jaylin Williams G Javon Small PF Danny Wolf PG Nolan Traore SF De'Anthony Melton SG Cam Spencer UTIL Shai Gilgeous-Alexander,,Olivier-Maxence Prosper,PF,14.27%,23.5
6,5084874869,jeremyqking1 (7/8),0,360.25,C Karl-Anthony Towns F Danny Wolf G Nolan Traore PF Jaylin Williams PG Shai Gilgeous-Alexander SF De'Anthony Melton SG Cam Spencer UTIL Javon Small,,Jaylen Wells,SF,14.16%,31.25
6,5084882275,TazMazz13 (72/150),0,360.25,C Karl-Anthony Towns F Jaylin Williams G Nolan Traore PF Danny Wolf PG Javon Small SF De'Anthony Melton SG Cam Spencer UTIL Shai Gilgeous-Alexander,,Shai Gilgeous-Alexander,PG,13.97%,75.75
15,5084937515,Firedog50 (57/150),0,358.75,C Nikola Jokic F Jaylin Williams G Javon Small PF Danny Wolf PG Nolan Traore SF Rayan Rupert SG Isaiah Joe UTIL Karl-Anthony Towns,,Cam Spencer,SG,13.15%,26
16,5084874865,jeremyqking1 (3/8),0,358.25,C Nikola Jokic F Danny Wolf G Javon Small PF Jaylin Williams PG Nolan Traore SF Rayan Rupert SG Cam Spencer UTIL Karl-Anthony Towns,,Jaylin Williams,F,12.90%,57
16,5084933566,Dpac2 (71/150),0,358.25,C Nikola Jokic F Jaylin Williams G Nolan Traore PF Danny Wolf PG Javon Small SF Rayan Rupert SG Cam Spencer UTIL Karl-Anthony Towns,,Nolan Traore,PG,12.12%,27.75
18,5084656209,kszng (28/150),0,358,C Kyle Filipowski F Danny Wolf G Ziaire Williams PF Jaylin Williams PG Javon Small SF Rayan Rupert SG De'Anthony Melton UTIL Nikola Jokic,,Kelly Oubre Jr.,SF,11.94%,10
19,5084872889,conradical907 (75/150),0,357.5,C Karl-Anthony Towns F Jaylin Williams G Shai Gilgeous-Alexander PF Danny Wolf PG Javon Small SF John Konchar SG Cam Spencer UTIL De'Anthony Melton,,Danny Wolf,F,11.91%,32.75
20,5084673863,bhy101 (65/150),0,357.25,C Quinten Post F Draymond Green G Shai Gilgeous-Alexander PF Jaylin Williams PG Javon Small SF Rayan Rupert SG De'Anthony Melton UTIL Karl-Anthony Towns,,Gregory Jackson,PF,10.87%,29
20,5084753702,ckk-244ayk (118/150),0,357.25,C Day'Ron Sharpe F Danny Wolf G Nolan Traore PF Jaylin Williams PG Shai Gilgeous-Alexander SF De'Anthony Melton SG Cam Spencer UTIL Karl-Anthony Towns,,Shai Gilgeous-Alexander,G,10.75%,75.75
