Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
16427,5042451929,joblessmillionaire (1/2),0,245.75,C Nikola Vucevic F Johnny Furphy G Drake Powell PF Collin Murray-Boyles PG James Harden SF Jaylon Tyson SG Trey Murphy III UTIL Egor Demin,,,,,
16427,5042455660,Dondada305,0,245.75,C Nikola Vucevic F Kobe Sanders G James Harden PF Scottie Barnes PG Craig Porter Jr. SF Johnny Furphy SG Drake Powell UTIL Ivica Zubac,,,,,
16427,5042499998,denniswildman (3/3),0,245.75,C Yves Missi F Zion Williamson G Brandon Ingram PF Collin Murray-Boyles PG T.J. McConnell SF Jordan Miller SG Trey Murphy III UTIL Paul George,,,,,
16427,5042510504,jethro169 (2/2),0,245.75,C Collin Murray-Boyles F Johnny Furphy G Andrew Nembhard PF Saddiq Bey PG Craig Porter Jr. SF Michael Porter Jr. SG Trey Murphy III UTIL Jeremiah Fears,,,,,
16427,5042520713,Iiknaw2491 (2/2),0,245.75,C Joel Embiid F Evan Mobley G Drake Powell PF Paul George PG Egor Demin SF Jordan Miller SG VJ Edgecombe UTIL Jay Huff,,,,,
16427,5042524885,mkp23,0,245.75,C Ivica Zubac F Derik Queen G AJ Lawson PF Pascal Siakam PG Jamal Shead SF Aaron Nesmith SG Trey Murphy III UTIL Sandro Mamukelashvili,,,,,
16427,5042534863,iceberg954 (2/2),0,245.75,C Nikola Vucevic F Jalen Smith G Trey Murphy III PF Derik Queen PG Egor Demin SF Johnny Furphy SG Coby White UTIL Collin Murray-Boyles,,,,,
16427,5042538740,colbyhornet (9/15),0,245.75,C Jarrett Allen F Kobe Sanders G James Harden PF Noah Clowney PG Egor Demin SF Aaron Nesmith SG Brandon Ingram UTIL Jamal Shead,,,,,
16427,5042545847,Sblum2711 (3/3),0,245.75,C Yves Missi F Collin Murray-Boyles G Jamal Shead PF Pascal Siakam PG James Harden SF Aaron Nesmith SG Jordan Miller UTIL Egor Demin,,,,,
16427,5042546952,narendra22 (7/150),0,245.75,C Jarrett Allen F AJ Lawson G Jamal Shead PF Pascal Siakam PG Andrew Nembhard SF Aaron Nesmith SG Coby White UTIL Ivica Zubac,,,,,
16427,5042548676,btmboss2 (4/150),0,245.75,C Collin Murray-Boyles F Scottie Barnes G T.J. McConnell PF Derik Queen PG Craig Porter Jr. SF De'Andre Hunter SG Brandon Ingram UTIL Nic Claxton,,,,,
16427,5042553656,RichGreen4 (6/40),0,245.75,C Jay Huff F Collin Murray-Boyles G Egor Demin PF Derik Queen PG T.J. McConnell SF Paul George SG Trey Murphy III UTIL Brandon Ingram,,,,,
16427,5042558950,eric00,0,245.75,C Jarrett Allen F Collin Murray-Boyles G Andrew Nembhard PF Zion Williamson PG Craig Porter Jr. SF Aaron Nesmith SG Coby White UTIL Jamal Shead,,,,,
16462,5041886180,clwats (1/3),0,245.5,C Day'Ron Sharpe F Derik Queen G T.J. McConnell PF Zion Williamson PG Egor Demin SF Saddiq Bey SG Trey Murphy III UTIL Matas Buzelis,,,,,
16462,5041896666,bnissan (1/12),0,245.5,C Yves Missi F Collin Murray-Boyles G Trey Murphy III PF Scottie Barnes PG Tre Jones SF Jordan Miller SG Brandon Ingram UTIL Gradey Dick,,,,,
16462,5041915361,ckk-244ayk (133/150),0,245.5,C Collin Murray-Boyles F Aaron Nesmith G Jamal Shead PF Scottie Barnes PG T.J. McConnell SF Saddiq Bey SG Trey Murphy III UTIL Ayo Dosunmu,,,,,
16462,5042000961,KingOfQueens2326 (1/3),0,245.5,C Day'Ron Sharpe F Jordan Miller G Egor Demin PF Scottie Barnes PG Craig Porter Jr. SF Johnny Furphy SG Brandon Ingram UTIL James Harden,,,,,
16462,5042001930,kwax1 (4/4),0,245.5,C Jarrett Allen F Pascal Siakam G Brandon Ingram PF Saddiq Bey PG Craig Porter Jr. SF Aaron Nesmith SG Jordan Miller UTIL Nic Claxton,,,,,
16462,5042044579,Bigpete77 (1/27),0,245.5,C Derik Queen F Matas Buzelis G Coby White PF Pascal Siakam PG Jamal Shead SF Aaron Nesmith SG Brandon Ingram UTIL Tyrese Martin,,,,,
16462,5042067899,Osman85,0,245.5,C Derik Queen F Jarace Walker G AJ Lawson PF Matas Buzelis PG Tyrese Maxey SF Michael Porter Jr. SG VJ Edgecombe UTIL Kris Dunn,,,,,
16462,5042073193,RoyalPain21 (17/150),0,245.5,C Ivica Zubac F Nae'Qwan Tomlin G Trey Murphy III PF Pascal Siakam PG Kris Dunn SF Aaron Nesmith SG Lonzo Ball UTIL Zion Williamson,,,,,
16462,5042079152,lozingitall (67/150),0,245.5,C Ivica Zubac F Matas Buzelis G Andrew Nembhard PF Pascal Siakam PG Lonzo Ball SF Aaron Nesmith SG Coby White UTIL Day'Ron Sharpe,,,,,
16462,5042147199,anshuld95 (66/75),0,245.5,C Ivica Zubac F AJ Lawson G Donovan Mitchell PF Noah Clowney PG T.J. McConnell SF Jarace Walker SG VJ Edgecombe UTIL James Harden,,,,,
