DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
41556997,Hugo Gonzalez,SG/SF/F/G/UTIL,BOS,ATL,,3300,16.5,16.6,17.75,16.6,5.03030303,1.98,2.050349816,0,100,117.194,231.7745,16.5992,11.9,15.75,20.25,22.75,27.6075,33.4,15.9042,11.2,15.07,19.64,22.28,27.1,32.7806,15.9042,11.2,15.07,19.64,22.28,27.1,32.7806,16.6076,11.9,15.74,20.18,22.84,27.68,33.301,6.28284,6.39064,6.39064,6.27423,6.57427,19.5956,1.51177,0.7812,5.1274,1.299,3.8284,1.5345,0.2082,0.531633,1.5818
41556965,Gary Payton II,SG/G/UTIL,GSW,CHA,,3600,10,16.47,10,16.47,4.575,0.17,0.165764291,0,100,121.6335,235.8063,16.466,11.55,15.8,20.65,23.4,28.6625,35.201,16.9938,11.8,16.2,21.24,24.44,29.883,36.601,16.9938,11.8,16.2,21.24,24.44,29.883,36.601,16.8639,11.86,16.14,20.94,24.04,29.28,35.9606,6.79365,7.19542,7.19542,6.95274,7.47073,17.6402,2.3715,0.688133,3.51507,0.819067,2.696,1.25737,0.987933,0.389367,0.760867
41556840,Aaron Wiggins,SF/PF/F/UTIL,OKC,MIA,,4400,29,16.4,29,16.4,3.727272727,0.14,0.147044418,0,100,122.6375,235.7107,16.4034,11.95,15.95,20.65,23.35,28.2,34.5025,16.1804,11.68,15.82,20.49,23.14,28.24,34.5804,16.1804,11.68,15.82,20.49,23.14,28.24,34.5804,16.3112,11.92,16.02,20.52,23.24,28.04,34.2604,6.60088,6.64991,6.64991,6.50689,8.76127,20.2893,2.057,1.1451,3.2887,0.641133,2.64757,1.1796,0.531133,0.369533,0.804267
41556941,Quinten Post,C/UTIL,GSW,CHA,Confirmed,3800,19.25,15.99,19.25,15.99,4.207894737,0.02,0.016046372,0,100,121.6335,235.8063,15.9856,11.05,15.45,20.55,23.9,30.4575,39.201,15.4103,10.64,14.86,19.92,23.08,29.6,37.9606,15.4103,10.64,14.86,19.92,23.08,29.6,37.9606,15.7296,10.98,15.14,20.24,23.38,29.9,38.3416,7.51682,7.39394,7.39394,7.3304,8.00903,19.5764,1.64067,1.338,3.87913,0.784167,3.09497,1.2384,0.3518,0.420133,1.03553
41557007,Luke Kennard,PG/SG/G/UTIL,ATL,BOS,,3300,10.5,15.93,10.5,15.93,4.827272727,0.66,0.665720286,0,100,114.5805,231.7745,15.927,11.5,15.5,20.25,22.85,27.6,34,15.306,11,15.04,19.52,22.22,26.88,33.0806,15.306,11,15.04,19.52,22.22,26.88,33.0806,15.4395,11.24,15.2,19.58,22.02,26.583,32.501,6.43525,6.37485,6.37485,6.14106,7.3019,22.3648,0.762367,1.6869,2.5225,0.565267,1.95723,2.43457,0.793767,0.0766,1.00973
41556968,Alex Caruso,SG/SF/F/G/UTIL,OKC,MIA,,3600,15,15.75,15,15.75,4.375,0.27,0.250006298,0,100,122.6375,235.7107,15.7492,11.05,15.4,20.15,23.15,28.55,35.9,16.5508,11.56,16.06,21.16,24.26,30.38,37.7408,16.5508,11.56,16.06,21.16,24.26,30.38,37.7408,16.2605,11.52,15.86,20.8,23.766,29.502,36.6206,6.8921,7.34427,7.34427,7.04855,5.6515,18.7982,0.941,0.985068,2.45097,0.514067,1.9369,2.52413,1.26333,0.4627,0.7082
41556923,Harrison Barnes,PF/F/UTIL,SAS,MIN,Confirmed,3900,18.5,15.73,18.5,15.73,4.033333333,0.06,0.04508542,0,100,118.8008,232.1678,15.7261,9,13.5,18,20.5,25,31,15.2183,8.7,13,17.5,20,24.5,30.2,15.2183,8.7,13,17.5,20,24.5,30.2,15.3298,9,13,17.5,20,24.5,30,6.4618,6.30653,6.30653,6.17802,10.015,25.6489,1.70517,1.521,0.1785,0.0363333,0.142167,1.18783,0.539333,0.172667,0.792667
41556834,Bones Hyland,PG/SG/G/UTIL,MIN,SAS,,4400,9.75,15.48,9.75,15.48,3.518181818,0.06,0.061516878,0,100,113.367,232.1678,15.4832,12.75,17.25,22.25,25.25,30.5,37.25,15.1867,12.4,16.9,22.1,25,30.4,37.003,15.1867,12.4,16.9,22.1,25,30.4,37.003,15.3052,12.7,17,22,24.9,30.1,36.401,7.09095,7.19111,7.19111,6.94878,8.8775,17.0611,1.41017,1.62883,2.142,0.583,1.559,2.47783,0.9985,0.205667,1.20517
41557213,Kam Jones,PG/G/UTIL,IND,DET,,3000,13,15.39,13,15.39,5.13,1.36,1.354016448,0,100,109.046,229.4815,15.3949,10.75,14.5,19.2,21.6,26.15,31.6515,15.2123,10.44,14.46,19.24,21.726,26.42,31.9,15.2123,10.44,14.46,19.24,21.726,26.42,31.9,15.4155,10.9,14.66,19.25,21.56,26.26,31.4,6.19422,6.41307,6.41307,6.15085,8.9412,16.6168,1.84815,1.09955,1.0944,0.3092,0.7852,1.83315,0.9736,0.157,1.2974
41557216,Ethan Thompson,PG/SG/G/UTIL,IND,DET,,3000,20.75,15.01,20.75,15.01,5.003333333,1.21,1.257275973,0,100,109.046,229.4815,15.0107,10.9,14.65,18.5,21.015,25.4,30.451,14.551,10.52,14.24,18.195,20.52,24.922,29.861,14.551,10.52,14.24,18.195,20.52,24.922,29.861,14.7816,10.78,14.48,18.44,20.62,25.02,30.0806,5.84966,5.80556,5.80556,5.73746,6.4656,17.6146,1.5024,0.78675,3.41705,0.92425,2.4928,2.2698,0.13835,0.27645,0.61755
