rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherInBringBackTeam
1,-6.180,4,2,LAA,KC,0,5,6,4,2278.62,23500,98.12,5.602,49700,0,0
2,-6.534,4,3,PHI,ATL,0,4,4,4,2043.13,22900,108.79,10.308,49600,0,0
3,-6.599,4,1,TEX,ATH,0,5,6,5,2140.21,23200,97.00,4.273,49500,0,0
4,-6.682,4,2,PHI,ATL,0,5,5,4,2047.34,23000,107.99,8.162,49800,0,0
5,-6.704,4,3,PHI,ATL,0,4,5,4,2309.03,23900,107.64,7.108,49800,0,0
6,-6.737,4,2,LAA,KC,0,4,4,4,2402.00,24400,96.48,6.982,49800,0,0
7,-6.739,4,2,LAA,KC,0,5,6,4,2085.31,22900,96.51,6.088,49500,0,0
8,-6.788,4,2,PHI,ATL,0,5,5,4,2245.02,23800,107.22,7.384,49700,0,0
9,-6.794,4,2,PHI,ATL,0,5,5,4,2276.05,23800,107.21,8.049,49600,0,0
10,-6.847,4,4,PHI,ATL,0,4,4,4,2185.31,23300,106.93,7.405,49800,0,0
11,-6.873,4,3,PHI,ATL,0,5,5,4,2283.09,23900,106.80,7.022,49500,0,0
12,-6.877,4,3,PHI,ATL,0,5,5,4,2280.35,24600,106.84,7.789,50000,0,0
13,-6.966,4,3,PHI,ATL,0,5,5,4,1990.50,22900,106.54,6.998,49700,0,0
14,-6.987,4,4,PHI,ATL,0,3,3,5,2195.20,24100,106.89,10.290,49900,0,0
15,-6.999,4,4,LAA,KC,0,4,4,4,1985.98,22400,95.28,5.963,49700,0,0
16,-7.075,4,3,PHI,ATL,0,4,4,4,2043.16,22900,106.05,8.481,49500,0,0
17,-7.092,4,4,KC,LAA,0,3,3,5,2202.29,23600,110.64,13.641,49700,0,0
18,-7.096,4,3,PHI,ATL,0,4,5,4,2044.11,22900,105.93,8.265,49600,0,0
19,-7.146,4,3,PHI,ATL,0,4,4,5,2193.63,24100,106.08,8.855,50000,0,0
20,-7.186,4,3,PHI,ATL,0,4,4,5,2337.54,24200,105.80,7.822,49700,0,0
21,-7.189,4,2,CIN,DET,0,5,5,4,2430.72,24600,110.25,10.394,49600,0,0
22,-7.191,4,4,PHI,ATL,0,4,4,4,2245.46,23800,105.24,8.118,49700,0,0
23,-7.201,4,4,PHI,ATL,0,4,4,4,2489.68,24500,105.22,8.830,49500,0,0
24,-7.210,4,4,PHI,ATL,0,4,4,4,2195.47,23300,105.10,6.369,49700,0,0
25,-7.228,4,2,PHI,ATL,0,5,6,4,2323.02,23800,105.03,7.491,49600,0,0
26,-7.232,4,2,PHI,ATL,0,5,5,4,2072.70,22900,105.26,8.509,49700,0,0
27,-7.260,4,2,TEX,ATH,0,5,5,4,2155.57,23200,94.49,4.941,49500,0,0
28,-7.272,4,3,PHI,ATL,0,5,5,4,2211.70,23800,104.76,5.852,49800,0,0
29,-7.294,4,2,PHI,ATL,0,4,4,4,2032.14,22900,104.92,7.766,49800,0,0
30,-7.314,4,3,PHI,ATL,0,4,4,5,2136.35,23500,105.14,7.070,50000,0,0
31,-7.318,4,1,TEX,ATH,0,6,7,4,2107.04,23100,94.17,4.250,49800,0,0
32,-7.338,4,3,ATL,PHI,0,5,5,4,1854.18,22200,97.93,7.401,50000,0,0
33,-7.378,4,1,KC,LAA,0,5,6,5,2215.42,23700,109.11,9.893,49700,0,0
34,-7.387,4,2,PHI,ATL,0,5,5,4,2189.54,23100,105.04,8.455,49700,0,0
35,-7.400,4,2,KC,LAA,0,4,4,5,2195.36,23700,109.01,10.080,49800,0,0
36,-7.441,4,4,PHI,ATL,0,4,4,4,2053.39,22900,104.17,6.510,49600,0,0
37,-7.449,4,3,PHI,ATL,0,5,5,4,2040.00,22900,104.12,6.882,49800,0,0
38,-7.476,4,2,LAD,CHC,0,5,5,4,2432.69,24600,106.98,9.168,50000,0,0
39,-7.502,4,4,LAA,KC,0,4,4,4,2367.72,23700,93.26,5.356,49700,0,0
40,-7.502,4,3,NYY,HOU,0,4,4,4,2383.69,23700,109.46,14.071,50000,0,0
41,-7.510,4,3,KC,LAA,0,4,4,5,2171.17,23600,108.52,12.483,50000,0,0
42,-7.522,4,2,PHI,ATL,0,4,5,5,2173.57,23800,104.10,6.137,49600,0,0
43,-7.522,4,2,KC,LAA,0,5,5,5,1956.76,23000,108.38,9.870,49900,0,0
44,-7.535,4,1,TEX,ATH,0,6,7,4,2124.71,23100,93.07,3.872,49600,0,0
45,-7.580,4,2,KC,LAA,0,5,5,5,2104.40,23000,108.14,11.257,49500,0,0
46,-7.582,4,4,ATH,TEX,0,3,3,5,2096.76,23000,93.74,6.012,49600,0,0
47,-7.582,4,3,PHI,ATL,0,4,4,5,2247.87,24200,103.79,5.882,49900,0,0
48,-7.595,4,2,PHI,ATL,0,5,5,4,2083.36,22900,103.43,7.318,49600,0,0
49,-7.606,4,2,LAA,KC,0,4,5,4,2011.19,21700,93.12,6.815,49900,0,0
50,-7.612,4,2,ATL,PHI,0,6,6,4,1789.97,22100,96.93,7.687,50000,0,0
51,-7.623,4,2,CIN,DET,0,6,6,4,2223.26,23700,108.26,7.730,49900,0,0
52,-7.657,4,1,PHI,ATL,0,5,7,4,2165.66,23700,103.64,7.303,49700,0,0
53,-7.674,4,4,NYY,HOU,0,4,4,4,2191.71,23500,108.38,14.379,49800,0,0
54,-7.677,4,4,LAA,KC,0,4,4,4,2437.81,24500,104.68,8.975,49900,0,0
55,-7.681,4,1,ATL,PHI,0,5,5,4,2096.66,23100,95.73,5.804,50000,0,0
56,-7.766,4,2,TEX,ATH,0,4,4,5,2212.78,23700,104.69,5.463,49600,0,0
57,-7.770,4,2,CIN,DET,0,5,5,4,2096.57,23400,107.54,9.815,49800,0,0
58,-7.786,4,3,PHI,ATL,0,5,5,4,1800.00,22100,103.43,8.070,50000,0,0
59,-7.792,4,4,MIL,PIT,0,3,3,5,2174.51,23200,107.49,11.191,49500,0,0
60,-7.803,4,3,ATL,PHI,0,5,5,4,1812.43,22000,96.00,7.353,49900,0,0
61,-7.813,4,3,PHI,ATL,0,5,5,4,2050.88,22900,102.29,5.919,49700,0,0
62,-7.814,4,1,PHI,ATL,0,6,6,4,2289.63,23500,102.07,5.333,49600,0,0
63,-7.828,4,2,PHI,ATL,0,5,5,5,2155.48,23500,102.53,4.790,49700,0,0
64,-7.851,4,2,CHC,LAD,0,6,6,4,2088.06,23100,105.71,8.443,50000,0,0
65,-7.854,4,2,KC,LAA,0,3,4,5,2137.19,23200,106.69,8.617,49800,0,0
66,-7.860,4,3,CHC,LAD,0,5,5,4,2087.32,23300,105.68,9.867,49900,0,0
67,-7.861,4,3,PHI,ATL,0,4,4,4,2028.69,22800,103.06,7.318,49800,0,0
68,-7.897,4,2,PHI,ATL,0,5,5,4,1925.85,22700,103.27,7.292,49900,0,0
69,-7.900,4,4,PHI,ATL,0,3,3,5,2120.38,23400,102.19,6.582,50000,0,0
70,-7.902,4,3,PHI,ATL,0,5,5,4,2014.97,22900,102.86,7.094,49700,0,0
71,-7.909,4,4,TEX,ATH,0,3,3,5,2070.97,22900,103.93,4.780,49900,0,0
72,-7.911,4,1,MIL,PIT,0,5,6,5,2362.12,24500,106.88,9.876,49800,0,0
73,-7.918,4,3,KC,LAA,0,4,4,5,2064.36,23000,106.38,8.714,49800,0,0
74,-7.919,4,2,PHI,ATL,0,5,5,4,2388.22,24000,102.31,5.965,49800,0,0
75,-7.931,4,3,MIL,PIT,0,4,4,5,2495.38,24600,106.77,9.579,49900,0,0
