rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherInBringBackTeam
1,-3.739,4,3,TOR,MIN,0,4,5,4,2696.66,25100,113.71,4.578,49000,0,0
2,-3.950,4,3,TOR,MIN,0,5,5,4,2692.60,25100,112.60,3.778,49300,0,0
3,-4.162,4,4,MIN,TOR,0,4,4,4,2596.15,24600,112.68,3.954,49000,0,0
4,-4.382,4,4,ATH,NYM,0,4,4,4,2541.34,23800,100.74,1.524,49600,0,0
5,-5.375,4,3,ATH,NYM,0,5,5,4,2932.25,26900,95.76,1.289,49700,0,0
6,-5.401,4,2,MIN,TOR,0,5,6,4,2414.31,23900,107.73,3.493,49100,0,0
7,-5.488,4,2,MIN,TOR,0,5,5,4,2692.88,26100,105.76,2.012,49800,0,0
8,-5.543,4,3,MIN,TOR,0,5,5,4,2443.77,24600,106.90,2.930,50000,0,0
9,-5.632,4,2,MIN,TOR,0,4,4,5,2333.67,23600,106.58,3.420,50000,0,0
10,-5.638,4,4,WSH,MIL,0,4,4,4,2614.96,24800,115.78,3.099,50000,0,0
11,-5.648,4,3,PIT,CHC,0,5,5,4,2636.66,25100,110.32,3.863,50000,0,0
12,-5.666,4,3,WSH,MIL,0,4,5,4,2610.44,25000,115.58,2.647,49600,0,0
13,-5.743,4,2,LAA,CIN,0,5,6,4,2676.21,25100,108.44,1.879,49700,0,0
14,-5.757,4,4,WSH,MIL,0,4,4,4,2659.77,25000,115.15,3.344,49600,0,0
15,-5.835,4,3,WSH,MIL,0,5,5,4,2695.20,25100,114.69,2.295,49700,0,0
16,-5.928,4,2,MIN,TOR,0,6,6,4,2380.36,24000,105.06,3.080,49700,0,0
17,-5.932,4,3,MIN,TOR,0,4,4,5,2333.24,23600,105.13,4.068,49000,0,0
18,-5.934,4,4,PIT,CHC,0,4,4,4,2552.57,24600,108.90,4.956,49800,0,0
19,-6.024,4,3,PIT,CHC,0,5,5,4,2654.60,24800,108.39,2.849,49100,0,0
20,-6.082,4,4,MIN,TOR,0,4,4,4,2811.07,26100,104.13,3.535,49300,0,0
21,-6.084,4,3,MIN,TOR,0,5,5,4,2661.37,25000,102.75,1.251,49100,0,0
22,-6.098,4,3,PIT,CHC,0,5,5,4,2651.79,25000,108.01,3.459,50000,0,0
23,-6.154,4,3,MIN,TOR,0,5,5,4,2326.71,23600,104.63,4.137,49800,0,0
24,-6.161,4,2,MIN,TOR,0,5,5,5,2504.90,24400,103.89,1.983,49500,0,0
25,-6.178,5,2,MIN,TOR,0,5,5,5,2743.74,25700,107.17,2.269,49300,0,0
26,-6.182,4,2,TOR,MIN,0,4,4,5,2574.41,24400,103.01,2.590,49200,0,0
27,-6.187,4,4,PIT,CHC,0,4,4,4,2773.82,26100,107.57,4.332,49700,0,0
28,-6.192,4,3,NYM,ATH,0,4,4,5,2591.31,24700,107.94,4.098,49900,0,0
29,-6.213,5,2,MIN,TOR,0,5,5,5,2721.05,25700,106.99,2.244,49700,0,0
30,-6.217,4,2,MIN,TOR,0,4,5,5,2334.72,23600,103.63,2.610,49900,0,0
31,-6.237,4,2,CIN,LAA,0,5,5,4,2729.40,25600,105.55,2.367,49200,0,0
32,-6.264,5,1,MIN,TOR,0,6,6,5,2750.00,25700,106.72,2.084,49500,0,0
33,-6.300,5,2,MIN,TOR,0,5,5,5,2727.07,25700,106.54,2.062,49900,0,0
34,-6.322,4,3,NYM,ATH,0,4,4,5,2591.60,24700,107.18,4.134,49600,0,0
35,-6.350,4,3,PIT,CHC,0,5,5,4,2626.33,24800,106.79,4.841,49200,0,0
36,-6.354,4,4,LAA,CIN,0,4,4,4,2634.39,24600,119.90,10.607,49000,0,0
37,-6.394,4,4,PIT,CHC,0,3,3,5,2585.73,24700,106.58,4.438,50000,0,0
38,-6.413,4,4,PIT,CHC,0,4,4,4,2577.62,24700,106.45,4.300,49700,0,0
39,-6.424,4,4,PIT,CHC,0,4,4,4,2603.77,24600,106.46,5.789,49200,0,0
40,-6.427,4,2,MIN,TOR,0,4,4,5,2517.86,24400,102.51,1.617,49200,0,0
41,-6.437,4,4,PIT,CHC,0,4,4,4,2400.33,23700,107.52,5.065,49800,0,0
42,-6.458,4,3,MIN,TOR,0,5,5,4,2586.12,24600,113.20,4.296,49000,0,0
43,-6.478,4,2,PIT,CHC,0,6,6,4,2614.29,24600,106.14,3.095,49500,0,0
44,-6.479,4,4,PIT,CHC,0,4,4,4,2853.58,25900,107.40,6.538,49900,0,0
45,-6.512,4,3,LAA,CIN,0,5,5,4,2751.00,25100,104.57,1.858,49000,0,0
46,-6.550,4,4,PIT,CHC,0,4,4,4,2393.66,23700,106.94,5.070,49800,0,0
47,-6.563,4,3,PIT,CHC,0,5,5,4,2537.24,24600,105.73,5.014,49800,0,0
48,-6.568,4,4,ARI,PHI,0,4,4,4,2415.47,24300,100.22,7.217,49500,0,0
49,-6.621,4,3,MIN,TOR,0,5,5,4,2281.14,23400,102.40,2.528,49800,0,0
50,-6.705,4,3,WSH,MIL,0,4,4,4,2434.52,24000,98.62,0.796,49900,0,0
51,-6.744,4,4,PIT,CHC,0,4,4,4,2429.84,23900,106.48,6.825,49300,0,0
52,-6.748,4,3,TOR,MIN,0,5,5,4,2343.18,23200,99.54,1.002,49500,0,0
53,-6.750,4,4,CIN,LAA,0,4,4,4,2697.42,25600,102.86,2.321,49300,0,0
54,-6.772,4,3,PIT,CHC,0,5,5,4,2566.11,24800,106.18,5.557,49900,0,0
55,-6.804,4,4,PIT,CHC,0,4,4,4,2496.08,24400,105.98,4.950,49600,0,0
56,-6.812,4,2,ATH,NYM,0,5,5,4,2366.94,23300,99.54,1.500,49600,0,0
57,-6.814,4,4,MIN,TOR,0,4,4,4,2613.83,25100,100.60,1.743,49300,0,0
58,-6.851,4,4,CIN,LAA,0,4,4,4,2721.40,25600,102.35,1.992,49000,0,0
59,-6.865,4,4,MIN,TOR,0,4,4,4,2604.30,25100,100.34,1.696,49400,0,0
60,-6.887,4,2,NYM,ATH,0,5,5,5,2516.43,24300,104.28,2.434,49400,0,0
61,-6.887,4,3,PIT,CHC,0,4,4,4,2415.97,24400,105.40,7.515,49900,0,0
62,-6.927,4,3,MIN,TOR,0,5,5,4,2567.90,25100,110.67,2.007,49700,0,0
63,-6.931,4,4,PIT,CHC,0,4,4,4,2617.63,25000,103.87,4.536,50000,0,0
64,-6.958,4,4,ARI,PHI,0,4,4,4,2558.12,24100,108.03,9.940,49000,0,0
65,-6.958,4,3,LAA,CIN,0,5,5,4,2661.20,25100,116.77,7.928,50000,0,0
66,-6.964,4,2,PIT,CHC,0,5,5,4,2282.45,23400,104.83,3.554,49800,0,0
67,-6.969,4,4,LAA,CIN,0,4,4,4,2347.85,23300,118.08,12.925,49400,0,0
68,-6.969,4,3,PIT,CHC,0,5,5,4,2666.76,25200,103.70,4.846,49200,0,0
69,-6.982,4,2,TOR,MIN,0,4,4,5,2539.76,24900,98.87,1.639,49400,0,0
70,-7.023,4,2,MIN,TOR,0,6,6,4,2668.05,25500,99.60,1.720,49500,0,0
71,-7.026,4,2,WSH,MIL,0,6,6,4,2697.33,25500,108.66,1.531,49800,0,0
72,-7.029,4,2,TOR,MIN,0,6,6,4,2358.50,24100,99.64,2.555,49500,0,0
73,-7.081,4,2,LAA,CIN,0,5,6,4,2496.42,24000,103.17,2.418,49300,0,0
74,-7.090,4,2,TOR,MIN,0,5,5,4,2345.21,24100,99.38,3.047,50000,0,0
75,-7.097,4,4,NYY,TB,0,4,4,4,2708.80,26100,114.86,9.244,49800,0,0
