idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,1,COL,106.42,13.96,41.35,145.90,0.350,1.252,0.000,0.000,0.333
1,T,fivePlus,5,1,1,COL,108.33,14.39,43.15,148.85,0.350,1.233,0.000,0.000,0.250
2,T,fivePlus,5,2,2,COL,108.36,14.51,42.69,149.30,0.380,1.224,0.000,0.000,0.333
3,T,fivePlus,5,2,1,SD,108.50,18.88,46.98,151.25,0.350,1.201,0.000,0.000,0.333
4,T,fivePlus,5,1,1,SD,109.30,18.18,47.64,150.20,0.350,1.181,0.000,0.000,0.429
5,T,fivePlus,5,2,1,COL,106.65,13.99,40.49,146.00,0.350,1.175,0.000,0.000,0.333
6,T,fivePlus,5,2,2,COL,110.08,17.55,43.14,153.85,0.380,1.170,0.000,0.000,0.333
7,T,fivePlus,5,2,2,CWS,103.07,12.17,42.19,144.30,0.380,1.165,0.000,0.000,0.176
8,T,fivePlus,5,2,0,SD,109.99,18.46,44.74,153.15,0.300,1.159,0.000,0.000,0.429
9,T,fivePlus,5,2,2,COL,106.94,15.22,40.65,149.35,0.380,1.158,0.000,0.000,0.250
10,T,fivePlus,5,2,0,SD,109.54,19.02,47.19,152.30,0.300,1.154,0.000,0.000,0.333
11,T,fivePlus,5,1,0,SD,108.90,17.65,42.74,151.15,0.300,1.152,0.000,0.000,0.429
12,T,fivePlus,5,2,1,SD,110.56,17.99,46.27,154.05,0.350,1.148,0.000,0.000,0.538
13,T,fivePlus,5,1,1,SD,107.77,18.98,45.14,153.85,0.350,1.147,0.000,0.000,0.333
14,T,fivePlus,5,2,1,PIT,101.61,10.82,43.75,142.25,0.350,1.147,0.000,0.000,0.250
15,T,fivePlus,5,2,1,SD,109.37,17.58,47.15,150.85,0.350,1.146,0.000,0.000,0.429
16,T,fivePlus,5,2,2,COL,106.01,14.61,40.10,149.25,0.380,1.145,0.000,0.000,0.333
17,T,fivePlus,5,1,1,COL,103.96,10.60,36.25,143.20,0.350,1.145,0.000,0.000,0.250
18,T,fivePlus,5,1,1,SD,106.66,17.04,41.09,149.75,0.350,1.143,0.000,0.000,0.333
19,T,fivePlus,5,2,1,MIL,101.15,10.84,46.82,141.85,0.350,1.141,0.000,0.000,0.176
20,T,fivePlus,5,2,1,TEX,99.06,12.61,47.41,144.10,0.350,1.133,0.000,0.000,0.250
21,T,fivePlus,5,1,1,SD,106.69,18.87,46.45,150.00,0.350,1.127,0.000,0.000,0.333
22,T,fivePlus,5,2,2,ATL,96.87,12.47,41.54,148.10,0.380,1.117,0.000,0.000,0.250
23,T,fivePlus,5,1,0,DET,106.05,12.30,43.99,145.25,0.300,1.116,0.000,0.000,0.250
