P,P,C,1B,2B,3B,SS,OF,OF,OF
Bubba Chandler (42926492),Tarik Skubal (42926486),Francisco Alvarez (42926568),Curtis Mead (42926594),Nasim Nunez (42926565),Bo Bichette (42926563),Ronny Mauricio (42926699),James Wood (42926503),Juan Soto (42926506),Brett Baty (42926596)
Cade Cavalli (42926493),Tarik Skubal (42926486),Brett Sullivan (42926679),Curtis Mead (42926594),Brandon Lowe (42926515),Brady House (42926615),CJ Abrams (42926507),TJ Friedl (42926570),James Wood (42926503),Jacob Young (42926605)
David Peterson (42926499),Tarik Skubal (42926486),Ivan Herrera (42926537),Spencer Horwitz (42926629),Brice Turang (42926511),Ramon Urias (42926608),Masyn Winn (42926571),Jordan Walker (42926510),Oneil Cruz (42926501),Victor Scott II (42926683)
Tarik Skubal (42926486),JR Ritchie (42926489),Hunter Goodman (42926534),TJ Rumfield (42926604),Willi Castro (42926538),Kyle Karros (42926646),CJ Abrams (42926507),Brenton Doyle (42926606),Jacob Young (42926605),Daylen Lile (42926526)
Tarik Skubal (42926486),Brandon Sproat (42926494),Gary Sanchez (42926585),Jake Bauers (42926540),Marcus Semien (42926611),Bo Bichette (42926563),Elly De La Cruz (42926502),Tyrone Taylor (42926671),Brett Baty (42926596),Juan Soto (42926506)
Bubba Chandler (42926492),Cade Cavalli (42926493),Keibert Ruiz (42926640),Sal Stewart (42926512),Nasim Nunez (42926565),Brady House (42926615),Elly De La Cruz (42926502),TJ Friedl (42926570),Daylen Lile (42926526),James Wood (42926503)
Tarik Skubal (42926486),Eduardo Rodriguez (42926491),Keibert Ruiz (42926640),Spencer Torkelson (42926591),Nasim Nunez (42926565),Colt Keith (42926579),Kevin McGonigle (42926519),Daylen Lile (42926526),Kerry Carpenter (42926555),Riley Greene (42926541)
Brandon Williamson (42926496),Tarik Skubal (42926486),Francisco Alvarez (42926568),Alec Burleson (42926525),JJ Wetherholt (42926513),Ramon Urias (42926608),Joey Ortiz (42926675),Bryan Reynolds (42926529),Nathan Church (42926597),Jordan Walker (42926510)
Brandon Williamson (42926496),Tarik Skubal (42926486),Joey Bart (42926634),Spencer Horwitz (42926629),Nick Gonzales (42926577),Nolan Gorman (42926584),Konnor Griffin (42926564),Nathan Church (42926597),Oneil Cruz (42926501),James Wood (42926503)
Bubba Chandler (42926492),Tarik Skubal (42926486),Adrian Del Castillo (42926561),Jake Bauers (42926540),Ketel Marte (42926508),Brady House (42926615),Geraldo Perdomo (42926552),Greg Jones (42926707),Alek Thomas (42926619),Corbin Carroll (42926504)
David Peterson (42926499),Eduardo Rodriguez (42926491),Drake Baldwin (42926516),Matt Olson (42926518),Ozzie Albies (42926533),Kevin McGonigle (42926519),Mauricio Dubon (42926601),JJ Bleday (42926562),Riley Greene (42926541),Ronald Acuna Jr. (42926514)
David Peterson (42926499),JR Ritchie (42926489),Jonah Heim (42926667),Sal Stewart (42926512),Brandon Lowe (42926515),Austin Riley (42926556),Mauricio Dubon (42926601),Oneil Cruz (42926501),Michael Harris II (42926588),Ronald Acuna Jr. (42926514)
