idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,ARI,98.59,13.01,44.89,146.06,0.380,1.323,0.000,0.000,0.250
1,T,fivePlus,5,1,1,CWS,100.24,14.06,44.89,148.06,0.350,1.286,0.000,0.000,0.250
2,T,fivePlus,5,2,2,CHC,102.23,15.18,45.92,151.30,0.380,1.267,0.000,0.000,0.333
3,T,fivePlus,5,2,2,PHI,104.46,14.55,40.19,146.55,0.380,1.261,0.000,0.000,0.333
4,T,fivePlus,5,2,1,PHI,103.10,13.78,42.04,144.55,0.350,1.258,0.000,0.000,0.333
5,T,fivePlus,5,2,2,WSH,95.77,13.76,43.89,141.06,0.380,1.253,0.000,0.000,0.250
6,T,fivePlus,5,1,1,COL,102.85,17.02,45.04,150.55,0.350,1.252,0.000,0.000,0.250
7,T,fivePlus,5,1,1,WSH,100.27,15.25,46.04,147.55,0.350,1.243,0.000,0.000,0.250
8,T,fivePlus,5,2,2,COL,100.17,16.55,50.60,148.30,0.380,1.235,0.000,0.000,0.250
9,T,fivePlus,5,2,1,WSH,99.96,13.50,39.15,143.31,0.350,1.233,0.000,0.000,0.250
10,T,fivePlus,5,2,1,SD,107.13,20.14,50.89,155.06,0.350,1.233,0.000,0.000,0.333
11,T,fivePlus,5,1,0,PHI,106.90,15.98,43.89,149.06,0.300,1.232,0.000,0.000,0.429
12,T,fivePlus,5,3,3,CHC,98.93,14.64,44.92,145.30,0.380,1.230,0.000,0.000,0.333
13,T,fivePlus,5,2,1,SF,95.52,12.24,47.51,138.55,0.350,1.229,0.000,0.000,0.250
14,T,fivePlus,5,2,2,ATL,98.86,15.11,44.07,147.55,0.380,1.228,0.000,0.000,0.250
15,T,fivePlus,5,2,2,CHC,101.79,14.64,43.89,145.06,0.380,1.220,0.000,0.000,0.333
16,T,fivePlus,5,2,2,ATL,98.76,15.20,45.04,148.55,0.380,1.216,0.000,0.000,0.250
17,T,fivePlus,5,2,1,CWS,98.74,13.88,49.66,146.30,0.350,1.214,0.000,0.000,0.250
18,T,fivePlus,5,2,1,ARI,97.20,15.23,44.04,147.06,0.350,1.211,0.000,0.000,0.250
19,T,fivePlus,5,2,1,CWS,97.32,11.68,48.30,139.06,0.350,1.200,0.000,0.000,0.250
20,T,fivePlus,5,2,0,ARI,101.21,15.77,47.04,152.55,0.300,1.198,0.000,0.000,0.250
21,T,fivePlus,5,2,2,ATL,98.66,15.93,44.04,146.55,0.380,1.192,0.000,0.000,0.333
22,T,fivePlus,5,2,2,COL,102.54,18.41,43.19,149.55,0.380,1.188,0.000,0.000,0.250
23,T,fivePlus,5,2,1,SD,103.61,18.48,46.19,151.55,0.350,1.179,0.000,0.000,0.333
24,T,fivePlus,5,1,1,DET,96.42,12.39,38.15,138.31,0.350,1.176,0.000,0.000,0.176
25,T,fivePlus,5,2,0,WSH,101.11,15.61,45.92,152.30,0.300,1.167,0.000,0.000,0.250
26,T,fivePlus,5,1,1,COL,100.74,16.34,39.15,145.31,0.350,1.163,0.000,0.000,0.250
27,T,four+BB,4,2,2,PHI,105.55,15.31,39.15,145.31,0.280,1.100,0.000,0.000,0.333
28,T,four+BB,4,2,2,PHI,101.95,14.44,44.04,150.55,0.280,1.099,0.000,0.000,0.429
29,T,four+BB,4,2,2,SD,103.09,18.89,46.62,150.31,0.280,1.067,0.000,0.000,0.250
30,T,four+BB,4,2,2,ATL,103.62,16.31,39.15,149.31,0.280,1.047,0.000,0.000,0.250
31,T,four+BB,4,1,1,CHC,101.58,14.82,47.56,149.06,0.250,1.006,0.000,0.000,0.250
32,T,four+BB,4,2,2,ATL,100.35,16.32,43.04,144.55,0.280,0.982,0.000,0.000,0.250
33,T,four+BB,4,3,1,WSH,101.05,13.79,42.04,145.55,0.250,0.979,0.000,0.000,0.250
