idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,TEX,95.70,12.02,46.88,137.65,0.380,1.452,0.000,0.000,0.250
1,T,fivePlus,5,2,2,MIN,99.71,11.97,41.64,140.05,0.380,1.426,0.000,0.000,0.333
2,T,fivePlus,5,2,2,CHC,98.08,11.16,47.40,136.65,0.380,1.407,0.000,0.000,0.250
3,T,fivePlus,5,1,1,PIT,99.00,11.44,44.91,135.96,0.350,1.371,0.000,0.000,0.250
4,T,fivePlus,5,1,1,PIT,99.40,11.90,47.36,136.85,0.350,1.362,0.000,0.000,0.250
5,T,fivePlus,5,2,1,MIN,98.42,13.02,46.57,140.65,0.350,1.361,0.000,0.000,0.333
6,T,fivePlus,5,2,2,NYY,96.84,13.26,49.86,139.16,0.380,1.340,0.000,0.000,0.333
7,T,fivePlus,5,1,0,MIN,102.23,13.39,43.49,140.65,0.300,1.334,0.000,0.000,0.429
8,T,fivePlus,5,1,1,CWS,98.78,13.81,42.64,142.05,0.350,1.334,0.000,0.000,0.250
9,T,fivePlus,5,2,2,NYY,97.10,12.87,43.02,140.91,0.380,1.330,0.000,0.000,0.250
10,T,fivePlus,5,2,1,CWS,96.74,13.84,47.99,139.65,0.350,1.328,0.000,0.000,0.250
11,T,fivePlus,5,2,2,STL,95.94,12.73,43.64,136.05,0.380,1.320,0.000,0.000,0.250
12,T,fivePlus,5,2,1,BOS,96.21,11.23,44.72,138.20,0.350,1.311,0.000,0.000,0.250
13,T,fivePlus,5,2,2,PIT,94.04,9.55,42.67,132.51,0.380,1.307,0.000,0.000,0.250
14,T,fivePlus,5,2,2,LAA,98.33,14.18,42.25,143.20,0.380,1.295,0.000,0.000,0.250
15,T,fivePlus,5,2,2,TOR,92.78,10.65,49.36,135.20,0.380,1.291,0.000,0.000,0.250
16,T,fivePlus,5,2,2,CWS,97.84,14.17,43.47,139.95,0.380,1.290,0.000,0.000,0.333
17,T,fivePlus,5,2,2,STL,96.05,10.85,44.46,135.20,0.380,1.290,0.000,0.000,0.250
18,T,fivePlus,5,1,1,MIN,97.96,11.65,42.25,140.20,0.350,1.288,0.000,0.000,0.333
19,T,fivePlus,5,2,0,SD,98.03,12.53,44.49,139.65,0.300,1.283,0.000,0.000,0.250
20,T,fivePlus,5,1,1,CWS,97.12,14.27,42.25,142.20,0.350,1.282,0.000,0.000,0.250
21,T,fivePlus,5,2,2,NYY,101.28,15.22,49.23,143.65,0.380,1.282,0.000,0.000,0.429
22,T,fivePlus,5,1,1,NYY,99.46,14.00,44.38,141.61,0.350,1.281,0.000,0.000,0.333
23,T,fivePlus,5,2,2,CWS,97.42,13.84,39.95,141.50,0.380,1.280,0.000,0.000,0.333
24,T,fivePlus,5,1,1,MIN,97.31,11.78,41.48,139.71,0.350,1.273,0.000,0.000,0.333
25,T,fivePlus,5,1,1,MIA,93.90,11.12,43.40,134.40,0.350,1.272,0.000,0.000,0.250
26,T,fivePlus,5,2,2,NYY,92.81,11.41,34.85,136.40,0.380,1.270,0.000,0.000,0.333
27,T,four+BB,4,2,2,STL,99.20,14.06,45.49,141.65,0.280,1.080,0.000,0.000,0.250
28,T,four+BB,4,2,2,SEA,100.61,16.41,48.93,147.65,0.280,1.074,0.000,0.000,0.333
29,T,four+BB,4,2,2,SEA,100.71,15.73,49.40,144.65,0.280,1.072,0.000,0.000,0.333
30,T,four+BB,4,2,1,NYY,100.69,14.64,54.59,139.65,0.250,1.066,0.000,0.000,0.429
31,T,four+BB,4,2,2,STL,100.43,14.71,42.25,142.20,0.280,1.058,0.000,0.000,0.538
32,T,four+BB,4,2,1,LAA,100.37,16.24,44.49,146.65,0.250,1.028,0.000,0.000,0.429
33,T,four+BB,4,3,1,LAD,101.00,18.16,46.56,146.36,0.250,1.026,0.000,0.000,0.333
34,T,four+BB,4,2,2,CWS,97.20,13.28,36.94,140.91,0.280,1.019,0.000,0.000,0.250
35,T,four+BB,4,3,1,LAA,98.23,13.53,47.01,140.05,0.250,0.995,0.000,0.000,0.250
36,T,four+BB,4,2,1,SEA,99.87,15.50,47.33,146.65,0.250,0.992,0.000,0.000,0.333
37,T,four+BB,4,2,2,SEA,102.18,16.41,44.25,149.20,0.280,0.992,0.000,0.000,0.333
38,T,four+BB,4,2,1,SEA,101.61,15.27,46.49,146.65,0.250,0.984,0.000,0.000,0.333
39,T,four+BB,4,2,2,MIA,93.27,12.95,39.86,135.23,0.280,0.972,0.000,0.000,0.250
40,T,four+BB,4,2,1,CHC,98.76,11.54,44.17,137.20,0.250,0.971,0.000,0.000,0.250
41,T,three-three,3,3,2,MIN,98.23,11.73,47.36,139.85,0.180,0.719,0.000,0.000,0.250
42,T,three-three,3,3,3,NYY,94.24,12.32,39.20,137.95,0.180,0.699,0.000,0.000,0.429
43,T,three-three,3,3,1,LAD,98.94,12.59,39.34,141.35,0.150,0.658,0.000,0.000,0.250
44,T,three-three,3,3,3,LAD,91.55,10.68,37.55,131.71,0.180,0.627,0.000,0.000,0.250
45,C,four+naked,4,2,0,NYY,103.60,15.90,52.87,144.65,0.200,0.727,130.034,0.000,0.429
46,C,four+naked,4,3,0,NYY,101.78,17.42,55.52,144.65,0.200,0.806,129.539,0.000,0.333
47,C,four+naked,4,4,0,STL,104.59,17.57,48.80,146.65,0.200,0.724,128.992,0.000,0.538
48,C,four+naked,4,3,0,NYY,104.52,17.59,48.55,148.05,0.200,0.715,128.793,0.000,0.333
49,C,four+naked,4,3,0,NYY,103.33,16.65,50.63,148.20,0.200,0.695,128.646,0.000,0.667
50,C,four+naked,4,3,0,SEA,103.78,17.72,48.95,150.05,0.200,0.682,128.257,0.000,0.429
51,C,four+naked,4,2,0,NYY,103.36,15.51,49.63,144.20,0.200,0.692,128.176,0.000,0.538
52,C,four+naked,4,3,0,PIT,102.06,14.38,52.04,145.00,0.200,0.748,128.079,0.000,0.429
53,C,four+naked,4,3,0,NYY,104.10,17.94,46.95,151.05,0.200,0.715,127.577,0.000,0.429
54,C,four+naked,4,4,0,LAA,104.64,15.74,44.49,146.65,0.200,0.883,126.884,0.000,0.667
55,C,four+naked,4,3,0,MIN,104.12,16.80,45.49,149.65,0.200,0.895,126.864,0.000,0.429
56,C,four+naked,4,3,0,NYY,101.28,17.52,51.02,149.05,0.200,0.627,126.790,0.000,0.429
57,C,four+naked,4,3,0,NYY,104.50,17.21,44.49,149.65,0.200,0.785,126.744,0.000,0.333
58,C,four+naked,4,2,0,LAA,100.92,15.76,51.31,143.05,0.200,0.714,126.573,0.000,0.333
59,C,four+naked,4,4,0,MIN,101.96,13.21,49.02,141.05,0.200,0.758,126.470,0.000,0.429
60,D,four+BB,4,2,1,SEA,106.71,20.75,49.49,154.65,0.250,0.959,0.000,104.792,0.429
61,D,fivePlus,5,1,0,NYY,107.07,17.90,46.70,152.05,0.300,1.013,0.000,104.622,0.429
62,D,fivePlus,5,2,0,MIN,106.36,17.45,45.49,150.65,0.300,1.109,0.000,103.928,0.429
63,D,fivePlus,5,2,2,LAA,105.48,19.53,46.49,151.65,0.380,1.032,0.000,103.591,0.429
64,D,fivePlus,5,2,0,SEA,105.03,18.91,46.49,151.65,0.300,1.008,0.000,103.101,0.429
65,D,fivePlus,5,2,0,NYY,106.71,19.00,51.63,152.20,0.300,0.965,0.000,103.080,0.667
66,D,four+BB,4,2,1,SEA,105.22,17.77,44.64,150.05,0.250,0.934,0.000,102.820,0.429
67,D,fivePlus,5,3,0,NYY,105.24,18.17,52.87,150.65,0.300,0.963,0.000,102.785,0.429
68,D,fivePlus,5,3,0,SEA,105.21,18.94,46.49,152.65,0.300,1.010,0.000,102.773,0.429
69,D,fivePlus,5,3,0,LAA,104.57,18.77,44.64,151.05,0.300,0.990,0.000,102.672,0.429
70,D,three-three,3,3,1,SEA,105.03,18.83,46.49,154.65,0.150,0.583,0.000,102.626,0.429
71,D,four+BB,4,3,3,MIN,104.54,16.43,43.64,148.05,0.280,1.045,0.000,102.607,0.333
72,D,fivePlus,5,2,0,LAA,106.17,16.89,44.49,147.65,0.300,1.106,0.000,102.583,0.667
73,D,fivePlus,5,2,0,NYY,104.94,16.96,47.12,148.40,0.300,1.007,0.000,102.517,0.429
74,D,fivePlus,5,1,1,SEA,104.91,18.76,45.64,152.05,0.350,1.022,0.000,102.504,0.429
