idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,1,MIA,91.62,17.82,37.49,138.20,0.350,1.395,0.000,0.000,0.250
1,T,fivePlus,5,2,2,ATH,91.66,17.33,43.29,135.00,0.380,1.384,0.000,0.000,0.333
2,T,fivePlus,5,2,2,MIN,89.19,17.57,40.17,141.00,0.380,1.381,0.000,0.000,0.250
3,T,fivePlus,5,2,2,CIN,94.38,19.18,43.53,142.20,0.380,1.373,0.000,0.000,0.429
4,T,fivePlus,5,2,2,MIA,89.90,14.55,37.97,134.65,0.380,1.336,0.000,0.000,0.250
5,T,fivePlus,5,2,1,ATH,91.63,16.55,45.33,132.00,0.350,1.322,0.000,0.000,0.333
6,T,fivePlus,5,2,2,TB,93.29,18.98,46.04,141.00,0.380,1.291,0.000,0.000,0.333
7,T,fivePlus,5,1,1,ATH,91.98,16.41,40.59,135.00,0.350,1.288,0.000,0.000,0.250
8,T,fivePlus,5,2,2,NYY,92.73,21.47,36.35,142.65,0.380,1.282,0.000,0.000,0.250
9,T,fivePlus,5,2,2,CIN,87.79,15.53,43.03,134.65,0.380,1.265,0.000,0.000,0.250
10,T,fivePlus,5,2,2,DET,89.87,16.60,38.91,141.45,0.380,1.265,0.000,0.000,0.250
11,T,fivePlus,5,2,2,CHC,93.79,21.06,40.09,145.00,0.380,1.265,0.000,0.000,0.333
12,T,fivePlus,5,2,1,NYY,92.21,21.01,38.39,141.66,0.350,1.258,0.000,0.000,0.333
13,T,fivePlus,5,1,1,MIN,88.11,15.26,42.70,133.70,0.350,1.244,0.000,0.000,0.250
14,T,fivePlus,5,1,0,MIA,95.61,19.95,43.52,143.00,0.300,1.244,0.000,0.000,0.333
15,T,fivePlus,5,1,1,TB,90.13,20.58,45.25,141.00,0.350,1.240,0.000,0.000,0.250
16,T,fivePlus,5,1,1,CHC,93.85,21.99,42.17,143.00,0.350,1.239,0.000,0.000,0.333
17,T,fivePlus,5,2,2,ATH,88.15,16.21,40.23,128.40,0.380,1.239,0.000,0.000,0.250
18,T,fivePlus,5,2,2,CIN,87.10,12.41,40.52,131.86,0.380,1.237,0.000,0.000,0.250
19,T,fivePlus,5,2,2,CHC,89.97,17.34,35.39,140.66,0.380,1.212,0.000,0.000,0.250
20,T,fivePlus,5,1,1,DET,91.40,17.16,36.67,137.95,0.350,1.211,0.000,0.000,0.333
21,T,fivePlus,5,2,1,NYY,96.25,24.67,43.77,144.00,0.350,1.184,0.000,0.000,0.538
22,T,fivePlus,5,2,1,TB,92.81,22.72,43.37,146.20,0.350,1.182,0.000,0.000,0.429
23,T,fivePlus,5,2,2,CHC,92.11,21.19,42.56,142.20,0.380,1.181,0.000,0.000,0.250
24,T,fivePlus,5,2,1,ATH,88.71,14.21,44.21,132.45,0.350,1.156,0.000,0.000,0.250
25,T,fivePlus,5,1,1,NYY,95.46,23.74,39.04,147.70,0.350,1.152,0.000,0.000,0.333
26,T,fivePlus,5,1,1,NYY,92.98,21.26,35.38,142.35,0.350,1.152,0.000,0.000,0.538
27,T,four+BB,4,2,2,NYY,95.99,23.11,42.82,145.00,0.280,1.072,0.000,0.000,0.429
28,T,four+BB,4,2,2,MIN,88.75,17.13,41.78,140.00,0.280,1.052,0.000,0.000,0.250
29,T,four+BB,4,2,2,TB,94.63,23.88,41.09,146.00,0.280,1.016,0.000,0.000,0.333
30,T,four+BB,4,2,2,CHC,94.90,21.35,45.05,145.00,0.280,1.012,0.000,0.000,0.538
31,T,four+BB,4,2,1,CHC,95.54,19.49,39.09,140.00,0.250,0.964,0.000,0.000,0.429
32,T,four+BB,4,2,1,DET,94.42,23.21,44.05,150.00,0.250,0.936,0.000,0.000,0.429
33,T,four+BB,4,2,2,ATH,88.06,15.55,32.70,133.11,0.280,0.923,0.000,0.000,0.250
34,T,four+BB,4,3,1,TB,90.85,18.71,44.60,138.20,0.250,0.919,0.000,0.000,0.250
35,T,four+BB,4,2,1,NYY,92.91,20.49,42.26,139.65,0.250,0.918,0.000,0.000,0.429
