P,P,C,1B,2B,3B,SS,OF,OF,OF
Tarik Skubal (42722864),Logan Webb (42722868),Aramis Garcia (42723030),Luis Garcia Jr. (42722984),Ketel Marte (42722885),Miguel Vargas (42722926),Geraldo Perdomo (42722927),Sam Antonacci (42722996),Corbin Carroll (42722879),Alek Thomas (42722990)
Tarik Skubal (42722864),Logan Webb (42722868),Drake Baldwin (42722899),Munetaka Murakami (42722894),Fernando Tatis Jr. (42722880),Miguel Vargas (42722926),Colson Montgomery (42722912),Jorge Barrosa (42723035),Tristan Peters (42723048),Sam Antonacci (42722996)
Tarik Skubal (42722864),Tyler Glasnow (42722867),Carson Kelly (42722988),Dominic Smith (42722949),Nico Hoerner (42722891),Alex Bregman (42722933),Dansby Swanson (42722959),Felix Reyes (42723049),Seiya Suzuki (42722924),Kyle Schwarber (42722883)
Michael Soroka (42722870),Tyler Glasnow (42722867),Carson Kelly (42722988),Bryce Harper (42722900),Nico Hoerner (42722891),Max Muncy (42722902),Trea Turner (42722908),Brandon Marsh (42722985),Justin Crawford (42723008),Kyle Schwarber (42722883)
Tarik Skubal (42722864),Michael Soroka (42722870),Dalton Rushing (42722943),Bryce Harper (42722900),Bryson Stott (42722995),Alec Bohm (42722963),Dansby Swanson (42722959),Brandon Marsh (42722985),Kyle Schwarber (42722883),Teoscar Hernandez (42722895)
Tarik Skubal (42722864),Logan Webb (42722868),Keibert Ruiz (42723004),Luis Garcia Jr. (42722984),Ozzie Albies (42722936),Jorbit Vivas (42723005),CJ Abrams (42722888),Dominic Smith (42722949),James Wood (42722882),Jung Hoo Lee (42722951)
Tarik Skubal (42722864),Michael Soroka (42722870),Brett Sullivan (42723010),TJ Rumfield (42722935),Fernando Tatis Jr. (42722880),Kyle Karros (42722954),CJ Abrams (42722888),Brandon Marsh (42722985),Jake McCarthy (42722972),Mickey Moniak (42722910)
Tarik Skubal (42722864),Michael Soroka (42722870),Freddy Fermin (42722982),Luis Garcia Jr. (42722984),Nasim Nunez (42722955),Matt Chapman (42722909),Jose Tena (42723012),Daylen Lile (42722916),Ronald Acuna Jr. (42722889),James Wood (42722882)
Tarik Skubal (42722864),Tyler Glasnow (42722867),Reese McGuire (42723053),Ty France (42723007),Willi Castro (42722921),Kyle Karros (42722954),Ezequiel Tovar (42722906),Mickey Moniak (42722910),Jackson Merrill (42722886),Jake McCarthy (42722972)
Michael Soroka (42722870),Logan Webb (42722868),Keibert Ruiz (42723004),TJ Rumfield (42722935),Nasim Nunez (42722955),Austin Riley (42722928),CJ Abrams (42722888),Daylen Lile (42722916),James Wood (42722882),Mickey Moniak (42722910)
Tarik Skubal (42722864),Logan Webb (42722868),Aramis Garcia (42723030),Ty France (42723007),Fernando Tatis Jr. (42722880),Miguel Andujar (42722939),Xander Bogaerts (42722901),Mickey Moniak (42722910),Jackson Merrill (42722886),Jorge Barrosa (42723035)
Tarik Skubal (42722864),Logan Webb (42722868),Adrian Del Castillo (42722948),Bryce Harper (42722900),Bryson Stott (42722995),Matt Chapman (42722909),Trea Turner (42722908),Kyle Schwarber (42722883),Justin Crawford (42723008),Sam Antonacci (42722996)
Tarik Skubal (42722864),Tyler Glasnow (42722867),Miguel Amaya (42722971),Michael Busch (42722937),Bryson Stott (42722995),Alex Bregman (42722933),Trea Turner (42722908),Brandon Marsh (42722985),Seiya Suzuki (42722924),Ian Happ (42722934)
