idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,3,3,SEA,94.87,13.72,36.54,132.80,0.380,1.376,0.000,0.000,0.429
1,T,fivePlus,5,2,2,TB,98.08,18.17,43.44,141.95,0.380,1.333,0.000,0.000,0.250
2,T,fivePlus,5,3,3,CLE,94.81,16.28,39.89,133.95,0.380,1.325,0.000,0.000,0.250
3,T,fivePlus,5,2,2,LAA,94.04,17.41,37.34,141.30,0.380,1.301,0.000,0.000,0.429
4,T,fivePlus,5,2,2,HOU,93.91,14.85,41.07,128.95,0.380,1.300,0.000,0.000,0.250
5,T,fivePlus,5,2,1,SEA,94.64,11.30,33.04,133.40,0.350,1.293,0.000,0.000,0.333
6,T,fivePlus,5,2,2,TOR,91.16,15.48,41.12,140.35,0.380,1.281,0.000,0.000,0.176
7,T,fivePlus,5,2,1,HOU,96.60,15.75,40.87,133.95,0.350,1.281,0.000,0.000,0.250
8,T,fivePlus,5,2,2,BAL,95.60,17.64,43.45,143.37,0.380,1.271,0.000,0.000,0.250
9,T,fivePlus,5,2,1,LAA,94.92,17.62,38.79,140.35,0.350,1.268,0.000,0.000,0.333
10,T,fivePlus,5,2,0,LAA,100.29,20.51,42.08,147.95,0.300,1.264,0.000,0.000,0.429
11,T,fivePlus,5,2,1,CLE,96.60,18.96,40.89,139.95,0.350,1.259,0.000,0.000,0.429
12,T,fivePlus,5,2,2,CIN,97.55,18.08,38.89,142.95,0.380,1.250,0.000,0.000,0.429
13,T,fivePlus,5,2,0,SEA,99.13,17.80,38.89,138.95,0.300,1.239,0.000,0.000,0.429
14,T,fivePlus,5,2,0,BAL,100.82,20.01,41.44,147.95,0.300,1.238,0.000,0.000,0.429
15,T,fivePlus,5,2,2,TOR,90.08,13.45,36.92,137.95,0.380,1.233,0.000,0.000,0.250
16,T,fivePlus,5,2,2,ATH,89.23,11.33,40.71,127.05,0.380,1.226,0.000,0.000,0.250
17,T,fivePlus,5,1,1,BAL,99.39,17.88,41.55,133.97,0.350,1.225,0.000,0.000,0.429
18,T,fivePlus,5,1,1,CIN,98.69,18.93,43.82,140.95,0.350,1.225,0.000,0.000,0.333
19,T,fivePlus,5,3,0,LAA,100.36,20.26,38.89,143.95,0.300,1.215,0.000,0.000,0.429
20,T,fivePlus,5,1,0,LAA,99.10,16.97,40.56,139.82,0.300,1.211,0.000,0.000,0.333
21,T,fivePlus,5,2,1,KC,99.51,20.46,41.89,143.95,0.350,1.206,0.000,0.000,0.538
22,T,fivePlus,5,1,1,BAL,96.44,16.41,42.59,140.97,0.350,1.197,0.000,0.000,0.250
23,T,fivePlus,5,2,2,KC,97.48,18.88,42.59,141.97,0.380,1.192,0.000,0.000,0.538
24,T,fivePlus,5,2,0,CLE,98.02,18.36,39.89,139.95,0.300,1.184,0.000,0.000,0.250
25,T,fivePlus,5,1,1,KC,96.32,16.70,33.10,142.35,0.350,1.179,0.000,0.000,0.250
26,T,fivePlus,5,2,2,CIN,96.73,16.82,38.18,139.80,0.380,1.178,0.000,0.000,0.333
27,T,four+BB,4,2,2,KC,94.62,19.28,38.79,144.35,0.280,1.022,0.000,0.000,0.333
28,T,four+BB,4,2,2,TB,97.12,19.46,39.89,139.95,0.280,0.986,0.000,0.000,0.250
29,T,four+BB,4,2,2,KC,96.88,17.92,35.04,141.40,0.280,0.956,0.000,0.000,0.250
30,T,four+BB,4,3,3,BAL,95.58,15.80,33.10,139.35,0.280,0.934,0.000,0.000,0.333
