idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,NYY,97.72,6.72,40.43,137.00,0.380,1.455,0.000,0.000,0.429
1,T,fivePlus,5,2,2,SEA,98.36,7.22,36.59,139.45,0.380,1.424,0.000,0.000,0.333
2,T,fivePlus,5,2,2,NYY,96.64,7.34,41.75,138.15,0.380,1.389,0.000,0.000,0.429
3,T,fivePlus,5,2,1,SEA,100.00,7.96,42.48,138.85,0.350,1.370,0.000,0.000,0.429
4,T,fivePlus,5,2,2,SD,99.47,8.59,44.62,134.97,0.380,1.369,0.000,0.000,0.250
5,T,fivePlus,5,2,2,MIL,97.77,9.04,39.20,144.95,0.380,1.368,0.000,0.000,0.250
6,T,fivePlus,5,2,2,SEA,97.41,7.79,42.29,137.85,0.380,1.367,0.000,0.000,0.333
7,T,fivePlus,5,2,2,ARI,97.37,9.04,40.88,141.85,0.380,1.363,0.000,0.000,0.429
8,T,fivePlus,5,1,1,NYY,97.70,8.34,41.33,138.45,0.350,1.351,0.000,0.000,0.250
9,T,fivePlus,5,2,2,NYM,97.33,11.17,41.74,143.80,0.380,1.346,0.000,0.000,0.250
10,T,fivePlus,5,2,2,MIN,94.28,4.81,42.38,131.12,0.380,1.326,0.000,0.000,0.250
11,T,fivePlus,5,2,2,MIL,97.76,9.73,38.09,144.15,0.380,1.326,0.000,0.000,0.333
12,T,fivePlus,5,1,1,NYY,97.25,6.89,40.66,136.20,0.350,1.325,0.000,0.000,0.250
13,T,fivePlus,5,1,1,SEA,98.51,8.02,38.79,137.00,0.350,1.321,0.000,0.000,0.250
14,T,fivePlus,5,1,1,SD,97.07,7.40,39.13,133.07,0.350,1.303,0.000,0.000,0.250
15,T,fivePlus,5,1,1,CHC,97.85,8.08,40.38,135.82,0.350,1.302,0.000,0.000,0.250
16,T,fivePlus,5,2,2,ATL,96.49,9.61,38.34,137.00,0.380,1.301,0.000,0.000,0.176
17,T,fivePlus,5,3,3,WSH,95.58,8.77,43.15,139.85,0.380,1.297,0.000,0.000,0.250
18,T,fivePlus,5,2,2,MIL,95.93,8.75,37.14,140.71,0.380,1.292,0.000,0.000,0.333
19,T,fivePlus,5,1,1,NYY,97.38,6.42,35.48,139.35,0.350,1.285,0.000,0.000,0.250
20,T,fivePlus,5,1,0,CHC,100.59,9.14,47.19,136.97,0.300,1.277,0.000,0.000,0.250
21,T,fivePlus,5,1,1,TEX,95.13,6.51,40.78,136.95,0.350,1.272,0.000,0.000,0.333
22,T,fivePlus,5,1,0,MIL,100.99,10.34,41.88,144.85,0.300,1.271,0.000,0.000,0.250
23,T,fivePlus,5,2,2,ARI,95.20,8.68,48.03,137.85,0.380,1.267,0.000,0.000,0.250
24,T,fivePlus,5,2,1,NYM,95.80,8.40,38.70,139.95,0.350,1.267,0.000,0.000,0.250
25,T,fivePlus,5,1,1,NYM,97.80,9.78,39.54,143.95,0.350,1.266,0.000,0.000,0.250
26,T,fivePlus,5,2,2,CHC,97.39,9.46,44.13,138.93,0.380,1.266,0.000,0.000,0.250
27,T,fivePlus,5,2,2,ATH,94.78,9.46,37.39,138.70,0.380,1.260,0.000,0.000,0.250
