idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
64,D,fivePlus,5,2,0,PIT,120.16,22.49,52.45,171.21,0.300,1.012,0.000,117.627,0.538
65,D,fivePlus,5,3,0,PIT,120.17,23.28,53.45,169.21,0.300,1.005,0.000,117.065,0.538
66,D,fivePlus,5,2,2,PIT,119.96,23.63,51.45,174.21,0.380,1.021,0.000,116.875,0.538
67,D,four+BB,4,4,4,CHC,120.47,25.19,53.45,172.21,0.280,0.992,0.000,116.735,0.667
68,D,fivePlus,5,1,1,PIT,119.63,21.50,52.45,168.21,0.350,1.060,0.000,116.522,0.538
69,D,fivePlus,5,2,0,PIT,119.63,21.37,52.45,170.21,0.300,1.019,0.000,116.501,0.538
70,D,fivePlus,5,2,0,PIT,120.84,22.49,57.72,169.21,0.300,1.025,0.000,116.287,0.538
71,D,fivePlus,5,1,0,PIT,119.40,21.31,56.98,167.21,0.300,1.015,0.000,116.263,0.538
72,D,fivePlus,5,3,3,PIT,119.10,23.93,48.45,173.70,0.380,1.015,0.000,116.048,0.538
73,D,fivePlus,5,2,2,PIT,119.76,25.00,54.45,172.21,0.380,1.013,0.000,115.957,0.667
74,D,fivePlus,5,3,0,PIT,118.48,23.98,53.45,175.21,0.300,1.000,0.000,115.925,0.429
