idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,COL,103.98,9.53,53.56,139.65,0.380,1.485,0.000,0.000,0.250
1,T,fivePlus,5,2,2,COL,104.63,10.72,52.00,138.85,0.380,1.443,0.000,0.000,0.250
2,T,fivePlus,5,2,2,LAA,101.55,9.87,45.89,145.45,0.380,1.412,0.000,0.000,0.250
3,T,fivePlus,5,2,2,BOS,103.34,11.75,47.74,148.05,0.380,1.391,0.000,0.000,0.250
4,T,fivePlus,5,2,2,MIA,100.76,10.06,46.74,145.05,0.380,1.388,0.000,0.000,0.250
5,T,fivePlus,5,2,2,HOU,101.25,9.94,47.74,142.05,0.380,1.364,0.000,0.000,0.250
6,T,fivePlus,5,1,1,KC,102.90,9.69,49.20,146.05,0.350,1.358,0.000,0.000,0.250
7,T,fivePlus,5,2,2,NYY,101.06,8.98,54.75,148.15,0.380,1.349,0.000,0.000,0.250
8,T,fivePlus,5,2,2,ARI,101.50,9.71,41.09,146.45,0.380,1.329,0.000,0.000,0.250
9,T,fivePlus,5,3,0,STL,106.86,10.78,46.74,150.05,0.300,1.325,0.000,0.000,0.250
10,T,fivePlus,5,3,3,COL,99.14,10.13,49.50,139.00,0.380,1.323,0.000,0.000,0.250
11,T,fivePlus,5,1,1,MIL,104.52,10.13,41.55,145.65,0.350,1.321,0.000,0.000,0.176
12,T,fivePlus,5,1,1,STL,105.98,10.88,48.54,147.75,0.350,1.317,0.000,0.000,0.250
13,T,fivePlus,5,2,1,ATH,105.41,12.74,49.54,152.75,0.350,1.313,0.000,0.000,0.250
14,T,fivePlus,5,2,1,COL,99.69,8.62,53.05,138.45,0.350,1.305,0.000,0.000,0.250
15,T,fivePlus,5,2,1,MIN,102.58,11.11,47.55,147.60,0.350,1.303,0.000,0.000,0.250
16,T,fivePlus,5,3,0,COL,103.35,8.99,56.70,139.05,0.300,1.301,0.000,0.000,0.250
17,T,fivePlus,5,2,2,MIL,100.33,10.53,44.89,148.45,0.380,1.301,0.000,0.000,0.250
18,T,fivePlus,5,2,2,SD,98.74,8.16,43.84,141.85,0.380,1.298,0.000,0.000,0.250
19,T,fivePlus,5,1,0,STL,107.23,12.42,49.74,150.05,0.300,1.297,0.000,0.000,0.250
20,T,fivePlus,5,3,3,STL,102.86,10.08,48.55,145.85,0.380,1.295,0.000,0.000,0.250
21,T,fivePlus,5,2,2,SD,100.60,9.53,46.74,143.05,0.380,1.293,0.000,0.000,0.250
22,T,fivePlus,5,1,1,ARI,102.74,12.55,47.74,150.05,0.350,1.288,0.000,0.000,0.250
23,T,fivePlus,5,2,1,NYY,104.55,12.68,58.54,151.60,0.350,1.288,0.000,0.000,0.250
24,T,fivePlus,5,2,2,ATH,103.60,9.81,40.70,146.05,0.380,1.280,0.000,0.000,0.250
25,T,fivePlus,5,1,1,CIN,100.01,7.33,43.29,141.60,0.350,1.278,0.000,0.000,0.250
26,T,fivePlus,5,1,0,BOS,102.90,10.26,45.74,144.05,0.300,1.275,0.000,0.000,0.250
27,T,four+BB,4,2,1,COL,108.65,12.45,55.90,145.05,0.250,1.283,0.000,0.000,0.250
28,T,four+BB,4,2,2,TOR,109.60,14.54,44.55,149.65,0.280,1.132,0.000,0.000,0.250
29,T,four+BB,4,2,2,TOR,103.84,12.57,47.89,147.45,0.280,1.130,0.000,0.000,0.250
30,T,four+BB,4,2,2,ATH,104.65,12.44,46.89,153.45,0.280,1.126,0.000,0.000,0.250
31,T,four+BB,4,2,2,CWS,106.48,12.52,41.60,149.00,0.280,1.102,0.000,0.000,0.333
32,T,four+BB,4,2,2,DET,104.24,12.60,49.74,147.05,0.280,1.096,0.000,0.000,0.250
33,T,four+BB,4,2,2,CWS,108.98,13.37,46.54,153.75,0.280,1.096,0.000,0.000,0.333
34,T,four+BB,4,3,3,NYY,101.53,7.87,44.62,142.50,0.280,1.080,0.000,0.000,0.250
35,T,four+BB,4,3,1,STL,103.58,10.48,47.74,144.05,0.250,1.055,0.000,0.000,0.250
36,T,four+BB,4,2,2,MIN,101.06,8.47,48.21,142.65,0.280,1.046,0.000,0.000,0.250
37,T,four+BB,4,1,1,CWS,107.55,12.08,45.89,149.45,0.250,1.028,0.000,0.000,0.333
38,T,four+BB,4,2,1,CWS,105.22,11.30,42.84,145.85,0.250,1.021,0.000,0.000,0.250
39,T,four+BB,4,2,2,CWS,105.35,13.27,43.94,151.85,0.280,1.016,0.000,0.000,0.429
40,T,four+BB,4,2,2,CWS,104.64,11.39,40.70,143.05,0.280,1.014,0.000,0.000,0.250
41,T,three-three,3,3,2,CWS,103.07,10.72,41.17,145.70,0.180,0.696,0.000,0.000,0.250
42,T,three-three,3,3,0,COL,108.84,11.60,45.55,147.60,0.100,0.692,0.000,0.000,0.250
43,T,three-three,3,3,1,TOR,101.46,11.44,45.27,147.25,0.150,0.690,0.000,0.000,0.176
44,T,three-three,3,3,2,KC,99.03,9.22,56.50,143.05,0.180,0.652,0.000,0.000,0.250
45,C,four+naked,4,3,0,LAD,115.23,18.79,52.74,159.05,0.200,0.924,141.599,0.000,0.538
46,C,four+naked,4,3,0,CWS,114.23,17.93,51.89,159.45,0.200,0.905,140.174,0.000,0.667
47,C,four+naked,4,2,0,LAD,111.84,17.59,55.26,157.15,0.200,0.809,139.472,0.000,0.429
48,C,four+naked,4,3,0,LAD,111.96,16.39,54.15,154.05,0.200,0.827,139.036,0.000,0.538
49,C,four+naked,4,3,0,CWS,114.05,16.50,49.89,156.45,0.200,0.914,138.994,0.000,0.538
50,C,four+naked,4,3,0,CWS,113.60,13.68,50.31,153.05,0.200,0.970,138.757,0.000,0.333
51,C,four+naked,4,2,0,CWS,113.34,16.54,50.74,155.05,0.200,0.889,138.709,0.000,0.538
52,C,four+naked,4,3,0,CWS,113.24,18.43,50.88,160.60,0.200,0.888,138.678,0.000,0.538
53,C,four+naked,4,4,0,CWS,113.12,16.98,50.89,158.45,0.200,0.883,138.564,0.000,0.538
54,C,four+naked,4,3,0,LAD,112.16,18.50,52.69,159.15,0.200,0.832,138.504,0.000,0.429
55,C,four+naked,4,3,0,CWS,112.89,17.20,50.54,156.75,0.200,0.876,138.159,0.000,0.667
56,C,four+naked,4,4,0,LAD,112.11,18.04,51.54,156.75,0.200,0.826,137.879,0.000,0.538
57,C,four+naked,4,1,0,LAD,110.77,15.92,53.77,155.05,0.200,0.980,137.657,0.000,0.333
58,C,four+naked,4,3,0,MIL,110.26,15.42,54.15,155.05,0.200,0.792,137.336,0.000,0.429
59,C,four+naked,4,2,0,CWS,111.88,17.32,50.88,158.60,0.200,0.853,137.317,0.000,0.429
60,D,fivePlus,5,2,0,CWS,117.37,16.44,48.74,156.05,0.300,1.059,0.000,114.907,0.667
61,D,fivePlus,5,3,0,CWS,117.76,18.13,50.74,159.05,0.300,1.023,0.000,114.690,0.667
62,D,fivePlus,5,3,0,CWS,118.23,19.30,51.74,160.05,0.300,1.013,0.000,114.497,0.667
63,D,fivePlus,5,3,0,CWS,117.52,19.15,51.74,159.05,0.300,1.009,0.000,113.785,0.667
