idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,TEX,104.27,10.85,44.49,145.30,0.380,1.455,0.000,0.000,0.250
1,T,fivePlus,5,2,1,STL,103.46,9.98,40.39,139.90,0.350,1.444,0.000,0.000,0.250
2,T,fivePlus,5,2,2,ATH,106.90,9.70,43.49,140.80,0.380,1.411,0.000,0.000,0.250
3,T,fivePlus,5,2,1,STL,104.86,10.77,52.50,144.30,0.350,1.395,0.000,0.000,0.333
4,T,fivePlus,5,2,2,PHI,102.34,7.99,42.12,137.90,0.380,1.336,0.000,0.000,0.250
5,T,fivePlus,5,3,3,STL,99.69,7.93,46.61,134.14,0.380,1.331,0.000,0.000,0.250
6,T,fivePlus,5,2,2,MIN,101.25,10.26,49.68,142.39,0.380,1.308,0.000,0.000,0.250
7,T,fivePlus,5,1,1,PHI,103.71,9.24,46.03,141.90,0.350,1.307,0.000,0.000,0.333
8,T,fivePlus,5,1,1,HOU,105.05,9.79,39.39,140.90,0.350,1.307,0.000,0.000,0.250
9,T,fivePlus,5,2,2,WSH,100.18,9.79,44.97,139.80,0.380,1.307,0.000,0.000,0.250
10,T,fivePlus,5,2,2,TOR,102.12,10.31,45.65,143.90,0.380,1.306,0.000,0.000,0.250
11,T,fivePlus,5,2,2,HOU,104.07,12.53,43.49,145.30,0.380,1.299,0.000,0.000,0.333
12,T,fivePlus,5,2,1,TB,103.28,10.82,48.85,143.99,0.350,1.296,0.000,0.000,0.333
13,T,fivePlus,5,2,2,ATH,97.34,7.55,37.09,140.00,0.380,1.293,0.000,0.000,0.250
14,T,fivePlus,5,2,2,SEA,106.60,12.72,56.22,144.23,0.380,1.293,0.000,0.000,0.429
15,T,fivePlus,5,2,2,CIN,103.41,11.59,42.34,145.20,0.380,1.289,0.000,0.000,0.250
16,T,fivePlus,5,2,1,WSH,100.65,10.11,43.76,139.30,0.350,1.288,0.000,0.000,0.250
