idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,COL,101.01,12.41,49.06,142.00,0.380,1.426,0.000,0.000,0.250
1,T,fivePlus,5,2,2,COL,98.52,10.76,47.39,139.06,0.380,1.414,0.000,0.000,0.250
2,T,fivePlus,5,1,1,COL,97.46,9.34,38.20,137.36,0.350,1.383,0.000,0.000,0.250
3,T,fivePlus,5,1,1,ARI,98.97,15.64,46.16,148.91,0.350,1.361,0.000,0.000,0.250
4,T,fivePlus,5,2,2,ARI,99.50,15.20,42.70,144.00,0.380,1.360,0.000,0.000,0.250
5,T,fivePlus,5,1,1,LAA,102.36,14.63,46.49,145.83,0.350,1.331,0.000,0.000,0.250
6,T,fivePlus,5,2,2,TOR,98.84,13.71,42.70,145.00,0.380,1.325,0.000,0.000,0.250
7,T,fivePlus,5,2,1,LAA,98.37,12.64,40.80,140.85,0.350,1.317,0.000,0.000,0.250
8,T,fivePlus,5,3,3,COL,95.24,9.29,40.24,135.06,0.380,1.314,0.000,0.000,0.250
9,T,fivePlus,5,2,2,LAA,101.39,14.50,45.16,144.41,0.380,1.309,0.000,0.000,0.250
10,T,fivePlus,5,2,2,HOU,96.20,10.63,39.25,138.06,0.380,1.305,0.000,0.000,0.250
11,T,fivePlus,5,2,2,STL,97.15,10.47,42.23,135.06,0.380,1.302,0.000,0.000,0.250
12,T,fivePlus,5,2,2,STL,99.10,13.53,44.70,143.00,0.380,1.290,0.000,0.000,0.333
13,T,fivePlus,5,1,1,STL,102.48,16.00,46.70,149.00,0.350,1.288,0.000,0.000,0.333
14,T,fivePlus,5,2,2,LAD,98.46,13.37,47.41,139.25,0.380,1.287,0.000,0.000,0.429
15,T,fivePlus,5,2,2,TEX,93.17,7.60,40.64,134.06,0.380,1.284,0.000,0.000,0.250
16,T,fivePlus,5,2,2,LAD,99.87,15.91,42.80,145.45,0.380,1.279,0.000,0.000,0.429
17,T,fivePlus,5,2,0,LAA,102.41,12.94,37.90,143.25,0.300,1.274,0.000,0.000,0.333
18,T,fivePlus,5,1,1,LAA,99.90,13.82,45.42,145.15,0.350,1.273,0.000,0.000,0.250
19,T,fivePlus,5,2,2,HOU,95.60,15.46,45.55,148.00,0.380,1.272,0.000,0.000,0.250
20,T,fivePlus,5,1,1,COL,95.37,11.07,52.30,135.85,0.350,1.270,0.000,0.000,0.250
21,T,fivePlus,5,1,1,COL,95.09,9.83,45.29,135.40,0.350,1.265,0.000,0.000,0.250
22,T,fivePlus,5,2,1,SEA,95.97,14.16,53.64,144.80,0.350,1.264,0.000,0.000,0.429
23,T,fivePlus,5,2,2,SD,99.43,13.92,43.90,139.31,0.380,1.264,0.000,0.000,0.333
24,T,fivePlus,5,1,1,STL,97.97,11.84,42.80,141.85,0.350,1.259,0.000,0.000,0.250
25,T,fivePlus,5,2,1,SD,100.61,14.13,48.95,143.24,0.350,1.256,0.000,0.000,0.250
26,T,fivePlus,5,1,1,SD,98.96,14.80,46.49,147.88,0.350,1.253,0.000,0.000,0.250
27,T,four+BB,4,2,2,SD,104.60,20.44,48.65,155.80,0.280,1.108,0.000,0.000,0.250
28,T,four+BB,4,2,2,TOR,102.75,18.92,48.65,153.80,0.280,1.105,0.000,0.000,0.429
29,T,four+BB,4,2,2,LAA,101.97,15.58,41.70,145.00,0.280,1.081,0.000,0.000,0.429
30,T,four+BB,4,1,1,LAD,105.38,17.28,43.25,151.06,0.250,1.062,0.000,0.000,0.429
31,T,four+BB,4,2,2,ARI,99.04,14.49,37.90,144.25,0.280,1.048,0.000,0.000,0.250
32,T,four+BB,4,2,2,TOR,99.61,16.61,44.65,148.80,0.280,1.035,0.000,0.000,0.250
33,T,four+BB,4,2,2,HOU,97.90,14.29,43.65,144.80,0.280,1.025,0.000,0.000,0.250
34,T,four+BB,4,2,2,COL,95.84,9.29,46.25,135.25,0.280,1.024,0.000,0.000,0.250
35,T,four+BB,4,4,4,SD,100.36,14.90,49.00,142.99,0.280,1.009,0.000,0.000,0.250
36,T,four+BB,4,2,2,LAD,98.60,11.85,37.85,136.46,0.280,0.985,0.000,0.000,0.333
37,T,four+BB,4,2,2,SD,98.71,16.10,41.60,144.10,0.280,0.978,0.000,0.000,0.333
38,T,four+BB,4,2,1,TOR,103.22,18.10,44.15,152.26,0.250,0.966,0.000,0.000,0.333
39,T,four+BB,4,2,2,HOU,98.02,14.08,44.80,145.85,0.280,0.965,0.000,0.000,0.250
40,T,four+BB,4,2,1,TOR,99.41,14.54,51.95,140.24,0.250,0.960,0.000,0.000,0.333
