P,P,C,1B,2B,3B,SS,OF,OF,OF
Freddy Peralta (42730327),Will Warren (42730328),Liam Hicks (42730417),Rafael Devers (42730372),Xavier Edwards (42730400),Graham Pauley (42730671),Otto Lopez (42730420),Heliot Ramos (42730540),Jung Hoo Lee (42730481),Kyle Stowers (42730384)
Freddy Peralta (42730327),Drew Rasmussen (42730330),Shea Langeliers (42730365),Joc Pederson (42730597),Jeff McNeil (42730527),Max Muncy (42730478),Jacob Wilson (42730480),James Wood (42730354),Lawrence Butler (42730509),Brandon Nimmo (42730378)
Freddy Peralta (42730327),Brandon Woodruff (42730324),Shea Langeliers (42730365),Joc Pederson (42730597),Josh Smith (42730606),Josh Jung (42730522),Corey Seager (42730373),Wilyer Abreu (42730414),Adolis Garcia (42730543),Brandon Nimmo (42730378)
Gavin Williams (42730322),Freddy Peralta (42730327),Ivan Herrera (42730441),Bryce Harper (42730393),JJ Wetherholt (42730398),Austin Riley (42730445),Trea Turner (42730396),Justin Crawford (42730605),Brandon Marsh (42730489),Adolis Garcia (42730543)
Freddy Peralta (42730327),Drew Rasmussen (42730330),Edgar Quero (42730594),Jake Bauers (42730416),Chase Meidroth (42730521),Miguel Vargas (42730418),Colson Montgomery (42730392),Jacob Young (42730516),Everson Pereira (42730503),Yordan Alvarez (42730350)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Will Smith (42730434),Michael Busch (42730449),Nico Hoerner (42730385),Junior Caminero (42730370),Dansby Swanson (42730473),Chandler Simpson (42730419),Ian Happ (42730431),Seiya Suzuki (42730406)
Brayan Bello (42730340),Yusei Kikuchi (42730342),Will Smith (42730434),Rafael Devers (42730372),Luis Arraez (42730425),Matt Chapman (42730394),Willy Adames (42730426),Shohei Ohtani (42730347),Jakob Marsee (42730401),Heliot Ramos (42730540)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Will Smith (42730434),Freddie Freeman (42730361),Jazz Chisholm Jr. (42730448),Max Muncy (42730397),Hyeseong Kim (42730584),Trent Grisham (42730470),Pete Crow-Armstrong (42730379),Teoscar Hernandez (42730389)
Drew Rasmussen (42730330),Freddy Peralta (42730327),Agustin Ramirez (42730428),Connor Norby (42730611),Luis Arraez (42730425),Matt Chapman (42730394),Otto Lopez (42730420),Andy Pages (42730374),Owen Caissie (42730525),Jakob Marsee (42730401)
Freddy Peralta (42730327),Nathan Eovaldi (42730329),Moises Ballesteros (42730458),Christian Walker (42730402),Jose Altuve (42730380),Ryan McMahon (42730719),Carlos Correa (42730409),Dustin Harris (42730635),Trent Grisham (42730470),Yordan Alvarez (42730350)
Freddy Peralta (42730327),Nathan Eovaldi (42730329),Salvador Perez (42730504),Casey Schmitt (42730528),Vaughn Grissom (42730680),Matt Chapman (42730394),Zach Neto (42730368),Mike Trout (42730356),Jo Adell (42730422),Jorge Soler (42730487)
Paul Skenes (42730321),Yusei Kikuchi (42730342),Agustin Ramirez (42730428),Connor Norby (42730611),Xavier Edwards (42730400),Jose Ramirez (42730351),Willy Adames (42730426),Everson Pereira (42730503),Owen Caissie (42730525),Kyle Stowers (42730384)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Yainer Diaz (42730467),Ben Rice (42730364),Nasim Nunez (42730477),Isaac Paredes (42730435),Carlos Correa (42730409),Everson Pereira (42730503),Yordan Alvarez (42730350),Cam Smith (42730482)
Freddy Peralta (42730327),Paul Skenes (42730321),Adley Rutschman (42730450),Pete Alonso (42730383),Marcelo Mayer (42730620),Royce Lewis (42730502),Gunnar Henderson (42730355),Dylan Beavers (42730551),Taylor Ward (42730411),Matt Wallner (42730544)
Freddy Peralta (42730327),Paul Skenes (42730321),Ivan Herrera (42730441),Vladimir Guerrero Jr. (42730375),JJ Wetherholt (42730398),Nolan Gorman (42730508),Zach Neto (42730368),Jose Fermin (42730661),Luke Raley (42730517),Nathan Church (42730588)
Freddy Peralta (42730327),Paul Skenes (42730321),Shea Langeliers (42730365),Casey Schmitt (42730528),Luis Arraez (42730425),Matt Chapman (42730394),Willy Adames (42730426),Starling Marte (42730630),Lawrence Butler (42730509),Jung Hoo Lee (42730481)
Freddy Peralta (42730327),Lance McCullers Jr. (42730338),Eric Haase (42730724),Rafael Devers (42730372),Luis Arraez (42730425),Matt Chapman (42730394),Willy Adames (42730426),Taylor Ward (42730411),Daylen Lile (42730421),Kyle Stowers (42730384)
Freddy Peralta (42730327),Drew Rasmussen (42730330),Shea Langeliers (42730365),Bryce Harper (42730393),Jazz Chisholm Jr. (42730448),Alec Bohm (42730546),Trea Turner (42730396),Kyle Schwarber (42730359),Eli White (42730681),Justin Crawford (42730605)
Drew Rasmussen (42730330),Paul Skenes (42730321),Hunter Goodman (42730413),Joc Pederson (42730597),Nico Hoerner (42730385),Max Muncy (42730478),Corey Seager (42730373),Brandon Nimmo (42730378),Evan Carter (42730443),Alejandro Osuna (42730722)
Freddy Peralta (42730327),Paul Skenes (42730321),Cal Raleigh (42730382),Josh Naylor (42730483),Cole Young (42730676),Junior Caminero (42730370),Masyn Winn (42730529),Julio Rodriguez (42730432),Jordan Walker (42730412),Luke Raley (42730517)
Freddy Peralta (42730327),Paul Skenes (42730321),Kyle Higashioka (42730547),Kody Clemens (42730510),Josh Smith (42730606),Josh Jung (42730522),Corey Seager (42730373),Chase DeLauter (42730429),Byron Buxton (42730371),Evan Carter (42730443)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Agustin Ramirez (42730428),Connor Norby (42730611),Jazz Chisholm Jr. (42730448),Graham Pauley (42730671),CJ Abrams (42730363),Yordan Alvarez (42730350),Jakob Marsee (42730401),Kyle Stowers (42730384)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Ivan Herrera (42730441),Ben Rice (42730364),Jazz Chisholm Jr. (42730448),Nolan Gorman (42730508),Jose Caballero (42730567),Trent Grisham (42730470),Aaron Judge (42730349),Jordan Walker (42730412)
Freddy Peralta (42730327),Grant Holmes (42730333),Shea Langeliers (42730365),Rhys Hoskins (42730573),Lenyn Sosa (42730674),Jose Ramirez (42730351),Brayan Rocchio (42730589),Daniel Schneemann (42730579),Chase DeLauter (42730429),Yordan Alvarez (42730350)
Gavin Williams (42730322),Yusei Kikuchi (42730342),Moises Ballesteros (42730458),Michael Busch (42730449),Jazz Chisholm Jr. (42730448),Alex Bregman (42730427),Dansby Swanson (42730473),Dustin Harris (42730635),Shohei Ohtani (42730347),Pete Crow-Armstrong (42730379)
Freddy Peralta (42730327),Brandon Woodruff (42730324),Agustin Ramirez (42730428),Munetaka Murakami (42730366),Chase Meidroth (42730521),Miguel Vargas (42730418),CJ Abrams (42730363),Everson Pereira (42730503),Luisangel Acuna (42730646),Owen Caissie (42730525)
Paul Skenes (42730321),Nathan Eovaldi (42730329),J.C. Escarra (42730670),Connor Norby (42730611),Jazz Chisholm Jr. (42730448),Ryan McMahon (42730719),Jose Caballero (42730567),Yordan Alvarez (42730350),Aaron Judge (42730349),Jordan Walker (42730412)
Drew Rasmussen (42730330),Freddy Peralta (42730327),J.C. Escarra (42730670),Willson Contreras (42730424),Jazz Chisholm Jr. (42730448),Carlos Correa (42730409),Jose Caballero (42730567),Wilyer Abreu (42730414),Trent Grisham (42730470),Yordan Alvarez (42730350)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Drake Baldwin (42730381),Munetaka Murakami (42730366),Nasim Nunez (42730477),Miguel Vargas (42730418),Luisangel Acuna (42730646),Jacob Young (42730516),James Wood (42730354),Daylen Lile (42730421)
Freddy Peralta (42730327),Yusei Kikuchi (42730342),Liam Hicks (42730417),Casey Schmitt (42730528),Xavier Edwards (42730400),Matt Chapman (42730394),Willy Adames (42730426),Jordan Walker (42730412),Jakob Marsee (42730401),Kyle Stowers (42730384)
Freddy Peralta (42730327),Noah Cameron (42730336),Will Smith (42730434),Vladimir Guerrero Jr. (42730375),Ernie Clement (42730559),Jose Ramirez (42730351),Brayan Rocchio (42730589),Jesus Sanchez (42730512),Nathan Lukes (42730615),Shohei Ohtani (42730347)
