rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,1.516,4,3,BAL,KC,1,3,4,5,2185.77,23300,96.77,8.477,48200,0,BAL@KC,BAL,4,KC,1
2,1.419,4,3,KC,BAL,1,3,4,5,2289.65,23700,103.47,14.051,49500,0,BAL@KC,KC,4,BAL,1
3,1.419,4,3,BAL,KC,1,3,4,5,2305.23,23700,96.06,7.725,48300,0,BAL@KC,BAL,4,KC,1
4,1.386,4,2,KC,BAL,0,4,4,4,2316.92,23700,103.77,13.986,49700,0,BAL@KC,KC,4,,0
5,1.347,4,3,KC,BAL,1,3,4,5,2231.61,23800,104.50,14.361,49700,0,BAL@KC,KC,4,BAL,1
6,1.031,4,3,CIN,TB,1,4,5,5,2232.06,23800,102.59,13.172,48300,0,CIN@TB,CIN,4,TB,1
7,1.029,5,2,BAL,KC,0,4,5,5,2232.04,24000,96.21,4.279,50000,0,BAL@KC,BAL,5,,0
8,1.024,4,3,BAL,KC,0,4,4,4,2117.17,23300,96.61,7.871,49600,0,BAL@KC,BAL,4,,0
9,1.008,5,3,BAL,KC,0,4,4,5,2269.80,24000,97.88,4.216,49000,0,BAL@KC,BAL,5,,0
10,1.004,4,2,LAA,TOR,0,3,4,5,2244.99,23700,104.06,14.410,50000,0,BAL@KC,KC,2,BAL,2
11,1.004,4,2,KC,BAL,0,4,4,4,2369.30,23800,104.47,14.769,49200,0,BAL@KC,KC,4,,0
12,0.988,4,4,BAL,KC,0,4,4,4,2217.23,24000,97.60,4.261,49700,0,BAL@KC,BAL,4,,0
13,0.976,5,2,KC,BAL,0,3,3,5,2149.91,23300,104.73,15.906,49700,0,BAL@KC,KC,5,,0
14,0.971,5,2,BAL,KC,0,4,4,5,2170.25,23900,98.24,8.078,50000,0,BAL@KC,BAL,5,,0
15,0.946,4,3,BAL,KC,0,5,5,4,2273.24,24000,96.00,3.726,48800,0,BAL@KC,BAL,4,,0
16,0.941,4,4,KC,BAL,0,3,3,5,2301.83,23700,101.89,13.630,49600,0,BAL@KC,KC,4,,0
17,0.933,4,4,BAL,KC,0,3,3,5,2216.87,23300,97.19,8.302,48500,0,BAL@KC,BAL,4,,0
18,0.912,5,3,KC,BAL,0,4,4,5,2359.58,24000,102.63,14.263,48200,0,BAL@KC,KC,5,,0
19,0.910,4,3,BAL,KC,1,3,4,5,2268.04,23900,97.21,7.836,50000,0,BAL@KC,BAL,4,KC,1
20,0.899,5,2,BAL,KC,0,4,4,5,2185.77,23900,98.38,4.399,49800,0,BAL@KC,BAL,5,,0
21,0.899,5,2,BAL,KC,0,4,4,5,2196.45,23900,97.90,8.407,49600,0,BAL@KC,BAL,5,,0
22,0.859,4,3,CIN,TB,0,4,5,4,2211.24,24000,103.65,13.716,49800,0,BAL@KC,BAL,3,KC,1
23,0.856,5,2,KC,BAL,0,4,4,5,2261.61,23800,104.45,15.925,49900,0,BAL@KC,KC,5,,0
24,0.847,4,3,KC,BAL,0,4,4,4,2275.61,23100,103.62,12.189,48400,0,BAL@KC,KC,4,,0
25,0.830,5,2,KC,BAL,0,4,4,5,2222.97,23300,103.28,15.547,49200,0,BAL@KC,KC,5,,0
26,0.829,5,1,KC,BAL,0,4,4,5,2392.51,24300,102.88,13.021,49300,0,BAL@KC,KC,5,,0
27,0.829,5,1,TB,CIN,0,4,4,5,2312.34,23900,99.66,10.984,49100,0,CIN@TB,TB,5,,0
28,0.800,5,3,KC,BAL,0,3,3,5,2253.00,23700,104.50,14.385,50000,0,BAL@KC,KC,5,,0
29,0.800,5,3,KC,BAL,0,3,3,5,2277.37,23700,104.16,14.784,49600,0,BAL@KC,KC,5,,0
30,0.800,5,3,KC,BAL,0,3,3,5,2241.18,23700,103.50,15.780,49900,0,BAL@KC,KC,5,,0
31,0.787,5,3,BAL,KC,0,3,3,5,2253.97,23900,97.11,7.567,48600,0,BAL@KC,BAL,5,,0
32,0.787,5,3,KC,BAL,0,3,3,5,2332.06,23800,103.73,14.814,48500,0,BAL@KC,KC,5,,0
33,0.776,5,3,BAL,KC,0,4,4,5,2281.14,24000,96.81,7.593,48800,0,BAL@KC,BAL,5,,0
34,0.758,5,2,CIN,TB,0,5,5,5,2357.88,24300,103.52,11.005,49800,0,CIN@TB,CIN,5,,0
35,0.756,4,4,BAL,KC,0,4,4,4,2188.36,24000,103.68,13.922,49900,0,BAL@KC,BAL,4,,0
36,0.752,5,3,CIN,TB,0,4,4,5,2283.94,23900,100.79,11.138,49400,0,CIN@TB,CIN,5,,0
37,0.738,5,2,KC,BAL,0,4,4,5,2203.20,23800,105.09,15.189,49300,0,BAL@KC,KC,5,,0
38,0.729,5,3,BAL,KC,0,3,3,5,2153.51,23300,103.33,15.253,49200,0,BAL@KC,BAL,5,,0
39,0.727,5,3,BAL,KC,0,4,4,5,2231.79,24000,97.07,4.259,49900,0,BAL@KC,BAL,5,,0
40,0.723,4,4,KC,BAL,0,4,4,4,2325.51,23800,102.57,13.144,48000,0,BAL@KC,KC,4,,0
41,0.711,5,1,KC,BAL,0,4,4,5,2394.08,24100,103.38,14.929,49200,0,BAL@KC,KC,5,,0
42,0.711,5,1,KC,BAL,0,4,4,5,2415.70,24100,103.04,15.343,48800,0,BAL@KC,KC,5,,0
43,0.692,4,3,BAL,KC,0,3,3,4,2197.36,23900,97.54,7.469,49400,0,BAL@KC,BAL,4,,0
44,0.691,4,4,BAL,KC,0,4,4,4,2264.97,23900,104.21,13.065,48700,0,BAL@KC,BAL,4,,0
45,0.675,4,4,BAL,KC,0,4,4,4,2278.68,24000,96.35,3.931,49400,0,BAL@KC,BAL,4,,0
46,0.665,4,3,KC,BAL,0,3,3,4,2294.25,23700,102.75,12.648,48200,0,BAL@KC,KC,4,,0
47,0.658,4,2,KC,BAL,0,4,4,4,2333.00,23800,102.39,14.510,49100,0,BAL@KC,KC,4,,0
48,0.656,5,2,BAL,KC,0,4,4,5,2165.09,23300,96.28,4.221,49200,0,BAL@KC,BAL,5,,0
49,0.621,5,2,KC,BAL,0,5,5,5,2362.82,23800,101.06,14.468,48900,0,BAL@KC,KC,5,,0
50,0.618,5,3,KC,BAL,0,4,4,5,2358.41,24300,99.38,10.064,49700,0,BAL@KC,KC,5,,0
51,0.615,5,2,BAL,KC,0,5,5,5,2280.35,24300,93.57,6.046,49000,0,BAL@KC,BAL,5,,0
52,0.615,5,2,KC,BAL,0,5,5,5,2397.60,24300,99.03,10.703,48500,0,BAL@KC,KC,5,,0
53,0.614,5,3,BAL,KC,0,3,3,5,2243.23,23300,96.48,7.752,48300,0,BAL@KC,BAL,5,,0
54,0.614,5,3,BAL,KC,0,3,3,5,2226.77,23300,96.74,7.877,48500,0,BAL@KC,BAL,5,,0
55,0.609,5,3,KC,BAL,0,3,3,5,2296.95,23800,103.26,14.923,50000,0,BAL@KC,KC,5,,0
56,0.604,5,2,KC,BAL,0,3,3,5,2293.99,23800,103.19,15.781,48600,0,BAL@KC,KC,5,,0
57,0.599,5,2,KC,BAL,0,4,4,5,2225.22,22700,102.07,13.025,48200,0,BAL@KC,KC,5,,0
