rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,-1.202,4,4,PHI,ATL,0,4,4,4,2500.58,24800,105.44,5.459,49900,0,ATL@PHI,PHI,4,,0
2,-1.405,5,2,BOS,BAL,0,5,5,5,2626.48,25400,106.22,7.369,49600,0,BAL@BOS,BOS,5,,0
3,-1.439,4,3,PHI,ATL,0,5,5,4,2499.30,25400,106.89,4.587,49500,0,ATL@PHI,PHI,4,,0
4,-1.460,5,2,PHI,ATL,0,5,5,5,2566.73,25200,103.66,3.438,49700,0,ATL@PHI,PHI,5,,0
5,-1.520,5,3,CWS,WSH,0,4,4,5,2480.24,25100,102.64,7.909,49800,0,CWS@WSH,CWS,5,,0
6,-1.520,5,3,CWS,WSH,0,4,4,5,2501.68,25100,102.19,7.092,49600,0,CWS@WSH,CWS,5,,0
7,-1.549,4,4,WSH,CWS,0,4,4,4,2452.26,24800,105.70,4.825,49800,0,CWS@WSH,WSH,4,,0
8,-1.562,5,2,PHI,ATL,0,5,5,5,2665.50,25400,103.88,3.479,49900,0,ATL@PHI,PHI,5,,0
9,-1.609,5,1,WSH,CWS,0,6,6,5,2372.34,24300,104.61,7.248,50000,0,CWS@WSH,WSH,5,,0
10,-1.619,5,3,WSH,CWS,0,4,4,5,2359.68,24300,105.79,7.737,49700,0,CWS@WSH,WSH,5,,0
11,-1.651,5,2,PHI,ATL,0,5,5,5,2572.63,25400,103.41,2.712,49600,0,ATL@PHI,PHI,5,,0
12,-1.666,5,2,WSH,CWS,0,5,5,5,2341.79,24300,104.29,5.662,50000,0,CWS@WSH,WSH,5,,0
13,-1.682,4,3,CWS,WSH,0,5,5,4,2449.49,24600,105.60,5.623,50000,0,CWS@WSH,CWS,4,,0
14,-1.683,5,2,CWS,WSH,0,4,5,5,2474.29,25000,101.80,6.751,49700,0,CWS@WSH,CWS,5,,0
15,-1.685,5,1,WSH,CWS,0,5,5,5,2466.68,24800,104.53,6.369,49500,0,CWS@WSH,WSH,5,,0
16,-1.709,4,2,WSH,CWS,1,5,6,5,2447.63,25000,103.34,4.136,49900,0,CWS@WSH,WSH,4,CWS,1
17,-1.710,5,1,LAA,KC,0,6,6,5,2566.03,25400,101.36,4.618,49500,0,KC@LAA,LAA,5,,0
