rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,0.836,4,2,CIN,COL,1,4,5,5,2384.03,23100,98.62,12.491,49800,0,CIN@COL,CIN,4,COL,1
2,0.678,5,2,CIN,COL,0,3,3,5,2337.97,23100,103.35,17.407,49700,0,CIN@COL,CIN,5,,0
3,0.612,4,3,CIN,COL,1,4,5,5,2296.11,23100,98.98,12.918,49300,0,CIN@COL,CIN,4,COL,1
4,0.524,5,3,COL,CIN,0,4,4,5,2269.03,22900,99.06,12.594,49500,0,CIN@COL,COL,5,,0
5,0.480,4,2,CIN,COL,1,4,5,5,2288.32,23100,98.33,13.406,49600,0,CIN@COL,CIN,4,COL,1
6,0.382,4,4,COL,CIN,0,4,4,4,2232.94,22900,97.80,12.045,50000,0,CIN@COL,COL,4,,0
7,0.356,4,3,STL,PIT,0,4,4,4,2337.18,23100,99.70,12.200,49600,0,PIT@STL,STL,4,,0
8,0.310,5,2,COL,CIN,0,4,4,5,2152.12,22200,99.03,11.717,49200,0,CIN@COL,COL,5,,0
9,0.261,5,1,COL,CIN,0,5,6,5,2161.69,22500,97.47,11.770,49900,0,CIN@COL,COL,5,,0
10,0.231,5,1,CIN,COL,0,4,4,5,2340.17,23100,102.55,15.271,49400,0,CIN@COL,CIN,5,,0
11,0.214,5,2,COL,CIN,0,5,5,5,2234.19,22900,99.14,13.288,49800,0,CIN@COL,COL,5,,0
12,0.189,5,2,COL,CIN,0,5,5,5,2268.57,23200,97.35,9.943,49600,0,CIN@COL,COL,5,,0
13,0.108,5,2,COL,CIN,0,4,4,5,2126.59,22200,97.98,10.731,49400,0,CIN@COL,COL,5,,0
14,0.077,5,2,CIN,COL,0,5,5,5,2433.21,23200,101.43,14.829,49500,0,CIN@COL,CIN,5,,0
15,0.067,4,2,CIN,COL,0,5,6,4,2284.32,23100,101.95,14.603,49700,0,CIN@COL,CIN,4,,0
16,-0.024,5,3,CIN,COL,0,3,3,5,2219.37,23100,100.44,16.128,49800,0,CIN@COL,CIN,5,,0
17,-0.070,5,2,CIN,COL,0,5,5,5,2389.75,23200,100.65,16.124,49900,0,CIN@COL,CIN,5,,0
18,-0.089,4,3,PIT,STL,0,4,4,4,2204.20,22900,95.81,13.521,49500,0,PIT@STL,PIT,4,,0
19,-0.096,5,3,CIN,COL,0,3,3,5,2349.38,23100,100.54,13.555,49800,0,CIN@COL,CIN,5,,0
20,-0.108,5,2,CIN,COL,0,3,3,5,2385.88,23100,102.55,15.063,49400,0,CIN@COL,CIN,5,,0
21,-0.171,5,2,CIN,COL,0,4,4,5,2276.75,23100,102.26,17.174,49200,0,CIN@COL,CIN,5,,0
22,-0.237,5,2,PIT,STL,0,4,4,5,2373.71,23200,97.34,12.735,49500,0,PIT@STL,PIT,5,,0
23,-0.252,4,3,PIT,STL,1,3,4,5,2359.15,23200,94.92,8.457,49800,0,PIT@STL,PIT,4,STL,1
24,-0.276,5,1,CIN,COL,0,4,4,5,2354.91,23100,99.01,13.972,49800,0,CIN@COL,CIN,5,,0
25,-0.286,5,2,ARI,MIL,0,5,5,5,2293.14,23100,95.51,12.643,49500,0,ARI@MIL,ARI,5,,0
26,-0.324,5,2,ARI,MIL,0,4,4,5,2132.63,22500,95.80,12.642,49300,0,ARI@MIL,ARI,5,,0
27,-0.330,4,3,ARI,MIL,0,4,4,4,2334.12,23100,95.82,13.233,49300,0,ARI@MIL,ARI,4,,0
28,-0.333,4,3,STL,PIT,0,4,4,4,2183.21,22700,95.89,8.628,49600,0,PIT@STL,STL,4,,0
29,-0.389,4,2,CIN,COL,1,4,5,5,2402.00,24000,97.31,13.539,49800,0,CIN@COL,CIN,4,COL,1
30,-0.401,4,2,COL,CIN,0,5,5,4,2240.09,23100,96.25,13.335,50000,0,CIN@COL,COL,4,,0
31,-0.441,4,3,CIN,COL,0,4,4,4,2532.51,24500,96.83,13.677,49800,0,CIN@COL,CIN,4,,0
32,-0.459,4,4,STL,PIT,0,3,3,5,2183.67,22200,97.45,10.854,49600,0,PIT@STL,STL,4,,0
33,-0.459,5,2,CIN,COL,0,4,4,5,1473.91,19900,100.02,19.359,49400,0,CIN@COL,CIN,5,,0
34,-0.466,5,2,ARI,MIL,0,4,5,5,2262.32,22900,97.65,12.566,49300,0,ARI@MIL,ARI,5,,0
35,-0.474,5,2,CIN,COL,0,4,5,5,2601.08,24400,95.83,14.948,49800,0,CIN@COL,CIN,5,,0
36,-0.488,5,2,COL,CIN,0,3,3,5,2479.13,24500,96.36,13.039,49300,0,CIN@COL,COL,5,,0
37,-0.545,4,2,MIL,ARI,0,5,5,4,1452.45,19900,97.42,13.584,49200,0,ARI@MIL,MIL,4,,0
38,-0.551,5,3,CIN,COL,0,3,3,5,2358.90,23500,96.52,16.570,49400,0,CIN@COL,CIN,5,,0
39,-0.561,5,2,STL,PIT,0,4,5,5,2205.45,22900,96.02,9.144,50000,0,PIT@STL,STL,5,,0
40,-0.567,5,3,COL,CIN,0,4,4,5,2413.71,24200,93.91,10.683,50000,0,CIN@COL,COL,5,,0
41,-0.579,5,2,ARI,MIL,0,4,4,5,2324.56,23100,93.50,9.323,49200,0,ARI@MIL,ARI,5,,0
42,-0.597,5,2,COL,CIN,1,3,4,6,2153.23,22200,99.90,14.109,49600,0,CIN@COL,COL,5,CIN,1
43,-0.612,5,1,COL,CIN,1,4,5,6,2359.32,23100,98.78,10.415,49600,0,CIN@COL,COL,5,CIN,1
44,-0.619,5,1,COL,CIN,0,4,4,5,2295.56,23100,95.69,13.081,49200,0,CIN@COL,COL,5,,0
45,-0.638,4,4,COL,CIN,0,3,3,5,2228.03,22800,94.88,14.481,49300,0,CIN@COL,COL,4,,0
46,-0.654,5,2,COL,CIN,0,4,4,5,2295.41,24000,93.83,9.637,49900,0,CIN@COL,COL,5,,0
47,-0.659,5,2,COL,CIN,0,4,4,5,2354.06,24200,92.70,11.163,49800,0,CIN@COL,COL,5,,0
48,-0.664,5,1,STL,PIT,0,4,4,5,2262.30,23100,96.28,8.246,50000,0,PIT@STL,STL,5,,0
49,-0.684,5,2,STL,PIT,0,4,5,5,2214.14,22900,95.00,8.654,49600,0,PIT@STL,STL,5,,0
50,-0.688,5,2,STL,PIT,0,3,3,5,2174.88,22200,96.50,8.795,49300,0,PIT@STL,STL,5,,0
51,-0.704,4,3,MIL,ARI,0,5,5,4,2524.30,24200,95.79,12.124,49300,0,ARI@MIL,MIL,4,,0
52,-0.706,5,2,ARI,MIL,0,5,5,5,2170.62,22900,94.08,11.135,49800,0,ARI@MIL,ARI,5,,0
53,-0.708,5,2,ARI,MIL,0,4,5,5,2235.26,22900,97.17,13.516,49400,0,ARI@MIL,ARI,5,,0
54,-0.722,5,2,PIT,STL,0,4,4,5,2196.47,23200,95.82,12.255,49500,0,PIT@STL,PIT,5,,0
55,-0.739,5,2,STL,PIT,0,4,4,5,2185.98,22700,94.70,8.142,49500,0,PIT@STL,STL,5,,0
56,-0.746,5,2,COL,CIN,0,4,4,5,2361.44,24200,92.24,10.440,49600,0,CIN@COL,COL,5,,0
57,-0.766,5,2,CIN,COL,0,4,4,5,1509.44,20100,98.77,19.359,49600,0,CIN@COL,CIN,5,,0
58,-0.777,4,3,CIN,COL,0,5,5,4,2522.78,24400,95.09,10.708,49600,0,CIN@COL,CIN,4,,0
59,-0.777,4,2,ATL,DET,1,4,6,5,1268.70,19900,94.54,10.801,49800,0,ATL@DET,ATL,4,DET,1
60,-0.792,5,2,PIT,STL,0,4,5,5,2295.23,23200,94.74,10.311,49700,0,PIT@STL,PIT,5,,0
61,-0.792,5,3,ARI,MIL,0,4,4,5,2171.64,22900,93.12,9.450,50000,0,ARI@MIL,ARI,5,,0
62,-0.799,5,3,CIN,COL,0,3,3,5,2569.90,24500,93.76,13.425,49600,0,CIN@COL,CIN,5,,0
63,-0.809,5,2,STL,PIT,0,4,4,5,2129.69,22300,95.40,9.683,49800,0,PIT@STL,STL,5,,0
64,-0.811,5,3,COL,CIN,0,3,3,5,2228.03,22800,93.98,13.312,49300,0,CIN@COL,COL,5,,0
65,-0.812,5,3,CIN,COL,0,3,3,5,2402.08,24600,96.28,16.098,50000,0,CIN@COL,CIN,5,,0
66,-0.826,5,3,ARI,MIL,0,3,3,5,2169.24,22900,93.00,10.998,49200,0,ARI@MIL,ARI,5,,0
67,-0.833,5,2,CIN,COL,0,4,4,5,2480.34,24400,98.39,16.871,49700,0,CIN@COL,CIN,5,,0
68,-0.834,5,1,COL,CIN,0,5,5,5,2315.08,23600,94.56,11.393,49200,0,CIN@COL,COL,5,,0
69,-0.842,5,1,CIN,COL,1,3,4,6,2265.06,23100,104.32,18.298,49500,0,CIN@COL,CIN,5,COL,1
70,-0.864,5,2,CIN,COL,0,4,4,5,2567.20,24600,96.24,15.399,49500,0,CIN@COL,CIN,5,,0
71,-0.873,5,3,STL,PIT,0,4,4,5,2245.11,22500,94.13,8.973,49500,0,PIT@STL,STL,5,,0
72,-0.875,5,3,COL,CIN,0,4,4,5,2352.36,24200,91.79,10.819,49800,0,CIN@COL,COL,5,,0
