rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,0.947,5,2,PIT,CHC,0,5,5,5,2671.72,25100,109.98,4.838,49700,0,CHC@PIT,PIT,5,,0
2,0.432,5,1,PIT,CHC,0,6,6,5,2635.22,24600,112.86,6.831,49400,0,CHC@PIT,PIT,5,,0
3,0.400,4,4,PIT,CHC,0,4,4,4,2773.82,26100,107.57,4.332,49700,0,CHC@PIT,PIT,4,,0
4,0.390,5,3,PIT,CHC,0,4,4,5,2625.57,24600,113.86,7.180,49200,0,CHC@PIT,PIT,5,,0
5,0.377,5,2,PIT,CHC,0,5,5,5,2687.08,25000,110.21,3.465,49400,0,CHC@PIT,PIT,5,,0
6,0.365,4,4,WSH,MIL,0,4,4,4,2614.96,24800,115.78,3.099,50000,0,MIL@WSH,WSH,4,,0
7,0.360,4,3,CHC,PIT,0,5,5,4,2490.80,24000,115.92,6.454,49700,0,CHC@PIT,CHC,4,,0
8,0.356,5,3,PIT,CHC,0,4,4,5,2718.99,25100,113.25,7.931,49100,0,CHC@PIT,PIT,5,,0
9,0.318,4,3,WSH,MIL,0,4,5,4,2610.44,25000,115.58,2.647,49600,0,MIL@WSH,WSH,4,,0
10,0.270,5,2,CHC,PIT,0,5,5,5,2530.53,24000,115.39,9.039,49200,0,CHC@PIT,CHC,5,,0
11,0.264,5,2,LAA,CIN,0,4,5,5,2569.84,24600,118.40,8.693,49700,0,CIN@LAA,LAA,5,,0
12,0.233,4,3,PIT,CHC,0,5,5,4,2636.66,25100,110.32,3.863,50000,0,CHC@PIT,PIT,4,,0
13,0.198,5,2,PIT,CHC,0,5,5,5,2642.90,24600,110.60,6.124,49100,0,CHC@PIT,PIT,5,,0
14,0.194,4,4,LAA,CIN,0,4,4,4,2634.39,24600,119.90,10.607,49000,0,CIN@LAA,LAA,4,,0
15,0.178,5,2,PIT,CHC,0,5,5,5,2588.84,25100,117.51,10.699,49700,0,CHC@PIT,PIT,5,,0
16,0.149,4,3,WSH,MIL,0,5,5,4,2695.20,25100,114.69,2.295,49700,0,MIL@WSH,WSH,4,,0
17,0.145,4,3,PIT,CHC,0,5,5,4,2624.96,24700,116.34,10.210,49600,0,CHC@PIT,PIT,4,,0
18,0.140,5,3,PIT,CHC,0,4,4,5,2632.49,25700,118.48,18.111,50000,0,CHC@PIT,PIT,5,,0
19,0.131,5,2,WSH,MIL,0,5,5,5,2683.08,25000,111.87,1.390,49100,0,MIL@WSH,WSH,5,,0
20,0.112,4,3,CHC,PIT,1,4,5,5,2534.58,24400,112.56,10.116,49700,0,CHC@PIT,CHC,4,PIT,1
21,0.105,5,1,PIT,CHC,0,5,6,5,2725.07,25800,107.79,4.979,49000,0,CHC@PIT,PIT,5,,0
22,0.102,5,3,PIT,CHC,0,4,4,5,2605.48,24400,108.20,6.513,49500,0,CHC@PIT,PIT,5,,0
23,0.096,4,3,PIT,CHC,0,5,5,4,2626.33,24800,106.79,4.841,49200,0,CHC@PIT,PIT,4,,0
24,0.093,5,2,PIT,CHC,0,5,5,5,2597.38,24600,120.72,15.646,49400,0,CHC@PIT,PIT,5,,0
