rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,1.073,4,4,TB,CHC,0,4,4,4,2119.53,23300,97.46,16.080,49400,0,CHC@TB,TB,4,,0
2,1.050,4,3,CHC,TB,1,4,5,5,2022.40,23300,99.08,17.769,49700,0,CHC@TB,CHC,4,TB,1
3,1.027,4,3,CHC,TB,1,4,5,5,2113.86,23300,97.14,17.242,48400,0,CHC@TB,CHC,4,TB,1
4,1.012,4,2,CHC,TB,1,4,5,5,2090.55,23300,98.68,16.849,49600,0,CHC@TB,CHC,4,TB,1
5,0.999,4,4,CHC,TB,0,4,4,4,2040.12,23300,100.80,19.078,49700,0,CHC@TB,CHC,4,,0
6,0.989,4,2,TB,CHC,1,4,5,5,2049.29,23300,95.84,18.183,49800,0,CHC@TB,TB,4,CHC,1
7,0.980,4,4,CHC,TB,0,4,4,4,2047.83,23300,100.09,19.130,49200,0,CHC@TB,CHC,4,,0
8,0.902,4,2,TB,CHC,1,4,5,5,2180.73,23300,94.74,17.218,49200,0,CHC@TB,TB,4,CHC,1
9,0.892,4,1,NYY,ATH,1,4,6,5,2078.20,22600,97.88,15.578,48900,0,ATH@NYY,NYY,4,ATH,1
10,0.892,4,2,CHC,TB,1,4,6,5,2127.65,23300,96.41,13.799,48100,0,CHC@TB,CHC,4,TB,1
11,0.743,5,3,CHC,TB,0,4,4,5,2034.80,23300,99.93,18.473,49600,0,CHC@TB,CHC,5,,0
12,0.743,5,3,CHC,TB,0,4,4,5,2049.00,23300,100.03,18.080,49400,0,CHC@TB,CHC,5,,0
13,0.726,4,3,NYY,ATH,1,3,4,5,2042.06,21800,97.44,17.515,48000,0,ATH@NYY,NYY,4,ATH,1
14,0.724,5,3,TB,CHC,0,4,4,5,2123.42,23300,96.53,14.794,48900,0,CHC@TB,TB,5,,0
15,0.724,5,3,TB,CHC,0,4,4,5,2128.85,23300,96.97,14.954,50000,0,CHC@TB,TB,5,,0
16,0.703,4,2,CHC,TB,1,4,5,5,1977.90,22400,97.08,15.907,49300,0,CHC@TB,CHC,4,TB,1
