rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,0.960,4,2,DET,CIN,1,4,5,5,2163.54,23700,111.07,12.117,49900,0,CIN@DET,DET,4,CIN,1
2,0.960,4,2,DET,CIN,1,4,5,5,2171.66,23700,108.00,12.209,49700,0,CIN@DET,DET,4,CIN,1
3,0.960,4,2,DET,CIN,1,4,5,5,2163.54,23700,109.60,12.769,49900,0,CIN@DET,DET,4,CIN,1
4,0.914,4,2,DET,CIN,1,4,5,5,2186.89,23700,110.83,11.701,49500,0,CIN@DET,DET,4,CIN,1
5,0.794,5,1,CIN,DET,0,6,6,5,2426.95,24500,108.74,9.213,49700,0,CIN@DET,CIN,5,,0
6,0.759,4,2,CIN,DET,0,5,5,4,2430.72,24600,110.25,10.394,49600,0,CIN@DET,CIN,4,,0
7,0.731,4,2,CIN,DET,1,4,5,5,2537.72,24600,105.94,8.778,50000,0,CIN@DET,CIN,4,DET,1
8,0.632,5,1,CIN,DET,0,5,5,5,2327.32,23700,108.27,9.484,49600,0,CIN@DET,CIN,5,,0
9,0.591,4,3,DET,CIN,1,4,5,5,2334.44,24600,111.03,11.587,49800,0,CIN@DET,DET,4,CIN,1
10,0.496,5,2,CHC,LAD,0,5,5,5,2202.73,24500,107.70,9.659,50000,0,CHC@LAD,CHC,5,,0
11,0.373,4,3,DET,CIN,0,5,5,4,2436.08,24600,107.93,10.087,49500,0,CIN@DET,DET,4,,0
12,0.343,5,3,CHC,LAD,0,4,4,5,1956.02,23600,107.20,11.362,50000,0,CHC@LAD,CHC,5,,0
13,0.336,5,2,NYY,HOU,0,5,5,5,2397.16,24600,108.37,12.594,49600,0,HOU@NYY,NYY,5,,0
14,0.282,5,2,NYY,HOU,0,5,5,5,2353.72,24600,108.64,12.770,50000,0,HOU@NYY,NYY,5,,0
15,0.207,4,3,DET,CIN,0,5,5,4,2231.61,23500,108.05,14.436,49700,0,CIN@DET,DET,4,,0
16,0.149,4,3,DET,CIN,0,4,4,4,2178.28,23700,109.18,12.194,49900,0,CIN@DET,DET,4,,0
17,0.142,4,2,KC,LAA,1,4,5,5,2282.89,24300,101.90,9.367,49800,0,KC@LAA,KC,4,LAA,1
18,0.118,5,1,PIT,MIL,0,6,6,5,2266.30,23700,101.69,2.623,49700,0,MIL@PIT,PIT,5,,0
19,0.097,4,2,LAD,CHC,0,6,6,4,2177.36,23500,104.08,6.683,49900,0,CHC@LAD,LAD,4,,0
20,0.088,4,4,LAA,KC,0,4,4,4,2437.81,24500,104.68,8.975,49900,0,KC@LAA,LAA,4,,0
21,0.083,5,2,PHI,ATL,0,5,5,5,2284.75,23700,109.05,7.353,49700,0,ATL@PHI,PHI,5,,0
22,0.059,5,2,DET,CIN,0,4,4,5,2259.40,23900,107.51,10.160,49900,0,CIN@DET,DET,5,,0
23,0.052,4,2,DET,CIN,1,3,4,5,2270.26,23200,101.76,7.181,49700,0,CIN@DET,DET,4,CIN,1
24,0.048,5,3,CHC,LAD,0,4,4,5,2009.10,23600,107.17,10.019,49500,0,CHC@LAD,CHC,5,,0
25,0.045,4,3,NYY,HOU,0,5,5,4,2053.90,22900,106.56,10.820,49500,0,HOU@NYY,NYY,4,,0
26,0.045,5,2,DET,CIN,0,5,5,5,2196.36,23900,111.30,11.579,50000,0,CIN@DET,DET,5,,0
27,0.036,4,2,DET,CIN,1,5,6,5,2122.83,23500,105.65,9.652,49600,0,CIN@DET,DET,4,CIN,1
28,0.020,5,1,LAA,KC,0,5,6,5,2370.57,24300,99.20,5.573,49800,0,KC@LAA,LAA,5,,0
29,0.012,5,2,CIN,DET,0,5,5,5,2460.67,24500,106.67,8.298,49900,0,CIN@DET,CIN,5,,0
30,-0.002,4,2,NYY,HOU,0,4,5,4,2110.47,23600,104.75,12.989,49700,0,CIN@DET,DET,2,CIN,2
31,-0.004,4,2,DET,CIN,1,5,6,5,2316.89,24100,102.43,10.448,50000,0,CIN@DET,DET,4,CIN,1
32,-0.010,5,2,CHC,LAD,0,5,5,5,1841.20,22300,105.70,9.705,50000,0,CHC@LAD,CHC,5,,0
33,-0.013,4,3,NYY,HOU,1,4,5,5,2493.21,24400,107.17,10.768,49700,0,HOU@NYY,NYY,4,HOU,1
34,-0.016,4,3,PHI,ATL,0,5,5,4,2280.35,24600,106.84,7.789,50000,0,ATL@PHI,PHI,4,,0
35,-0.018,4,3,LAA,KC,0,5,5,4,2287.12,24300,102.22,6.344,49900,0,KC@LAA,LAA,4,,0
36,-0.032,5,2,DET,CIN,0,4,4,5,2306.53,23900,108.12,10.608,49700,0,CIN@DET,DET,5,,0
37,-0.058,5,2,PHI,ATL,0,5,5,5,2352.98,24600,108.91,7.830,49500,0,ATL@PHI,PHI,5,,0
38,-0.059,4,3,NYY,HOU,0,4,4,4,2383.69,23700,109.46,14.071,50000,0,HOU@NYY,NYY,4,,0
39,-0.068,5,1,LAA,KC,0,5,6,5,2390.92,24600,98.99,5.193,49500,0,KC@LAA,LAA,5,,0
40,-0.075,5,1,LAA,KC,0,5,6,5,2231.59,24500,103.21,6.045,50000,0,KC@LAA,LAA,5,,0
41,-0.081,5,1,PIT,MIL,0,6,6,5,2242.07,23700,102.57,2.882,49900,0,MIL@PIT,PIT,5,,0
42,-0.086,4,2,DET,CIN,1,5,6,5,2033.35,22900,107.66,10.930,49500,0,CIN@DET,DET,4,CIN,1
43,-0.089,4,4,DET,CIN,0,4,4,4,2171.17,23500,108.81,15.856,50000,0,CIN@DET,DET,4,,0
44,-0.115,5,2,DET,CIN,0,5,5,5,2202.84,22800,109.12,11.624,49500,0,CIN@DET,DET,5,,0
45,-0.120,5,2,NYY,HOU,0,5,5,5,2088.44,23700,108.52,15.776,49800,0,HOU@NYY,NYY,5,,0
46,-0.140,4,2,CIN,DET,0,6,6,4,2223.26,23700,108.26,7.730,49900,0,CIN@DET,CIN,4,,0
47,-0.144,4,1,NYY,HOU,0,5,5,4,2302.69,23400,105.25,11.095,49600,0,HOU@NYY,NYY,4,,0
48,-0.146,4,4,LAA,KC,0,4,4,4,2345.23,24500,103.12,8.258,49700,0,KC@LAA,LAA,4,,0
49,-0.160,5,2,CHC,LAD,0,4,4,5,2089.02,23600,105.65,8.967,50000,0,CHC@LAD,CHC,5,,0
50,-0.165,5,3,PHI,ATL,0,4,4,5,2387.15,24500,107.58,7.165,49500,0,ATL@PHI,PHI,5,,0
51,-0.172,5,3,DET,CIN,0,4,4,5,2284.40,24500,106.36,12.217,49500,0,CIN@DET,DET,5,,0
52,-0.178,4,2,LAD,CHC,1,4,5,5,2298.28,24600,106.68,7.853,49700,0,CHC@LAD,LAD,4,CHC,1
53,-0.182,5,1,KC,LAA,0,6,6,5,2441.23,24600,108.21,11.454,49800,0,KC@LAA,KC,5,,0
54,-0.183,4,3,LAD,CHC,0,4,4,4,2077.88,23100,103.28,8.140,49800,0,CHC@LAD,LAD,4,,0
55,-0.186,4,1,CHC,LAD,1,5,6,5,2086.72,23300,104.61,7.814,49600,0,CHC@LAD,CHC,4,LAD,1
56,-0.188,4,2,KC,LAA,1,5,6,5,2343.27,24200,107.06,9.485,49900,0,KC@LAA,KC,4,LAA,1
57,-0.194,4,3,DET,CIN,1,4,5,5,2319.07,24500,107.87,11.587,49700,0,CIN@DET,DET,4,CIN,1
58,-0.200,5,3,PHI,ATL,0,4,4,5,2382.86,24600,107.77,6.179,50000,0,ATL@PHI,PHI,5,,0
59,-0.208,4,4,LAA,KC,0,4,4,4,2491.91,24500,103.32,7.837,49800,0,KC@LAA,LAA,4,,0
60,-0.210,5,2,NYY,HOU,0,5,5,5,2079.52,23700,108.73,12.427,49600,0,HOU@NYY,NYY,5,,0
61,-0.217,4,2,CIN,DET,0,5,5,4,2273.08,24100,104.02,8.233,49900,0,CIN@DET,CIN,4,,0
62,-0.236,4,1,CHC,LAD,1,5,7,5,1871.07,22400,104.58,7.908,49900,0,CHC@LAD,CHC,4,LAD,1
63,-0.239,5,2,CHC,LAD,0,5,5,5,1825.92,22300,107.72,9.529,50000,0,CHC@LAD,CHC,5,,0
64,-0.249,4,3,LAD,CHC,1,3,4,5,2070.17,23000,103.40,6.733,49800,0,CHC@LAD,LAD,4,CHC,1
65,-0.250,5,1,KC,LAA,0,5,5,5,2295.32,23800,102.41,8.083,49500,0,KC@LAA,KC,5,,0
66,-0.266,5,3,CHC,LAD,0,4,4,5,2191.55,23800,104.26,7.443,49900,0,CHC@LAD,CHC,5,,0
67,-0.272,4,2,DET,CIN,0,4,4,4,2299.15,23800,104.69,7.524,49700,0,CIN@DET,DET,4,,0
68,-0.274,4,4,NYY,HOU,0,4,4,4,2191.71,23500,108.38,14.379,49800,0,HOU@NYY,NYY,4,,0
69,-0.275,4,1,KC,LAA,1,5,7,5,2280.26,23900,104.12,8.473,49800,0,KC@LAA,KC,4,LAA,1
70,-0.278,4,2,CIN,DET,0,5,5,4,2498.02,25000,104.34,9.165,49700,0,CIN@DET,CIN,4,,0
71,-0.283,5,3,LAA,KC,0,4,4,5,2289.10,23800,102.61,5.806,50000,0,KC@LAA,LAA,5,,0
72,-0.285,5,1,LAA,KC,0,5,6,5,2358.92,24200,98.23,5.792,49500,0,KC@LAA,LAA,5,,0
73,-0.287,5,1,CIN,DET,0,4,5,5,2411.83,24100,103.96,7.525,49900,0,CIN@DET,CIN,5,,0
74,-0.293,4,1,CHC,LAD,1,6,7,5,2043.16,23500,103.08,6.007,49500,0,CHC@LAD,CHC,4,LAD,1
75,-0.304,5,1,DET,CIN,0,5,5,5,2009.60,23000,109.77,11.245,49500,0,CIN@DET,DET,5,,0
