P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42962894,Parker Messick,8400,14.82,42963127,Griffin Canning,6900,13.15,42962929,Carter Jensen,3900,8.06,42963007,Ty France,2200,6.09,42962957,Travis Bazzana,3100,7.27,42962904,Jose Ramirez,6000,10.71,42962900,Bobby Witt Jr.,6400,10.51,42962928,Steven Kwan,4000,8.04,42962918,Chase DeLauter,4500,9.11,42962920,Ramon Laureano,4400,8.84,96.60,49800,23.0,2.3008e+1
42962892,Kris Bubic,9100,16.07,42963127,Griffin Canning,6900,13.15,42962929,Carter Jensen,3900,8.06,42962963,Kyle Manzardo,2900,8.02,42962957,Travis Bazzana,3100,7.27,42962904,Jose Ramirez,6000,10.71,42962900,Bobby Witt Jr.,6400,10.51,42962918,Chase DeLauter,4500,9.11,42962932,Jorge Soler,3800,6.50,42962947,Jac Caglianone,3300,7.49,96.89,49900,23.2,2.3195e+1
42962894,Parker Messick,8400,14.82,42962892,Kris Bubic,9100,16.07,42962929,Carter Jensen,3900,8.06,42962922,Vinnie Pasquantino,4300,8.74,42962957,Travis Bazzana,3100,7.27,42962904,Jose Ramirez,6000,10.71,42962956,Brayan Rocchio,3100,6.56,42962918,Chase DeLauter,4500,9.11,42962928,Steven Kwan,4000,8.04,42962947,Jac Caglianone,3300,7.49,96.87,49700,22.9,2.2929e+1
42962894,Parker Messick,8400,14.82,42962893,Clay Holmes,8700,15.45,42962929,Carter Jensen,3900,8.06,42962963,Kyle Manzardo,2900,8.02,42962985,Jake Cronenworth,2500,5.95,42962904,Jose Ramirez,6000,10.71,42962925,Xander Bogaerts,4100,7.94,42962918,Chase DeLauter,4500,9.11,42962928,Steven Kwan,4000,8.04,42962912,Jackson Merrill,5000,8.07,96.17,50000,22.3,2.2301e+1
42962894,Parker Messick,8400,14.82,42962892,Kris Bubic,9100,16.07,42962929,Carter Jensen,3900,8.06,42962963,Kyle Manzardo,2900,8.02,42962972,Vaughn Grissom,2800,5.30,42962904,Jose Ramirez,6000,10.71,42962956,Brayan Rocchio,3100,6.56,42962937,Daniel Schneemann,3500,7.50,42962928,Steven Kwan,4000,8.04,42962901,Juan Soto,6300,10.57,95.65,50000,23.9,2.3916e+1
42962893,Clay Holmes,8700,15.45,42963127,Griffin Canning,6900,13.15,42962929,Carter Jensen,3900,8.06,42962955,Mark Vientos,3100,5.92,42962948,Marcus Semien,3300,7.56,42962904,Jose Ramirez,6000,10.71,42962925,Xander Bogaerts,4100,7.94,42962918,Chase DeLauter,4500,9.11,42962901,Juan Soto,6300,10.57,42962961,MJ Melendez,2900,7.06,95.53,49700,24.2,2.4157e+1
42962894,Parker Messick,8400,14.82,42962892,Kris Bubic,9100,16.07,42963018,Sebastian Rivero,2000,3.98,42962963,Kyle Manzardo,2900,8.02,42962957,Travis Bazzana,3100,7.27,42962904,Jose Ramirez,6000,10.71,42962925,Xander Bogaerts,4100,7.94,42962937,Daniel Schneemann,3500,7.50,42962918,Chase DeLauter,4500,9.11,42962901,Juan Soto,6300,10.57,95.99,49900,25.8,2.5821e+1
42962893,Clay Holmes,8700,15.45,42962892,Kris Bubic,9100,16.07,42962942,Salvador Perez,3400,7.73,42962922,Vinnie Pasquantino,4300,8.74,42962948,Marcus Semien,3300,7.56,42962904,Jose Ramirez,6000,10.71,42962956,Brayan Rocchio,3100,6.56,42962928,Steven Kwan,4000,8.04,42962918,Chase DeLauter,4500,9.11,42962937,Daniel Schneemann,3500,7.50,97.47,49900,24.7,2.4703e+1
42962894,Parker Messick,8400,14.82,42962893,Clay Holmes,8700,15.45,42962942,Salvador Perez,3400,7.73,42962963,Kyle Manzardo,2900,8.02,42962948,Marcus Semien,3300,7.56,42962919,Maikel Garcia,4400,7.84,42962900,Bobby Witt Jr.,6400,10.51,42962961,MJ Melendez,2900,7.06,42962945,Brett Baty,3300,6.49,42962901,Juan Soto,6300,10.57,96.05,50000,22.2,2.2172e+1
42962893,Clay Holmes,8700,15.45,42963127,Griffin Canning,6900,13.15,42962942,Salvador Perez,3400,7.73,42962922,Vinnie Pasquantino,4300,8.74,42962957,Travis Bazzana,3100,7.27,42962904,Jose Ramirez,6000,10.71,42962900,Bobby Witt Jr.,6400,10.51,42962928,Steven Kwan,4000,8.04,42962937,Daniel Schneemann,3500,7.50,42962947,Jac Caglianone,3300,7.49,96.59,49600,21.8,2.1843e+1
